<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
Conformal Maps , Mapy konformalne
Connectivity , Łączność
Connectors Centering , Łączniki Centrowanie
Connectors Variability , Złącza Zmienność
Constrain Image Size , Ograniczenie rozmiaru obrazu
Constrain Values , Ograniczenia wartości
Constrained Sharpen , Ograniczone Ostrzenie
Constraint Radius , Ograniczenie Promień
Continuous Droste , Ciągłe odmrażanie (Continuous Droste)
Contour Coherence , Kontur Spójność
Contour Detection (%) , Wykrywanie konturów (%)
Contour Normalization , Normalizacja konturów
Contour Precision , Precyzja konturu
Contour Threshold , Kontur Próg
Contour Threshold (%) , Kontur Próg (%)
Contours , Kontury
Contours + Flocon/Snowflake , Kontury + flokon/ płatek śniegu
Contours Recursion , Kontury Odwrócenie
Contrail 35 , Kontrast 35
Contrast , Kontrast
Contrast (%) , Kontrast (%)
Contrast Smoothness , Kontrast Gładkość
Contrast Swiss Mask , Kontrast Maska szwajcarska
Contrast with Highlights Protection , Kontrast z ochroną przed światłem słonecznym
Contrasty Afternoon , Kontrast Po południu
Contrasty Green , Kontrast Zielony
Contributors , Współtwórcy
Control Point 1 , Punkt kontroli 1
Control Point 2 , Punkt kontroli 2
Control Point 3 , Punkt kontroli 3
Control Point 4 , Punkt kontroli 4
Control Point 5 , Punkt kontroli 5
Control Point 6 , Punkt kontroli 6
Convolve , Konvolve
Cool / Warm , Cool / Ciepło
Copper , Miedź
Corner Brightness , Narożnik Jasność
Correlated Channels , Kanały powiązane
Counter Clockwise , W kierunku przeciwnym do ruchu wskazówek zegara
Course 4 , Kurs 4
Cracks , Pęknięcia
Creative Pack (33) , Pakiet kreatywny (33)
Crisp Romance , Rzepki Romans
Crisp Warm , Chrupiące Ciepło
Criterion , Kryterium
Crop , Uprawa
Crop (%) , Uprawy (%)
Cross Process CP 130 , Proces krzyżowy CP 130
Cross Process CP 14 , Proces krzyżowy CP 14
Cross Process CP 15 , Proces krzyżowy CP 15
Cross Process CP 16 , Proces krzyżowy CP 16
Cross Process CP 18 , Proces krzyżowy CP 18
Cross Process CP 3 , Proces krzyżowy CP 3
Cross Process CP 4 , Proces krzyżowy CP 4
Cross Process CP 6 , Proces krzyżowy CP 6
Cross-Hatch Amount , Wylęgarnia Ilość (Cross-Hatch)
Crossed , Przekreślony
Crosses 1 , Krzyżyki 1
Crosses 2 , Krzyżyki 2
Crosshair , Włosie krzyżowe
CRT Sub-Pixels , Subpikseli CRT
Crystal Background , Kryształowe tło
Cube , Kostka
Cube (256) , Kostka (256)
Cubic , Sześcienny
Cubicle 99 , Boks 99
Cubism , Kubizm
Cubism on Color Abstraction , Kubizm na temat abstrakcji kolorystycznej
Cup , Puchar
Cupid , Kupidyn
Curvature , Zakrzywienie
Curvature Shadow , Cień krzywizny
Curve Amount , Krzywa Kwota
Curve Angle , Kąt krzywizny
Curve Length , Długość krzywej
Curved , Wygięty
Curved Stroke , Zakrzywiony Udar
Curves , Krzywe
Curves Previously Defined , Poprzednio zdefiniowane krzywe
Custom , Niestandardowy
Custom Code [Global] , Kod niestandardowy [Globalny]
Custom Code [Local] , Kod niestandardowy [lokalny]
Custom Correction Map , Niestandardowa mapa korekcyjna
Custom Depth Correction , Niestandardowa korekta głębokości
Custom Depth Maps Stream , Niestandardowe mapy głębokości Strumień
Custom Dictionary , Słownik zwyczajowy
Custom Filter Code , Niestandardowy kod filtrujący
Custom Formula , Formuła niestandardowa
Custom Kernel , Jądro niestandardowe
Custom Layers , Warstwy niestandardowe
Custom Layout , Układ niestandardowy
Custom Style (Bottom Layer) , Styl niestandardowy (warstwa dolna)
Custom Style (Top Layer) , Styl niestandardowy (górna warstwa)
Custom Transform , Transformacja niestandardowa
Customize CLUT , Dostosuj ZAMKNIĘCIE
Cut , Cięcie
Cut & Normalize , Cięcie i normalizacja
Cutout , Wycięcie
Cyan , Cyjan
Cyan Factor , Czynnik cyjanowy
Cyan Smoothness , Cyjan Gładkość
Cycle Layers , Warstwy rowerowe
Cycles , Cykle
D and O 1 , D i O 1
Damping per Octave , Tłumienie na oktawę
Dark  Motive , Mroczny motyw
Dark Blues in Sunlight , Ciemny błękit w świetle słonecznym
Dark Color , Ciemny kolor
Dark Edges , Ciemne Krawędzie (Dark Edges)
Dark Motive , Mroczny motyw
Dark Pixels , Ciemne piksele
Dark Place 01 , Ciemne miejsce 01
Dark Sky , Ciemne niebo
Darken , Ciemny
Darker , Ciemniejszy
Darkness , Ciemność
Darkness Level , Poziom ciemności
Date 39 , Data 39
Day for Night , Dzień na noc
Day4Nite , Dzień 4Nite
Daylight Scene , Scena dzienna
Debug Font Size , Rozmiar czcionki debugowej
Decompose , Rozkładać się
Decompose Channels , Rozkładanie kanałów
Decoration , Dekoracja
Decreasing , Zmniejszający się
Deep , Głębokie
Deep Blue , Głęboki błękit
Deep High Contrast , Głęboki Wysoki Kontrast
Default , Domyślnie
Defects Contrast , Wady Kontrast
Defects Density , Wady Gęstość
Defects Size , Wady Rozmiar
Defects Smoothness , Wady Gładkość
Deform , Deformować
Delaunay: Portrait De Metzinger , Delaunay: Portret De Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: Windows otwarty jednocześnie
Delete Layer Source , Usuń źródło warstwy
Delicatessen , Delikatesy
Density , Gęstość zaludnienia
Density (%) , Gęstość (%)
Depth , Głębokość
Depth Fade In Frames , Głębokie zaniki w obramowaniach
Depth Fade Out Frames , Ramy zanikające wgłębienie (Depth Fade Out Frames)
Depth Field Control , Kontrola pola głębokości
Depth Map , Mapa głębokości
Depth Map Construction , Budowa mapy głębokości
Depth Map Only , Tylko mapa głębokości
Depth Map Reconstruction , Rekonstrukcja mapy głębokości
Depth Maps Only , Tylko mapy głębokości
Depth-Of-Field Type , Głębokość pola Typ
Desaturate (%) , Desaturat (%)
Desaturate Norm , Nienasycona norma
Descent Method , Metoda zejścia
Descreen , Ekran
Desert Gold 37 , Pustynne złoto 37
Destination (%) , Miejsce przeznaczenia (%)
Destination X-Tiles , Miejsce docelowe Płytki X
Destination Y-Tiles , Miejsce przeznaczenia Płytki Y
Detail , Szczegóły
Detail Level , Poziom szczegółowości
Detail Reconstruction Detection , Szczegóły Wykrywanie rekonstrukcji
Detail Reconstruction Smoothness , Szczegóły Rekonstrukcja Gładkość
Detail Reconstruction Strength , Szczegóły Rekonstrukcja Wytrzymałość
Detail Reconstruction Style , Szczegóły Styl rekonstrukcji
Detail Scale , Skala szczegółowa
Detail Strength , Siła szczegółowa
Details , Szczegóły
Details Amount , Szczegóły Kwota
Details Equalizer , Szczegóły Korektor
Details Scale , Szczegóły Skala
Details Smoothness , Szczegóły Gładkość
Details Strength (%) , Szczegóły Wytrzymałość (%)
Detect Skin , Wykrywaj skórę
Deuteranomaly , Deuteranomalia
Deviation , Odchylenie
Diamond , Diament
Diamonds , Diamenty
Diamonds (Outline) , Diamenty (kontur)
Dices , Kostki
Dices with Colored Numbers , Kostki z kolorowymi numerami
Dices with Colored Sides , Kostki z kolorowymi ścianami bocznymi
Difference , Różnica
Difference Mixing , Różnica Mieszanie
Difference of Gaussians , Różnica między Gausjanami
Different Axis , Różne osie
Diffuse (%) , Rozproszone (%)
Diffuse Shadow , Rozproszony cień
Diffusion , Dyfuzja
Diffusion Tensors , Tensory dyfuzyjne
Diffusivity , Diffuzyjność
Digits , Cyfry
Dilatation , Dylatacja
Dilate , Dylatacja
Dilation , Dylatacja
Dilation - Original , Dylatacja - Oryginalna
Dilation / Erosion , Dylatacja / Erozja
Dimension , Wymiar
Dimension [Diff] , Wymiar [Różnica]
Dimension A , Wymiar A
Dimensions (%) , Wymiary (%)
Dimensions Pixels , Wymiary Piksele
Dipole: 1/(4*z^2-1) , Dipol: 1/(4*z^2-1)
Direct , Bezpośrednio
Direction , Kierunek:
Directions 23 , Wskazówki 23
Dirty , Brudny
Disable , Wyłączyć
Disabled , Niepełnosprawni
Discard Contour Guides , Prowadnice konturów odrzutów
Discard Transparency , Przejrzystość odrzutów
Display , Wyświetlacz
Display Blob Controls , Wyświetlanie pokręteł
Display Color Axes , Wyświetlanie osi kolorów
Display Contours , Wyświetlanie konturów
Display Coordinates , Współrzędne wyświetlania
Display Coordinates on Preview Window , Wyświetlanie współrzędnych w oknie podglądu
Display Debug Info on Preview , Wyświetlanie informacji o debugach na Podglądzie
Distance , Odległość
Distance (Fast) , Odległość (Szybko)
Distance Transform , Odległość Transformacja
Distort Lens , Zniekształcenie obiektywu
Distortion Factor , Czynnik zniekształcający
Distortion Surface Angle , Zakłócenie Kąt powierzchniowy
Distortion Surface Position , Zniekształcenie Położenie powierzchniowe
Disturbance Scale-By-Factor , Skala zaburzeń - czynnik powodujący zaburzenia
Disturbance X , Zakłócenie X
Disturbance Y , Zakłócenie Y
Dither Output , Dither Wyjście
Divide , Podziel
Do Not Flatten Transparency , Nie spłaszczać przejrzystości
Dodge and Burn , Dodge i Burn
Dodge Strength , Wytrzymałość na uskoki (Dodge Strength)
DOF Analyzer , Analizator DOF
Dog , Pies
Dot Size , Rozmiar kropki
Dots , Kropki
Download External Data , Pobieranie danych zewnętrznych
Dragon Curve , Smocza krzywa
Dragonfly , Ważka
Drawing Mode , Tryb rysunkowy
Dream , Sen
Dream 1 , Sen 1
Dream 85 , Sen 85
Dream Smoothing , Wygładzanie snów
Drop Water , Kropla wody
Duck , Kaczka
Duplicate Bottom , Duplikat Dół
Duplicate Horizontal , Duplikat Poziomy
Duplicate Left , Duplikat w lewo
Duplicate Right , Duplikat prawa
Duplicate Top , Duplikat wierzchołka
Duplicate Vertical , Duplikat w pionie
Duration , Czas trwania pomocy
Dynamic Range Increase , Dynamiczny wzrost zasięgu
Eagle , Orzeł
Earth , Ziemia
Earth Tone Boost , Ziemskie Tony Boost
Edge Antialiasing , Antialiasing krawędziowy
Edge Attenuation , Tłumienie krawędziowe
Edge Detect Includes Chroma , Wykrywacz krawędzi zawiera Chroma
Edge Exponent , Wykładnik krawędziowy
Edge Fidelity , Wierność krawędzi
Edge Influence , Wpływ krawędziowy
Edge Mask , Maska krawędziowa
Edge Sensitivity , Wrażliwość krawędziowa
Edge Simplicity , Prostota krawędzi
Edge Smoothness , Gładkość krawędzi
Edge Thickness , Grubość krawędzi
Edge Threshold , Próg krawędziowy
Edge Threshold (%) , Próg krawędziowy (%)
Edges , Krawędzie
Edges (%) , Krawędzie (%)
Edges [Animated] , Krawędzie [Animowane]
Edges Offsets , Krawędzie Odstępstwa
Edges on Fire , Krawędzie w ogniu
Edges-0.5 (beware: Memory-Consuming!) , Krawędzie-0.5 (uwaga: Pamięć-zużywa!)
Edges-1 (beware: Memory-Consuming!) , Edges-1 (uważaj: Pamięć-Zużywa!)
Edges-2 (beware: Memory-Consuming!) , Krawędzie-2 (uwaga: Pamięć-zabierająca!)
Effect Strength , Siła oddziaływania
Effect X-Axis Scaling , Efekt X-axis Scaling
Effect Y-Axis Scaling , Efekt Y-Axis Scaling
Eight Layers , Osiem warstw
Eight Threads , Osiem gwintów
Elegance 38 , Elegancja 38
Elephant , Słoń
Elevation , Wzniesienie
Elevation (%) , Wzniesienie (%)
Ellipse Painting , Malarstwo elipsowe
Ellipse Ratio , Stosunek elipsy
Ellipsionism , Elipsjonizm
Ellipsionism Opacity , Elipsjonizm Nieprzezroczystość
Ellipsoid , Elipsoida
Emboss , Wytłoczenie
Enable Antialiasing , Włączanie antyaliasingu
Enable Interpolated Motion , Włącz Interpolowany Ruch
Enable Morphology , Włącz morfologię
Enable Paintstroke , Włączanie pociągnięcia farbą
Enable Segmentation , Włącz Segmentację
Enchanted , Zaczarowany
End Color , Kolor końcowy
End Frame Number , Numer ramy końcowej
End of Mid-Tones , Koniec Mid-Tones
End Point Connectivity , Łączność z punktami końcowymi
End Point Rate (%) , Stopa punktów końcowych (%)
Ending Angle , Kąt końcowy
Ending Color , Kolor końcowy
Ending Feathering , Zakończenie pierzenia
Ending Point (%) , Punkt końcowy (%)
Ending Scale (%) , Skala końcowa (%)
Ending Value , Wartość końcowa
Ending X-Centering , Zakończenie X-Centrowania
Ending Y-Centering , Końcowy Y-Centrowanie
Engrave , Grawerunek
Enhance Detail , Zwiększanie szczegółowości
Enhance Details , Poprawa szczegółów
Equalization , Wyrównanie
Equalization (%) , Wyrównanie (%)
Equalize , Wyrównać
Equalize and Normalize , Wyrównywać i normalizować
Equalize at Each Step , Wyrównać na każdym kroku
Equalize HSI-HSL-HSV , Wyrównać HSI-HSL-HSV
Equalize HSV , Wyrównać HSV
Equalize Light , Wyrównać światło
Equalize Local Histograms , Wyrównywanie lokalnych histogramów
Equalize Shadow , Wyrównać cień
Equation Plot [Parametric] , Wykres równań [Parametryczny]
Equation Plot [Y=f(X)] , Działka równania [Y=f(X)]
Equirectangular to Nadir-Zenith , Równoległe do Nadir-Zenitu
Erosion , Erozja
Erosion / Dilation , Erozja / Dylatacja
Etch Tones , Tony wytrawiające
Eterna for Flog , Eterna dla Floga
Euclidean , Euklidesan
Euclidean - Polar , Euklidesowy - Polarny
Exclusion , Wyłączenie
Expand , Rozwiń
Expand Background Reconstruction , Rozszerzenie zaplecza Odbudowa
Expand Shadows , Rozwiń cienie
Expand Size , Rozszerzenie rozmiaru
Expanding Mirrors , Rozszerzające się lustra
Expired (fade) , Wygasł (blaknięcie)
Expired (polaroid) , Wygasł (polaroid)
Expired 69 , Wygasł 69
Exponent , Składnik
Exponent (Imaginary) , Składnik (Wyobrażeniowy)
Exponent (Real) , Wyrażnik (rzeczywisty)
Exponential , Wykładniczy
Export RGB-565 File , Eksport pliku RGB-565
Exposure , Ekspozycja
Expression , Wyrażenie
Extend 1px , Rozszerzenie 1px
External Transparency , Przejrzystość zewnętrzna
Extra  Smooth , Wyjątkowo gładki
Extract Foreground [Interactive] , Wyciągnij pierwszy plan [Interaktywny]
Extract Objects , Ekstrakt Obiekty
Extrapolate Color Spots on Transparent Top Layer , Ekstrapolowane kolorowe plamy na przezroczystej warstwie wierzchniej
Factor , Czynnik
Fade , Wygasanie
Fade End , Blaknięcie Koniec
Fade End (%) , Blaknięcie Koniec (%)
Fade Layers , Warstwy blaknięcia
Faded , Wyblakły
Faded (alt) , Wyblakły (alt)
Faded (analog) , Wyblakły (analogowy)
Faded (extreme) , Wyblakłe (skrajne)
Faded (vivid) , Wyblakły (żywy)
Faded 47 , Wyblakły 47
Faded Green , Wyblakły zielony
Faded Look , Wyblakłe spojrzenie
Faded Print , Wyblakły druk
Faded Retro 01 , Wyblakłe Retro 01
Faded Retro 02 , Wyblakłe Retro 02
Fading , Zanikający
Fall Colors , Kolory jesienne
Far Point Deviation , Odchylenie punktu dalekiego
Fast , Szybko
Fast &#40;Approx.&#41; , Fast (Ok. )
Fast (Low Precision) Preview , Szybki (niska precyzja) Podgląd
Fast Approximation , Szybkie przybliżenie
Fast Blend , Szybka mieszanka
Fast Blend Preview , Podgląd szybkiej mieszanki
Fast Recovery , Szybki powrót do zdrowia
Fast Resize , Szybka zmiana rozmiaru
Feature Analyzer Smoothness , Analizator Feature Analyzer Gładkość
Feature Analyzer Threshold , Próg dla analizatora Feature Analyzer
Felt Pen , Pióro filcowe
FFT Preview , Podgląd FFT
Fibers , Włókna
Fibers Amplitude , Włókna Amplituda
Fibers Smoothness , Włókna Gładkość
Fibrousness , Włóknistość
Fidelity Chromaticity , Wierność Chromatyczność
Fidelity Smoothness (Coarsest) , Wierność Gładkość (Najgrubsza)
Fidelity Smoothness (Finest) , Wierność Gładkość (Finest)
Fidelity to Target (Coarsest) , Wierność celowi (najgrubsza)
Fidelity to Target (Finest) , Wierność celowi (Finest)
Filename , Nazwa pliku
Fill Holes , Wypełnianie otworów
Fill Holes % , Wypełnianie otworów %
Fill Transparent Holes , Wypełnianie przezroczystych otworów
Filled , Wypełniony
Filled Circles , Wypełnione kółka
Filling , Wypełnianie
Film Highlight Contrast , Kontrast świateł filmowych (Film Highlight Contrast)
Filmic , Filmowy
Filter Design , Projektowanie filtrów
Final Image , Obraz końcowy
Fine , Dobrze
Fine 2 , Grzywna 2
Fine Details Smoothness , Drobne szczegóły Gładkość
Fine Details Threshold , Szczegóły Próg
Fine Noise , Drobny hałas
Fine Scale , Dokładna skala
Finest (slower) , Najlepszy (wolniejszy)
Finger Paint , Farba do malowania palcami
Finger Size , Rozmiar palca
Fire Effect , Efekt pożarowy
Fireworks , Fajerwerki
First , Najpierw
First Color , Pierwszy kolor
First Frame , Pierwsza rama
First Offset , Pierwszy offset
First Radius , Pierwszy promień
First Size , Pierwszy rozmiar
Fish-Eye Effect , Efekt rybiego oka
Fitting Function , Funkcja dopasowywania
Five Layers , Pięć warstw
Flag , Flaga
Flag (256) , Flaga (256)
Flat Color , Kolor płaski
Flat Regions Removal , Usuwanie regionów płaskich
Flatness , Płaskość
Flip Left / Right , Przerzucanie w lewo / w prawo
Flip Left/Right , Przerzucanie w lewo/prawo
Flip Tolerance , Tolerancja przerzucania
Flower , Kwiat
Foggy Night , Mglista noc
Folder Name , Nazwa folderu
Font Colors , Kolory czcionek
Force Gray , Siła Szara
Force Re-Download from Scratch , Siła Powtórne obciążenie od zarysowania
Force Tiles to Have Same Size , Wymuszać, aby płytki miały ten sam rozmiar
Force Transparency , Siła Przejrzystość
Foreground Color , Kolor pierwszego planu
Form , Formularz
Formula , Formuła
Forward , Do przodu
Forward  Horizontal , Do przodu Poziomo
Forward Horizontal , Do przodu Poziomo
Forward Vertical , Do przodu Pionowo
Four Layers , Cztery warstwy
Four Threads , Cztery nici
Fourier Analysis , Analiza Fouriera
Fourier Filtering , Filtracja Fouriera
Fourier Transform , Transformacja Fouriera
Fourier Watermark , Znak wodny Fouriera
Fractal Noise , Hałas fałdowy
Fractal Points , Fraktalne punkty
Fractal Set , Zestaw Fractal Set
Fractured Clouds , Złamane chmury
Fragment Blur , Rozmycie fragmentów
Frame (px) , Ramka (px)
Frame [Blur] , Ramka [Rozmycie]
Frame [Cube] , Ramka [Kostka]
Frame [Fuzzy] , Ramka [Fuzzy]
Frame [Mirror] , Ramka [Lustro]
Frame [Painting] , Rama [Malarstwo]
Frame [Pattern] , Ramka [Wzór]
Frame [Regular] , Rama [zwykła]
Frame [Round] , Rama [Runda]
Frame [Smooth] , Rama [Smooth]
Frame as a New Layer , Rama jako nowa warstwa (Frame as a New Layer)
Frame Color , Kolor ramki
Frame Files Format , Format plików ramki
Frame Format , Format ramki
Frame Size , Rozmiar ramki
Frame Skip , Ramka Pomijanie
Frame Type , Typ ramy
Frame Width , Szerokość ramy
Frames , Ramki
Frames Offset , Ramki Przesunięcie
Freaky B&W , Dziwny B&W
Freaky Details , Dziwne szczegóły
Freeze , Zamrażanie
French Comedy , Komedia francuska
Frequency , Częstotliwość:
Frequency (%) , Częstotliwość (%)
Frequency Analyzer , Analizator częstotliwości
Frequency Range , Zakres częstotliwości
From Input , Od wejścia
From Reference Color , Od koloru referencyjnego
Frosted , Zamrożone
Fruits , Owoce
Fuji FP-100c Negative , Fuji FP-100c Negatywny
Fuji FP-100c Negative + , Fuji FP-100c Ujemny +
Fuji FP-100c Negative ++ , Fuji FP-100c Ujemny ++
Fuji FP-100c Negative +++ , Fuji FP-100c Ujemny +++
Fuji FP-100c Negative ++a , Fuji FP-100c Ujemny ++a
Fuji FP-100c Negative - , Fuji FP-100c Negatywny -
Fuji FP-100c Negative -- , Fuji FP-100c Negatywne --
Fuji FP-3000b Negative , Fuji FP-3000b Negatywny
Fuji FP-3000b Negative + , Fuji FP-3000b Ujemny +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Ujemny ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Ujemny +++
Fuji FP-3000b Negative - , Fuji FP-3000b Negatywny -
Fuji FP-3000b Negative -- , Fuji FP-3000b Negatywne --
Fuji FP-3000b Negative Early , Fuji FP-3000b Negatywne Wczesny wzrost
Full , Pełna
Full (Allows Multi-Layers) , Pełny (Pozwala na wielowarstwowe)
Full (Slower) , Pełny (Wolniejszy)
Full Bottom/top , Pełne dno/góra
Full Colors , Pełne kolory
Full HD Frame Packing , Pakowanie ramek Full HD
Full Layer Stack -Slow!- , Pełnowarstwowy stos - Powoli!-
Full Side by Side Keep Uncompressed , Pełna strona po stronie Trzymaj bez kompresji
Futuristic Bleak 1 , Futurystyczny Bleak 1
Futuristic Bleak 2 , Futurystyczny Bleak 2
Futuristic Bleak 3 , Futurystyczny Bleak 3
Futuristic Bleak 4 , Futurystyczny Bleak 4
G'MIC Operator , Operator G'MIC
G/M Smoothness , G/M Gładkość
Games & Demos , Gry i demonstracje
Gamma Balance , Saldo gamma
Gamma Equalizer , Korektor Gamma
Generate Random-Colors Layer , Generowanie przypadkowej warstwy barwnej (Random-Colors Layer)
Generic Fuji Astia 100 , Generyczne Fuji Astia 100
Generic Fuji Provia 100 , Generyczne Fuji Provia 100
Generic Fuji Velvia 100 , Generyczne Fuji Velvia 100
Generic Kodachrome 64 , Kodachrom ogólny 64
Generic Kodak Ektachrome 100 VS , Generyczny Kodak Ektachrome 100 VS
Generic Skin Structure , Ogólna struktura skóry
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Tryb łagodny (nadpisuje minimalną jasność i minimalną czerwień: stosunek niebieski)
Geometry , Geometria
Global Mapping , Mapowanie globalne
Gmicky (by Deevad) , Gmicky (przez Deevad)
Gmicky (by Mahvin) , Gmicky (przez Mahvina)
Going for a Walk , Idziemy na spacer
Gold , Złoto
Golden , Złoty
Golden (bright) , Złoty (jasny)
Golden (fade) , Złoty (blaknięcie)
Golden (mono) , Złoty (mono)
Golden (vibrant) , Złoty (żywy)
Golden Gate , Złota Brama
GoldFX - Bright Summer Heat , GoldFX - Jasny letni upał
GoldFX - Hot Summer Heat , GoldFX - Gorące letnie ciepło
GoldFX - Perfect Sunset 10min , GoldFX - Idealny zachód słońca 10min
GoldFX - Summer Heat , GoldFX - Letnie upały
Good Morning , Dzień dobry
Gradient [Corners] , Gradient [Rogi]
Gradient [Custom Shape] , Gradient [Niestandardowy kształt]
Gradient [from Line] , Gradient [od linii]
Gradient [Linear] , Gradient [liniowy]
Gradient [Random] , Gradient [Losowo]
Gradient Norm , Norma gradientu
Gradient Preset , Wstępne ustawienie gradientu
Gradient Smoothness , Gładkość gradientu
Gradient Values , Wartości gradientowe
Grain , Ziarno
Grain (Highlights) , Ziarno (Highlights)
Grain (Midtones) , Ziarno (Midtones)
Grain (Shadows) , Ziarno (Shadows)
Grain Extract , Ekstrakt zboża
Grain Merge , Łączenie zboża
Grain Only , Tylko ziarno
Grain Scale , Skala ziarna
Grain Tone Fading , Blaknięcie koloru ziarna
Grain Type , Rodzaj ziarna
Grainextract , Wyciąg z winogron
Granularity , Granularność
Graphic Colours , Kolory graficzne
Graphic Novel , Powieść graficzna
Graphix Colors , Kolory Graphix
Grayscale , Skala szarości
Greece , Grecja
Green , Zielony
Green 15 , Zielona 15
Green 2025 , Zielony 2025
Green Action , Zielone działanie
Green Afternoon , Zielone popołudnie
Green Blues , Zielony Niebieski
Green Conflict , Zielony Konflikt
Green Day 01 , Zielony dzień 01
Green Day 02 , Zielony Dzień 02
Green Factor , Czynnik zielony
Green G09 , Zielony G09
Green Level , Poziom ekologiczny
Green Light , Zielone światło
Green Rotations , Zielone obroty
Green Smoothness , Zielona gładkość
Green Wavelength , Zielona Długość fali
Green Yellow , Zielono-żółty
Greenish Contrasty , Kontrast zielonkawy
Grey , Szarość
Greyscale , Skala szarości
Grid , Siatka
Grid [Cartesian] , Siatka [kartezjański]
Grid [Hexagonal] , Siatka [sześciokątna]
Grid [Triangular] , Siatka [trójkątna]
Grid Divisions , Działy kratowe
Grid Smoothing , Wygładzanie siatki
Grid Width , Szerokość siatki
Grow Alpha , Rozwijaj Alphę
Guide As , Przewodnik Jak
Guide Recovery , Przewodnik Odzyskiwanie
H Cutoff , H Odcięcie
Hair Locks , Zamki do włosów
Half Bottom/top , Połowa dna / góra
Half Side  by Side , Half Side by Side
Halftone Shapes , Kształty półtonów
Hanoi Tower , Wieża Hanoi
Hard , Twardy
Hard Light , Twarde światło
Hard Mix , Twarda mieszanka
Hard Sketch , Szkic twardy
Hard Teal Orange , Twardy Teal Orange
Harsh Day , Surowy dzień
Harsh Sunset , Surowy zachód słońca
HDR Effect (Tone Map) , Efekt HDR (Tone Map)
Heart , Serce
Hearts , Serca
Hearts (Outline) , Serca (kontur)
Hedcut (Experimental) , Hedcut (eksperymentalny)
Height , Wysokość
Height (%) , Wysokość (%)
Herderite , Herderyt
Heulandite , Heulandit
High , Wysoki
High (Slower) , Wysoki (Wolniejszy)
High Frequency , Wysoka częstotliwość
High Frequency Layer , Warstwa wysokiej częstotliwości
High Key , Wysoki Klucz
High Quality , Wysoka jakość
High Scale , Wysoka skala
High Speed , Duża prędkość
High Value , Wysoka wartość
Higher Mask Threshold (%) , Wyższy próg maski (%)
Highlight (%) , Podświetlenie (%)
Highlights , Najważniejsze informacje
Highlights Abstraction , Najważniejsze informacje Abstrakcja
Highlights Brightness , Najważniejsze Jasność
Highlights Color Intensity , Najważniejsze informacje o intensywności kolorów
Highlights Crossover Point , Najważniejsze punkty na skrzyżowaniu
Highlights Lightness , Podkreślenia Lekkość
Highlights Protection , Ochrona przed zagrożeniami
Highlights Selection , Wybór najważniejszych punktów
Highlights Threshold , Wysokie wartości progowe
Highlights Zone , Najważniejsze strefy
Histogram Analysis , Analiza histogramowa
Histogram Transfer , Przeniesienie histogramu
Homogeneity , Jednolitość
Hong Kong , Hongkong
Hope Poster , Plakat nadziei
Horisontal Length , Długość pozioma
Horizontal , Horyzontalny
Horizontal (%) , Poziomy (%)
Horizontal Amount , Kwota horyzontalna
Horizontal Array , Układ poziomy
Horizontal Blur , Rozmycie poziome
Horizontal Length , Długość pozioma
Horizontal Size (%) , Wielkość pozioma (%)
Horizontal Stripes , Paski poziome
Horizontal Tiles , Płytki poziome
Horizontal Warp Only , Tylko osnowa pozioma
Horror Blue , Horror Niebieski
Hot , Gorący
Hot (256) , Gorący (256)
House , Dom
Householder , Właściciel domu
HSI [all] , HSI [wszyscy]
HSI [Intensity] , HSI [Intensywność]
HSL [all] , HSL [wszyscy]
HSL [Lightness] , HSL [Lekkość]
HSL Adjustment , Regulacja HSL
HSV [all] , HSV [wszyscy]
HSV [Saturation] , HSV [Nasycenie]
HSV [Value] , HSV [Wartość]
HSV Select , HSV Wybierz
Hue Factor , Czynnik barwy (Hue Factor)
Hue Offset , Przesunięcie barwy (Hue Offset)
Hue Smoothness , Hue Gładkość
Human  2 , Człowiek 2
Human 1 , Człowiek 1
Human 2 , Człowiek 2
Hybrid Median - Medium Speed Softest Output , Hybrydowa Mediana - Średnia prędkość Najmniejsza wydajność
Hypnosis , Hipnoza
Iain Noise Reduction 2019 , Redukcja hałasu Iain 2019
Identity , Tożsamość
Ignore , Ignoruj
Ignore Current Aspect , Ignorowanie aspektów bieżących
Illuminate 2D Shape , Oświetlenie kształtu 2D
Illumination , Oświetlenie
Illustration Look , Ilustracja Spójrz
Image , Obrazek
Image + Background , Obraz + tło
Image + Colors (2 Layers) , Obraz + kolory (2 warstwy)
Image + Colors (Multi-Layers) , Obraz + kolory (Multi-Layers)
Image Contour Dimensions , Wymiary konturu obrazu
Image Smoothness , Gładkość obrazu
Image to Grab Color from (.Png) , Image to Grab Color z (.Png)
Image Weight , Waga obrazu
Import Data , Dane dotyczące przywozu
Import RGB-565 File , Import pliku RGB-565
Impulses 5x5 , Impulsy 5x5
Impulses 7x7 , Impulsy 7x7
Impulses 9x9 , Impulsy 9x9
Inch , Cale
Include Opacity Layer , Włączyć warstwę kryjącą
IncreaseChroma1 , ZwiększyćChroma1
Increasing , Rosnące
Industrial 33 , Przemysłowy 33
Influence of Color Samples (%) , Wpływ próbek koloru (%)
Information , Informacja
