<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
CMYK Tone , CMYKトーン
Coarse , 粗い
Coarsest (faster) , 最も粗い（速い
Cobi 3 , コビ3
Code , コード
Coefficients , 係数
Coffee 44 , コーヒー44
Coherence , コヒーレンス
Cold Clear Blue , コールドクリアブルー
Cold Clear Blue 1 , コールドクリアブルー 1
Cold Simplicity 2 , コールド・シンプリシティ2
Color , カラー
Color (rich) , カラー(リッチ)
Color 1 , カラー1
Color 1 (Up/Left Corner) , カラー1（上/左コーナー
Color 2 , カラー2
Color 2 (Up/Right Corner) , カラー2（上・右コーナー
Color 3 , カラー3
Color 3 (Bottom/Left Corner) , カラー3（下/左コーナー
Color 4 , カラー4
Color 4 (Bottom/Right Corner) , カラー4(下/右コーナー)
Color A , カラーA
Color Abstraction Opacity , 色の抽象化 不透明度
Color Abstraction Paint , カラー抽象化ペイント
Color B , カラーB
Color Balance , カラーバランス
Color Basis , カラーベース
Color Blending , カラーブレンド
Color Blindness , 色覚異常
Color Blue-Yellow , 色青黄色
Color Boost , カラーブースト
Color Burn , カラーバーン
Color C , カラーC
Color Channel  Smoothing , カラーチャンネルのスムージング
Color Channels , カラーチャンネル
Color D , カラーD
Color Dispersion , 色分散
Color Doping , カラードーピング
Color E , カラーE
Color Effect Mode , カラーエフェクトモード
Color F , カラーF
Color G , カラーG
Color Gamma , カラーガンマ
Color Grading , カラーグレーディング
Color Green-Magenta , カラーグリーン・マゼンタ
Color Highlights , カラーハイライト
Color Image , カラー画像
Color Intensity , 色の強度
Color Mask , カラーマスク
Color Mask [Interactive] , カラーマスク[インタラクティブ]
Color Median , 色の中央値
Color Metric , カラーメトリック
Color Midtones , カラーミッドトーン
Color Mode , カラーモード
Color Model , カラーモデル
Color Negative , カラーネガティブ
Color on White , 白の上の色
Color Overall Effect , カラー全体の効果
Color Presets , カラープリセット
Color Quantization , 色の量子化
Color Rendering , カラーレンダリング
Color Shading (%) , 色の濃淡 (%)
Color Shadows , カラーシャドウ
Color Smoothness , 色の滑らかさ
Color Space , カラースペース
Color Spots + Extrapolated Colors + Lineart , カラースポット＋外挿し色＋ラインアート
Color Spots + Lineart , カラースポット＋ラインアート
Color Strength , 色の強さ
Color Temperature , 色温度
Color Tolerance , 色の公差
Color Variation [Random -1] , カラーバリエーション[ランダム-1]
Colorbase , カラーベース
Colorburn , カラーバーン
Colored Geometry , 色付き幾何学
Colored Grain , 着色された穀物
Colored Lineart , 色付きラインアート
Colored on Black , 黒地に着色
Colored on Transparent , 透明な上に着色された
Colored Outline , 色付きアウトライン
Colored Pencils , 色鉛筆
Colored Regions , 色付き地域
Colorful , カラフルな
Colorful 0209 , カラフルな0209
Colorful Blobs , カラフルなブロブ
Coloring , カラーリング
Colorize [Interactive] , カラーライズ[インタラクティブ]
Colorize [Photographs] , カラーライズ[写真]をする
Colorize [with Colormap] , カラーライズ [カラーマップ付き]
Colorize Lineart [Auto-Fill] , 線画のカラー化 [自動塗りつぶし]
Colorize Lineart [Propagation] , 線画をカラー化する [伝搬]
Colorize Lineart [Smart Coloring] , Colorize Lineart [スマートぬりえ]
Colorize Mode , カラー化モード
Colorized Image (1 Layer) , カラー画像(1レイヤー)
Colormap , コロマップ
Colormap Type , カラーマップの種類
Colors , 色
Colors A , カラーズA
Colors B , カラーB
Colors Only , 色のみ
Colors Only (1 Layer) , 色のみ（1層
Colors to Layers , 色からレイヤーへ
Colorspace , 色空間
Colour , 色
Colour Channels , カラーチャンネル
Colour Model , カラーモデル
Colour Smoothing , カラースムージング
Colour Space Mode , カラースペースモード
Column by Column , コラム別
Comic Style , コミックスタイル
Comix Colors , コミックスカラー
Components , 構成要素
Composed Layers , 合成レイヤー
Compress Highlights , 圧縮ハイライト
Compression Blur , 圧縮ぼかし
Compression Filter , 圧縮フィルター
Computation Mode , 計算モード
Cone , コーン
Conflict 01 , コンフリクト01
Conformal Maps , コンフォーマルマップ
Connect-Four , コネクトフォー
Connectivity , 接続性
Connectors Centering , コネクタセンタリング
Connectors Variability , コネクタのばらつき
Constrain Image Size , 画像サイズの制限
Constrain Values , 制約値
Constrained Sharpen , 制約付きシャープネス
Constraint Radius , 制約半径
Continuous Droste , 連続ドロスト
Contour Coherence , コンターコヒーレンス
Contour Detection (%) , 輪郭の検出 (%)
Contour Normalization , 輪郭の正規化
Contour Precision , 輪郭の精密さ
Contour Threshold , コンターしきい値
Contour Threshold (%) , コンターしきい値 (%)
Contours , 輪郭
Contours + Flocon/Snowflake , 輪郭+フローコン/スノーフレーク
Contours Recursion , 輪郭の再帰
Contrail 35 , コントレール35
Contrast , コントラスト
Contrast (%) , コントラスト(%)
Contrast Smoothness , コントラストの滑らかさ
Contrast Swiss Mask , コントラストスイスマスク
Contrast with Highlights Protection , ハイライト保護とのコントラスト
Contrasty Afternoon , コントラストのあるアフタヌーン
Contrasty Green , コントラストのあるグリーン
Contributors , 投稿者
Control Point 1 , 制御点1
Control Point 2 , 制御点2
Control Point 3 , コントロールポイント3
Control Point 4 , 制御点4
Control Point 5 , コントロールポイント5
Control Point 6 , コントロールポイント6
Convolve , コンボルブ
Cool , 涼しい
Cool (256) , クール (256)
Cool / Warm , クール/ウォーム
Copper , 銅
Corner Brightness , コーナー輝度
Correlated Channels , 関連するチャネル
Cos(z) , コス(z)
Counter Clockwise , 時計回りに反時計回りに
Course 4 , コース4
Cracks , ひび割れ
Crease , クリース
Creative Pack (33) , 創造的なパック (33)
Crip Winter , クリップ冬
Crisp Romance , キリッとしたロマンス
Crisp Warm , パリッとした暖かさ
Criterion , きじゅん
Crop , クロップ
Crop (%) , 作物(%)
Cross Process CP 130 , クロスプロセスCP 130
Cross Process CP 14 , クロスプロセスCP 14
Cross Process CP 15 , クロスプロセスCP 15
Cross Process CP 16 , クロスプロセスCP 16
Cross Process CP 18 , クロスプロセスCP 18
Cross Process CP 3 , クロスプロセスCP 3
Cross Process CP 4 , クロスプロセスCP 4
Cross Process CP 6 , クロスプロセスCP 6
Cross-Hatch Amount , クロスハッチ量
Crossed , 交差した
Crosses 1 , 十字架1
Crosses 2 , クロス2
Crosshair , クロスヘア
CRT Sub-Pixels , CRTサブピクセル
Crushin , クラッシン
Crystal , クリスタル
Crystal Background , クリスタルの背景
Cube , キューブ
Cube (256) , キューブ (256)
Cubic , キュービック
Cubicle 99 , キュービクル99
Cubism , キュービズム
Cubism on Color Abstraction , 色彩抽象化の上のキュビスム
Cup , カップ
Cupid , キューピッド
Curvature , 曲率
Curvature Shadow , 曲線の影
Curve Amount , 曲線量
Curve Angle , 曲線角度
Curve Length , 曲線の長さ
Curved , 曲線
Curved Stroke , 曲線ストローク
Curves , 曲線
Curves Previously Defined , 以前に定義された曲線
Custom , カスタム
Custom Code [Global] , カスタムコード [グローバル]
Custom Code [Local] , カスタムコード [ローカル]
Custom Correction Map , カスタム修正マップ
Custom Depth Correction , カスタム深度補正
Custom Depth Maps Stream , カスタム デプスマップ ストリーム
Custom Dictionary , カスタム辞書
Custom Filter Code , カスタムフィルターコード
Custom Formula , カスタムフォーミュラ
Custom Kernel , カスタムカーネル
Custom Layers , カスタムレイヤー
Custom Layout , カスタムレイアウト
Custom Style (Bottom Layer) , カスタムスタイル（ボトムレイヤー
Custom Style (Top Layer) , カスタムスタイル（トップレイヤー
Custom Transform , カスタムトランスフォーム
Customize CLUT , CLUTのカスタマイズ
Cut , カット
Cut & Normalize , カットとノーマライズ
Cut High , カットハイ
Cut Low , カットロー
Cutout , カットアウト
Cyan , シアン
Cyan Factor , シアン因子
Cyan Shift , シアンシフト
Cyan Smoothness , シアンの滑らかさ
Cycle Layers , サイクルレイヤー
Cycles , サイクル
Cylinder , シリンダー
D and O 1 , DとO 1
Damping per Octave , オクターブあたりのダンピング
Dark  Motive , 暗い動機
Dark Blues in Sunlight , 日光の中のダークブルース
Dark Boost , ダークブースト
Dark Color , 暗い色
Dark Edges , ダークエッジ
Dark Green 02 , ダークグリーン 02
Dark Green 1 , ダークグリーン1
Dark Grey , ダークグレー
Dark Length , 暗い長さ
Dark Motive , 暗い動機
Dark Pixels , ダークピクセル
Dark Place 01 , 暗い場所01
Dark Screen , ダークスクリーン
Dark Sky , 暗黒の空
Dark Walls , 暗い壁
Darken , ダークン
Darker , 暗い
Darkness , 闇
Darkness Level , 闇のレベル
Date 39 , 日付 39
David , デヴィッド
Day for Night , 夜の日
Daylight Scene , 昼間のシーン
DCCI2x , ディーシーアイツーエックス
DCP Dehaze , DCPデハゼ
De-Anaglyph , デアナグリフ
Debug Font Size , デバッグフォントサイズ
Decagon , 十角形
Decompose , 分解
Decompose Channels , チャンネルの分解
Decoration , 装飾品
Decreasing , 減少
Deep , 深い
Deep Blue , ディープブルー
Deep Dark Warm , ディープダークウォーム
Deep High Contrast , 深いハイコントラスト
Deep Teal Fade , ディープティールフェード
Deep Warm Fade , ディープウォームフェード
Default , デフォルト
Defects Contrast , 欠陥のコントラスト
Defects Density , 欠陥密度
Defects Size , 欠陥のサイズ
Defects Smoothness , 欠陥の滑らかさ
Deform , 変形
Deinterlace , デインターレース
Deinterlace2x , デインターレース2倍
Delaunay-Oriented , デローネ指向
Delaunay: Portrait De Metzinger , デローネ：デメッツィンガーの肖像
Delaunay: Windows Open Simultaneously , 遅延：Windowsを同時に開く
Delete Layer Source , レイヤーソースの削除
Delicatessen , デリカテッセン
Denim , デニム
Denoise Simple 40 , デノワーズシンプル40
Density , 密度
Density (%) , 密度(%)
Depth , 深さ
Depth Fade In Frames , フレーム内の深さフェード
Depth Fade Out Frames , 深さフェードアウトフレーム
Depth Field Control , 深度フィールド制御
Depth Map , デプスマップ
Depth Map Construction , デプスマップの構築
Depth Map Only , デプスマップのみ
Depth Map Reconstruction , デプスマップ再構築
Depth Maps Only , デプスマップのみ
Depth-Of-Field Type , フィールド深度タイプ
Desaturate , 脱飽和
Desaturate (%) , 脱飽和度(%)
Desaturate Norm , ノルマルを脱飽和させる
Descent Method , 降臨法
Descreen , デスクリーン
Desert Gold 37 , デザートゴールド 37
Despeckle , デスペックル
Destination (%) , 宛先 (%)
Destination X-Tiles , デスティネーションXタイル
Destination Y-Tiles , デスティネーションYタイル
Detail , 詳細
Detail Level , 詳細レベル
Detail Reconstruction Detection , 詳細な再構成検出
Detail Reconstruction Smoothness , ディテール再構築の滑らかさ
Detail Reconstruction Strength , 詳細再構築強度
Detail Reconstruction Style , 詳細再構築スタイル
Detail Scale , 詳細スケール
Detail Strength , 詳細強度
Details , 詳細
Details Amount , 詳細 金額
Details Equalizer , 詳細 イコライザ
Details Scale , 詳細 スケール
Details Smoothness , 詳細 滑らかさ
Details Strength (%) , 詳細 強度(%)
Detect Skin , 皮膚を検出します。
Deuteranomaly , しんしゅうせいぶつ
Deuteranopia , 矮小化
Deviation , 偏差値
Diamond , ダイヤモンド
Diamond (Inv.) , ダイヤモンド（Inv.
Diamonds , ダイヤモンド
Diamonds (Outline) , ダイヤモンド（概要
Dices , ダイス
Dices with Colored Numbers , 色の付いた数字のサイコロ
Dices with Colored Sides , 色付きサイコロ
Dif , ディフ
Difference , 違い
Difference Mixing , 差分混合
Difference of Gaussians , ガウスの違い
Different Axis , 異軸
Diffuse (%) , 拡散率(%)
Diffuse Shadow , 拡散影
Diffusion , 拡散
Diffusion Tensors , 拡散テンソル
Diffusivity , 拡散性
Digits , 数字
Dilatation , 希釈率
Dilate , 希釈する
Dilation , 伸縮性
Dilation - Original , ダイレーション - オリジナル
Dilation / Erosion , 浸食
Dimension , 寸法
Dimension [Diff] , 寸法 [Diff]
Dimension A , 寸法A
Dimensions (%) , 寸法(%)
Dimensions Pixels , 寸法 ピクセル
Dipole: 1/(4*z^2-1) , 双極子。1/(4*z^2-1)
Direct , 直接
Direction , 方向
Directions 23 , 道順 23
Dirichlet , ディリクレ
Dirty , 汚れた
Disable , 無効化
Disabled , 無効化された
Discard Contour Guides , コンターガイドの破棄
Discard Transparency , 透明性を捨てる
Disco , ディスコ
Display , 表示
Display Blob Controls , 表示ブロブのコントロール
Display Color Axes , 表示色軸
Display Contours , 表示輪郭
Display Coordinates , 表示座標
Display Coordinates on Preview Window , プレビューウィンドウに座標を表示
Display Debug Info on Preview , プレビューにデバッグ情報を表示する
Distance , 距離
Distance (Fast) , 距離（高速
Distance Transform , 距離変換
Distort Lens , レンズを歪める
Distortion Factor , ディストーションファクター
Distortion Surface Angle , 歪曲面角
Distortion Surface Position , 歪曲面位置
Disturbance Scale-By-Factor , 撹乱の規模別係数
Disturbance X , 撹乱X
Disturbance Y , 撹乱Y
Dither Output , ディザ出力
Dithering , ディザリング
Divide , 割り算
Django 25 , ジャンゴ 25
Do Not Flatten Transparency , 透明度をフラットにしない
Dodge , ダッジ
Dodge and Burn , ダッジとバーン
Dodge Blur , ダッジブラー
Dodge Strength , ダッジ力
DOF Analyzer , DOFアナライザ
Dog , 犬
Domingo 145 , ドミンゴ145
Don't Sort , ソートしないでください
DoNothing , 何もしない
Doodle , いたずら書き
Dot Size , ドットサイズ
Dots , ドット
Download External Data , 外部データのダウンロード
Dragon Curve , ドラゴンカーブ
Dragonfly , トンボ
Drawing Mode , 描画モード
Drawn Montage , 描画モンタージュ
Dream , 夢
Dream 1 , 夢1
Dream 85 , 夢85
Dream Smoothing , ドリームスムージング
Drop Blues , ドロップブルース
Drop Green Tint 14 , ドロップグリーンティント14
Drop Shadow , ドロップシャドウ
Drop Shadow 3D , ドロップシャドウ3D
Drop Water , ドロップウォーター
Droste , ドロスト
Duck , アヒル
Duplicate Bottom , 下部の複製
Duplicate Horizontal , 水平方向の複製
Duplicate Left , 左の複製
Duplicate Right , 右の複製
Duplicate Top , トップの複製
Duplicate Vertical , 垂直方向の複製
Duration , 持続時間
Dusty , ほこりっぽい
Dynamic Range Increase , ダイナミックレンジの増加
Eagle , 鷲
Earth , 地球
Earth Tone Boost , アーストーンブースト
Easy Skin Retouch , 簡単スキンレタッチ
Edge , エッジ
Edge Antialiasing , エッジアンチエイリアシング
Edge Attenuation , エッジ減衰
Edge Behavior X , エッジ行動X
Edge Behavior Y , エッジ行動Y
Edge Detect Includes Chroma , エッジディテクトにはクロマが含まれています。
Edge Exponent , エッジ指数
Edge Fidelity , エッジフィデリティ
Edge Influence , エッジの影響
Edge Mask , エッジマスク
Edge Sensitivity , エッジ感度
Edge Shade , エッジシェード
Edge Simplicity , エッジのシンプルさ
Edge Smoothness , エッジの滑らかさ
Edge Thickness , エッジ厚
Edge Threshold , エッジしきい値
Edge Threshold (%) , エッジしきい値(%)
Edge-Oriented , エッジ指向
Edges , エッジ
Edges (%) , エッジ(%)
Edges [Animated] , エッジ[アニメーション]
Edges Offsets , エッジオフセット
Edges on Fire , 火の上のエッジ
Edges-0.5 (beware: Memory-Consuming!) , エッジ-0.5（用心：メモリ消費!
Edges-1 (beware: Memory-Consuming!) , エッジ-1（用心：メモリ消費
Edges-2 (beware: Memory-Consuming!) , エッジ-2（用心：メモリを消費する
Edgy Ember , エッジの効いたこはく
Effect Strength , 効果の強さ
Effect X-Axis Scaling , 効果 X軸スケーリング
Effect Y-Axis Scaling , 効果 Y軸スケーリング
Eight Layers , 8つのレイヤー
Eight Threads , 八つのスレッド
Elegance 38 , エレガンス 38
Elephant , ぞうさん
Elevation , 昇降量
Elevation (%) , 標高(%)
Ellipse , 楕円
Ellipse Painting , 楕円の絵画
Ellipse Ratio , 楕円率
Ellipsionism , エリプシオンしゅぎ
Ellipsionism Opacity , 楕円形 不透明度
Ellipsoid , 楕円体
Emboss , エンボス
Enable Antialiasing , アンチエイリアシングを有効にする
Enable Interpolated Motion , 補間モーションを有効にする
Enable Morphology , 形態素解析を有効にする
Enable Paintstroke , ペイントストロークを有効にする
Enable Segmentation , セグメンテーションを有効にする
Enchanted , エンチャンテッド
End Color , エンドカラー
End Frame Number , エンドフレーム番号
End of Mid-Tones , ミッドトーン終了
End Point Connectivity , エンドポイント接続性
End Point Rate (%) , エンドポイント率(%)
Ending Angle , 終了角度
Ending Color , エンディングカラー
Ending Feathering , エンディングフェザーリング
Ending Point (%) , 終了点(%)
Ending Scale (%) , 終了規模(%)
Ending Value , エンディングバリュー
Ending X-Centering , エンディングXセンタリング
Ending Y-Centering , エンディングYセンター
Engrave , 刻印
Enhance Detail , 詳細を強調する
Enhance Details , 詳細を強化する
Equalization , 平衡化
Equalization (%) , 均等化(%)
Equalize , イコライズ
Equalize and Normalize , イコライズとノーマライズ
Equalize at Each Step , 各ステップで均等化
Equalize HSI-HSL-HSV , HSI-HSL-HSVを均等化する
Equalize HSV , HSVを均等化
Equalize Light , イコライズライト
Equalize Local Histograms , 局所ヒストグラムの均等化
Equalize Shadow , イコライズシャドウ
Equation Plot [Parametric] , 方程式のプロット [パラメトリック]
Equation Plot [Y=f(X)] , 式プロット [Y=f(X)]
Equirectangular to Nadir-Zenith , ナディール天頂に直角
Eric Ellerbrock (14) , エリック・エラブロック (14)
Erosion , 浸食
Erosion / Dilation , 浸食・脱毛
Etch Tones , エッチトーン
Eterna for Flog , フログのためのエテルナ
Euclidean , ユークリッド
Euclidean - Polar , ユークリッド-極
Exclusion , 除外
Exp , エクスポ
Exp(z) , エクスポ(z)
Expand , 展開
Expand Background Reconstruction , 背景の再構築を拡大
Expand Shadows , 影の拡大
Expand Size , 拡張サイズ
Expanding Mirrors , 拡大鏡
Expired (fade) , 期限切れ（フェード
Expired (polaroid) , 期限切れ（ポラロイド
Expired 69 , 期限切れ69
Exponent , 指数
Exponent (Imaginary) , 指数（虚数
Exponent (Real) , 指数（実数
Exponential , 指数的
Export RGB-565 File , エクスポートRGB-565ファイル
Exposure , 露出
Expression , 表現方法
Extend 1px , 1px拡張
External Transparency , 外部からの透明性
Extra  Smooth , エクストラ・スムース
Extract Foreground [Interactive] , 前景を抽出する [インタラクティブ]
Extract Objects , オブジェクトの抽出
Extrapolate Color Spots on Transparent Top Layer , 透明トップレイヤーの色点を外挿し
Extrapolate Colors As , 色の外挿
Extrapolated Colors + Lineart , 外挿し色＋ラインアート
Extreme , 極端な
F(X) , エフ
Factor , 因子
Fade , フェード
Fade End , フェードエンド
Fade End (%) , フェードエンド(%)
Fade Layers , フェードレイヤー
Fade Start , フェードスタート
Fade Start (%) , フェード開始 (%)
Fade to Green , フェード・トゥ・グリーン
Faded , 色あせた
Faded (alt) , 色あせた(alt)
Faded (analog) , フェード（アナログ
Faded (extreme) , 色あせた（極端
Faded (vivid) , 色あせた（鮮やかな
Faded 47 , フェード47
Faded Green , フェードグリーン
Faded Look , フェードルック
Faded Print , フェードプリント
Faded Retro 01 , フェードレトロ01
Faded Retro 02 , フェードレトロ02
Fading , フェージング
Fading Shape , フェージング形状
Fall Colors , 秋の色
Far Point Deviation , 極点偏差
Fast , ファスト
Fast &#40;Approx.&#41; , 速い (約 &#41.
Fast (Low Precision) Preview , 高速（低精度）プレビュー
Fast Approximation , 高速近似
Fast Blend , 高速ブレンド
Fast Blend Preview , 高速ブレンドプレビュー
Fast Recovery , 高速回復
Fast Resize , 高速リサイズ
Faux Infrared , 擬似赤外線
Feathering , フェザーリング
Feature Analyzer Smoothness , フィーチャーアナライザーの滑らかさ
Feature Analyzer Threshold , フィーチャーアナライザしきい値
Felt Pen , フェルトペン
FFT Preview , FFTプレビュー
Fibers , 繊維
Fibers Amplitude , 繊維の振幅
Fibers Smoothness , 繊維の滑らかさ
Fibrousness , 繊維性
Fidelity Chromaticity , フィデリティ 色度
Fidelity Smoothness (Coarsest) , フィデリティの滑らかさ（最も粗い
Fidelity Smoothness (Finest) , フィデリティ・スムースネス（最高級
Fidelity to Target (Coarsest) , ターゲットへの忠実度（コアス
Fidelity to Target (Finest) , ターゲットへのフィデリティ（フィネスト
Filename , ファイル名
Fill Holes , 充填穴
Fill Holes % , 塗りつぶし穴 %.
Fill Transparent Holes , 透明な穴を埋める
Filled , 満たされた
Filled Circles , 塗りつぶした円
Filling , 充填
Film 0987 , フィルム0987
Film 9879 , フィルム9879
Film Highlight Contrast , フィルムハイライトコントラスト
Film Print 01 , フィルムプリント01
Film Print 02 , フィルムプリント 02
Filmic , フィルム
Filter Design , フィルター設計
FilterGrade Cinematic (8) , フィルタグレードシネマ (8)
Final Image , 最終画像
Fine , ファイン
Fine 2 , ファイン2
Fine Details Smoothness , 細部の滑らかさ
Fine Details Threshold , 細部のしきい値
Fine Noise , ファインノイズ
Fine Scale , ファインスケール
Finest (slower) , 最上級(遅め)
Finger Paint , フィンガーペイント
Finger Size , 指のサイズ
Fire Effect , 火の効果
Fireworks , 花火
First , 最初の
First Color , ファーストカラー
First Frame , 最初のフレーム
First Offset , 最初のオフセット
First Radius , 第一半径
First Size , ファーストサイズ
Fish-Eye , フィッシュアイ
Fish-Eye Effect , フィッシュアイ効果
Fitting Function , フィット機能
Five Layers , 5つのレイヤー
Flag , 旗
Flag (256) , フラグ (256)
Flat , フラット
Flat 30 , フラット30
Flat Color , フラットカラー
Flat Regions Removal , フラットリージョンの除去
Flat-Shaded , フラットシェード
Flatness , 平坦度
Flavin , フラビン
Flip , フリップ
Flip & Rotate Blocs , ブロックの反転と回転
Flip Cross-Hatch , フリップクロスハッチ
Flip Left / Right , フリップ左/右
Flip Left/Right , 左/右反転
Flip The Pattern , パターンを反転させる
Flip Tolerance , フリップ公差
Flower , 花
Focale , フォカーレ
Foggy Night , 霧の夜
Folder Name , フォルダ名
Folger 50 , フォルガー50
Font Colors , フォントの色
Font Height (px) , フォントの高さ (px)
Force Gray , フォースグレー
Force Re-Download from Scratch , スクラッチからの強制再ダウンロード
Force Tiles to Have Same Size , 瓦の大きさを強制的に同じにする
Force Transparency , 強制透明化
Foreground Color , 前景色
Form , 形態
Formula , 式
Forward , 前方
Forward  Horizontal , 前方水平
Forward Horizontal , 前方水平
Forward Vertical , 前方垂直
Four Layers , 4つの層
Four Threads , 四つのスレッド
Fourier Analysis , フーリエ解析
Fourier Filtering , フーリエフィルタリング
Fourier Transform , フーリエ変換
Fourier Watermark , フーリエ電子透かし
FOV , 視野
Fractal Noise , フラクタルノイズ
Fractal Points , フラクタルポイント
Fractal Set , フラクタルセット
Fractal Whirl , フラクタルの渦巻き
Fractalize , フラクタル化
Fractured Clouds , 分裂した雲
Fragment Blur , フラグメントブラー
Frame (px) , フレーム(px)
Frame [Blur] , フレーム [ぼかし]
Frame [Cube] , フレーム【キューブ
Frame [Fuzzy] , フレーム [ファジー]
Frame [Mirror] , フレーム【ミラー
Frame [Painting] , フレーム [絵画]
Frame [Pattern] , フレーム[パターン]
Frame [Regular] , フレーム [レギュラー]
Frame [Round] , フレーム[丸]
Frame [Smooth] , フレーム[スムース]
Frame as a New Layer , 新しいレイヤーとしてのフレーム
Frame Color , フレーム色
Frame Files Format , フレームファイル形式
Frame Format , フレームフォーマット
Frame Size , フレームサイズ
Frame Skip , フレームスキップ
Frame Type , フレームのタイプ
Frame Width , フレーム幅
Frames , フレーム
Frames Offset , フレームオフセット
Freaky B&W , 気紛れな白黒
Freaky Details , フリーキーの詳細
Freeze , 凍結
French Comedy , フレンチコメディ
Frequency , 周波数
Frequency (%) , 頻度(%)
Frequency Analyzer , 周波数分析器
Frequency Range , 周波数範囲
Freqy Pattern , フリーキーパターン
Friends Hall of Fame , フレンド殿堂
From Input , 入力から
From Reference Color , リファレンスカラーから
Frosted , 曇らされた
Frosted Beach Picnic , フロストビーチピクニック
Fruits , 果物
Fuji 160C , 富士山160C
Fuji 160C + , 富士山１６０Ｃ+の
Fuji 160C ++ , 富士山160C ++。
Fuji 160C - , 富士山160C
Fuji 3510 (Constlclip) , 富士山3510(コンストレクリップ)
Fuji 3510 (Constlmap) , 富士山3510 (コンストマップ)
Fuji 3510 (Cuspclip) , 富士山3510（カスクリップ
Fuji 3513 (Constlclip) , 富士山3513 (コンストレクリップ)
Fuji 3513 (Constlmap) , 富士山3513 (コンストラルマップ)
Fuji 3513 (Cuspclip) , 富士山3513（カスクリップ
Fuji 400H , 富士山400H
Fuji 400H + , 富士山４００Ｈ＋富士山４００Ｈ
Fuji 400H ++ , 富士山400H＋＋＋。
Fuji 400H - , 富士山400H
Fuji 800Z , 富士800Z
Fuji 800Z + , 富士山８００ｚ＋富士山８００ｚ
Fuji 800Z ++ , 富士山800Z＋＋＋。
Fuji 800Z - , 富士山800Z
Fuji Astia 100F , 富士アスティア100F
Fuji FP 100C , 富士ＦＰ１００Ｃ
Fuji FP-100c , フジエフピー100c
Fuji FP-100c (alt) , 富士山FP-100c (alt)
Fuji FP-100c + , 富士山FP-100c＋富士山FP-100c
Fuji FP-100c ++ , 富士山FP-100c ++。
Fuji FP-100c +++ , 富士山FP-100c ＋＋＋＋＋＋。
Fuji FP-100c ++a , 富士山FP-100c ++a
Fuji FP-100c - , 富士山FP-100c
Fuji FP-100c -- , 富士山FP-100c
Fuji FP-100c Cool , 富士山FP-100c クール
Fuji FP-100c Cool + , 富士山FP-100cクール＋α
Fuji FP-100c Cool ++ , 富士山FP-100cクール＋＋＋。
Fuji FP-100c Cool - , 富士山FP-100c クール
Fuji FP-100c Cool -- , 富士山FP-100c クール
Fuji FP-100c Negative , 富士山FP-100cネガ
Fuji FP-100c Negative + , 富士山FP-100cネガティブ＋α
Fuji FP-100c Negative ++ , 富士山FP-100cネガティブ+++。
Fuji FP-100c Negative +++ , 富士山FP-100cネガティブ＋＋＋＋＋＋。
Fuji FP-100c Negative ++a , 富士山FP-100cネガティブ++a
Fuji FP-100c Negative - , 富士山FP-100c ネガティブ
Fuji FP-100c Negative -- , 富士山FP-100cネガ
Fuji FP-3000b , 富士FP-3000b
Fuji FP-3000b + , 富士山FP-3000b＋富士山FP-3000b
Fuji FP-3000b ++ , 富士山FP-3000b ++。
Fuji FP-3000b +++ , 富士山FP-3000b +＋＋＋＋。
Fuji FP-3000b - , 富士山FP-3000b
Fuji FP-3000b -- , 富士山FP-3000b
Fuji FP-3000b HC , 富士山FP-3000b HC
Fuji FP-3000b Negative , 富士山FP-3000bネガ
Fuji FP-3000b Negative + , 富士山FP-3000bネガティブ＋α
Fuji FP-3000b Negative ++ , 富士山FP-3000bネガティブ++。
Fuji FP-3000b Negative +++ , 富士山FP-3000bネガティブ++++++。
Fuji FP-3000b Negative - , 富士山FP-3000bネガ
Fuji FP-3000b Negative -- , 富士山FP-3000bネガ
Fuji FP-3000b Negative Early , 富士山FP-3000bネガティブ初期
Fuji HDR , フジHDR
Fuji Ilford Delta 3200 , 富士山イルフォードデルタ3200
Fuji Ilford Delta 3200 + , 富士山イルフォードデルタ3200＋α
Fuji Ilford Delta 3200 ++ , 富士山イルフォードデルタ3200＋＋＋。
Fuji Ilford Delta 3200 - , 富士山イルフォードデルタ3200
Fuji Ilford HP5 , 富士山イルフォードHP5
Fuji Ilford HP5 + , 富士山イルフォードのHP5枚＋α
Fuji Ilford HP5 ++ , 富士山イルフォードのHP5+++。
Fuji Ilford HP5 - , 富士山イルフォードHP5
Fuji Neopan 1600 , 富士ネオパン1600
Fuji Neopan 1600 + , 富士ネオパン1600＋α
Fuji Neopan 1600 ++ , 富士ネオパン1600＋＋＋で
Fuji Neopan 1600 - , 富士ネオパン1600
Fuji Neopan Acros 100 , 富士ネオパンアクロス100
Fuji Provia 100F , 富士プロビア100F
Fuji Provia 400F , 富士プロビア400F
Fuji Provia 400X , 富士プロビア400X
Fuji Sensia 100 , フジセンシア100
Fuji Superia 100 , フジスーペリア100
Fuji Superia 100 + , フジスーペリア１００+
Fuji Superia 100 ++ , フジスーペリア100+++。
Fuji Superia 100 - , フジスーペリア100
Fuji Superia 1600 , フジスーペリア1600
Fuji Superia 1600 + , フジスーペリア1600＋α
Fuji Superia 1600 ++ , フジスーペリア1600＋＋＋。
Fuji Superia 1600 - , フジスーペリア1600
Fuji Superia 200 , フジスーペリア200
