Light , Légère , Comic Book
None , Aucune , Comic Book
For edges: , Pour les bords :
One Layer (Horizontal) , Un calque (horizontal)
Polygonize [Delaunay] , Polygonise [Delaunay]
Polygonize [Energy] , Polygonise [Énergie]
Pop Shadows , Fait ressortir les ombres
Minimal Stroke Length , Longueur minimale de trait
Popcorn Fractal , Fractales Popcorn
Only Red and Blue , Seulement rouge et bleu
Only Red , Seulement rouge
Portrait Retouching , Retouche de portrait
Minimal Color Intensity , Intensité minimale de couleur
Newspaper , Papier journal
Minimal Area (%) , Aire minimale (%)
Offset Y-Transformation , Transformation du décalage-Y
Minimal Highlights , Ton clairs minimaux
Morphological Filter , Filtre morphologique
Oddness (%) , Étrangeté (%)
Newton Fractal , Fractale de Newton
Posterization Level , Niveau de postérisation
Posterize , Postérise
Posterization Antialiasing , Anti-crénelage de postérisation
Post-Process , Post-traitement
Offset X-Transformation , Transformation du décalage-X
Offset (%) , Décalage (%)
Poster Edges , Contours de poster
Minimal Radius , Rayon minimal
Old-Movie Stripes , Rayures de vieux film
Old West , Vieil Ouest
Morphological Closing , Fermeture morphologique
Offsets , Décalages
New Filters , Nouveaux filtres
Minimal Path , Chemin minimal
Old Photograph , Vieille photographie
Old Method - Slowest , Ancienne méthode - la plus lente
Quick Enlarge , Aggrandissement rapide
Quick Tonemap , Projection des tons rapides
R/B Smoothness (Principal) , Régularité R/B (principal)
Quick Copyright , Copyright rapide
Quick , Rapide
Noise [Perlin] , Bruit [Perlin]
RGB Tone , Ton RVB
Noise [Additive] , Bruit [Additif]
RGB Quantization , Quantification RVB
R/B Smoothness (Secondary) , Régularité R/B (secondaire)
Noise [Spread] , Bruit [dispersé]
Mid , Moyen
RGB Image + Binary Mask (2 Layers) , Image RVB + Masque binaire (2 calques)
Micro/macro Details  Adjusted , Ajustement des micro/macro détails
Non-Linearity , Non-linéarité
Motion Analyzer , Analyseur de mouvement
Motion-Compensated , Compensé en mouvement
Pyramid Processing , Traitement pyramidal
Pseudorandom Noise , Bruit pseudo-aléatoire
Push Point , Point de pression
Normal Inverted , Nomales inversées
Mid Noise , Bruit moyen
Mid Grey , Gris moyen
Moving Leaf , Feuille mouvante
Non-Rigid , Non-rigide
Quality (%) , Qualité (%)
Pythagoras Tree , Arbre de Pythagore
Norm Type , Type de norme
Quadtree Variations , Variations d'abres quaternaires
Quality , Qualité
RYB , RJB
Medium Scale (Smoothed) , Échelle moyenne (lissée)
Medium Scale (Original) , Échelle moyenne (originale)
Medium Frequency Layer , Calque de fréquence moyenne
Night 04 , Nuit 04
Nine Layers , Neuf calques
Merge Brightness / Colors , Fusionner luminosité/couleurs
No Rescaling , Pas de redimensionnement
No Recovery , Pas de récupération
Memories , Mémoires
No Masking , Pas de masquage
Radioactive Flower , Fleur radioactive
Night From Day , Nuit à partir du jour
Night 05 , Nuit 05
RYB8 , RJB8
Radial Edge Behaviour , Comportement de contour radial
Radial Influence , Influence radiale
No Transparency , Pas de transparence
Noise , Bruit
Metallic Look , Look métallique
Metal , Métal
Noise Level , Niveau de bruit
Night 03 , Nuit 03
Metropolis , Métropolis
Noise Scale , Échelle de bruit
Metric , Métrique
RGBA Image (Updatable / 1 Layer) , Image RVBA (modifiable / 1 calque)
Merging Steps , Étapes de fusion
Merging Mode , Mode de fusion
Merge Layers? , Fusionne les calques ?
RGBA Image (Full-Transparency / 1 Layer) , Image RVBA (En transparence / 1 calque)
Mess with Bits , S'amuser avec les bits
RGB8 , RVB8
RGBA , RVBA
No-Skip , Pas de saut
RGBA Foreground + Background (2 Layers) , Avant-plan RVBA + Arrière plan (2 calques)
Pseudo-Gray Dithering , Tramage en pseudo-gris
Nostalgia Honey , Miel de nostalgie
Normalize Scales , Normalise les échelles
Preview Without Alpha , Prévisualise sans le Alpha
Preview Tones Map , Prévisualise la carte des tons
Preview Shape , Prévisualise la forme
Min Angle Deviation (deg) ,
Moviz 34 ,
Preview Subsampling ,
Preview Time ,
Normalize Input ,
Primary Radius (%) ,
Mighty Details ,
Morroco 16 ,
Primary Shift ,
Primary Gamma ,
Moviz 44 ,
Prewitt-Y ,
Primary Angle ,
Primary Color ,
Primary Factor ,
Preview Selection ,
Preview Light Shape ,
Preview Mapping ,
Preview Mask ,
Number of Clusters ,
Preview Only Shadow ,
Morphology Strength ,
Number of Iterations ,
Preview Grain Alone ,
Number of Inter-Frames ,
Preview Grid ,
Morphology Painting ,
Min Cut (%) ,
Nostalgic ,
Moviz 45 ,
Min Area % ,
Preview Reference Circle ,
Moviz 46 ,
Preview Opacity (%) ,
Number of Angles ,
Number of Added Frames ,
Preview Progress (%) ,
Nothing ,
Normal Output ,
Process by Blocs of Size ,
Processing Mode ,
Progressen ,
Propagation ,
Process Transparency ,
Process Channels Individually ,
Middle Grey ,
Process Top Layer Only ,
Mid-Light Grey ,
Mid-Dark Grey ,
Mid Tone Contrast ,
Prussian Blue ,
Mid Offset ,
Mostly Blue ,
Moviz 37 ,
Provia ,
Moviz 36 ,
Proportion ,
Protanomaly ,
Protanopia ,
Protect Highlights 01 ,
Middle Scale ,
Print Size Unit ,
Print Size Width ,
Privacy Notice ,
Pro Neg Hi ,
Moviz 43 ,
Print Frame Numbers ,
Primary Twist ,
Print Adjustment Marks ,
Print Films (12) ,
Normalize Illumination ,
Midtones Hue ,
Midpoint Shift ,
Midpoint ,
Probability Map ,
Procedural ,
Process As ,
Pro Neg Std ,
Mosaic ,
Midtones Color Intensity ,
Moviz 35 ,
Midtones Brightness ,
Normalize Brightness ,
Minimal Value ,
Output CLUT Resolution ,
Moire Removal Method ,
Output CLUT ,
Output Ascii File ,
Moviz 26 ,
Output Chroma NR ,
Mona Lisa ,
Output Each Piece on a Different Layer ,
Output Directory ,
Output Corresponding CLUT ,
Output Coordinates File ,
Outline Smoothness ,
Peppers ,
Outline Opacity ,
Outline Contrast ,
Negative Effect ,
Moire Removal ,
Moody-5 ,
Pencils ,
Nature & Wildlife-5 ,
Outlined ,
Outline Thickness ,
Moody-4 ,
Moviz 18 ,
Paw ,
Moody-2 ,
Pen Drawing ,
Penalize Patch Repetitions ,
Pattern Width ,
Nb Branches / Rays ,
Mondrian: Gray Tree ,
Output HTML File ,
Moviz 19 ,
Nature & Wildlife-9 ,
Moviz 17 ,
Nature & Wildlife-7 ,
Nature & Wildlife-6 ,
Moody-3 ,
Pencil Portrait ,
Nature & Wildlife-8 ,
Negative Color Abstraction ,
Moviz 25 ,
Pencil ,
Mondrian: Evening; Red Tree ,
Mondrian: Composition in Red-Yellow-Blue ,
PictureFX - Faux Infrared Color P2 ,
PictureFX - Faux Infrared Color P3 ,
Negative [Old] (44) ,
PictureFX - Faux Infrared R0a ,
PictureFX - Faux Infrared R0b ,
PictureFX - Faux Infrared B&W1 ,
Modern Films 06 ,
Picabia: Udnie ,
Picasso: Seated Woman ,
Picasso: The Reservoir - Horta De Ebro ,
PictureFX (25) ,
Neighborhood Smoothness ,
Modern Films 04 ,
Nemesis ,
Neon 770 ,
Moviz 16 ,
Neighborhood Size (%) ,
Name ,
PictureFX - Faux Infrared YP1 ,
Piece Complexity ,
Modern Films 05 ,
Piece Size (px) ,
Modern Films 07 ,
Moir&eacute; Animation ,
Perturbation ,
Petallian ,
Petals ,
Phase ,
Moviz 27 ,
Moody-6 ,
Periodic Dots ,
Periodicity ,
Nature & Wildlife-4 ,
Negative [Color] (13) ,
Moody-7 ,
Natural (vivid) ,
PhotoComix Preset ,
Photoillustration ,
Negative [New] (39) ,
Nature & Wildlife-1 ,
Nature & Wildlife-3 ,
Nature & Wildlife-2 ,
Phone ,
Modulo Value ,
Nature & Wildlife-10 ,
Monet: San Giorgio Maggiore at Dusk ,
Moody ,
Mono-Directional ,
Mono+Ye ,
Output Width ,
Moviz 20 ,
Padding (px) ,
PIXLS.US (31) ,
Pack ,
Pack Sprites ,
Pacman ,
Moviz 22 ,
Output Stroke Layer On ,
Output Sharpening ,
Mono+G ,
Output Saturation ,
Painting Order ,
Painting Opacity ,
Paint Effect ,
Mono+R ,
Paint Splat ,
Paint With Brush ,
Painting ,
PI-Based Scaling ,
Outside-In ,
Outward ,
Overall Blur ,
Overall Contrast ,
Overall Lightness ,
Outside Color ,
Montage ,
Near Black ,
Moviz 21 ,
Output to Folder ,
Outside ,
Montage Type ,
Overshoot ,
P''(z) ,
P(z) ,
PCA Transfer ,
Overload Y ,
Overlap (%) ,
Monochrome 2 ,
Overload Count** ,
Overload X ,
Monochrome 1 ,
Patch Size for Synthesis (Final) ,
Patch Smoothness ,
Patch Variance ,
Pattern ,
Pattern Angle ,
Patch Size for Synthesis ,
Mono ,
Patch ,
Patch Measure ,
Monkey ,
Patch Size for Analysis ,
Negate ,
Pattern Weight ,
Monet: Wheatstacks - End of Summer ,
Moviz 24 ,
Monet: Water-Lily Pond ,
Pattern Variation 3 ,
Pattern Height ,
Pattern Type ,
Moviz 23 ,
Pattern Variation 1 ,
Pattern Variation 2 ,
Output Height ,
Paladin 1875 ,
Paper Texture ,
Nb Cercles Extérieurs / Circles Surrounding ,
Parabolic ,
Output Preset as a HaldCLUT Layer ,
Moody-10 ,
Paintstroke ,
Neat Merge ,
Output Region Delimiters ,
Moody-1 ,
Paladin ,
Moviz 2 ,
Pasadena 21 ,
Passing By ,
Pastell Art ,
Output Layers ,
Parrots ,
Output Multiple Layers ,
Nebulous ,
Parabolic Chaos ,
Mono Tinted ,
Parameter Settings ,
Opposing ,
Polaroid PX-100UV+ Warm ,
Polaroid PX-100UV+ Warm + ,
Mirror Effect ,
Multiple Colored Shapes Over Transp. BG ,
Neutral Pump ,
Mirror X ,
Moviz 12 ,
Neutral Color ,
Polaroid PX-100UV+ Cold ++ ,
Polaroid PX-100UV+ Cold +++ ,
Polaroid PX-680 + ,
Morph [Interactive] ,
Mul ,
Operation Yellow ,
Ministeck ,
Polaroid PX-680 ,
Polaroid PX-100UV+ Warm ++ ,
Multi-Layer Etch ,
Polaroid PX-100UV+ Warm +++ ,
Neutral Teal Orange ,
Neutral Warm Fade ,
Mirror Y ,
Moviz 28 ,
Polaroid 690 Warm + ,
Polaroid 690 Warm ++ ,
Orange Underexposed ,
Multipliers ,
Oranges ,
Order By ,
Order ,
Polaroid 690 Warm ,
Mixed Mode ,
Mix ,
Morning 6 ,
Orange Dark 4 ,
Morph Layers ,
Moviz 29 ,
Multiple Layers ,
Moviz 13 ,
Orange Tone ,
Orange Dark Look ,
Polaroid PX-100UV+ Cold ,
Orange Dark 7 ,
Polaroid PX-100UV+ Cold + ,
Polaroid PX-70 Warm + ,
Polaroid PX-70 Warm ++ ,
Polaroid Polachrome ,
Opacity Gamma ,
Opacity Gain ,
Polaroid PX-70 Warm ,
Polaroid PX-70 Cold ,
Polaroid PX-70 Cold + ,
Polaroid PX-70 Cold ++ ,
Opacity as Heightmap ,
Opacity Threshold (%) ,
Morphological - Fastest Sharpest Output ,
Pole Lat ,
Minimalist Caffeination ,
Pole Long ,
Pole Rotation ,
Polaroid Time Zero (Expired) Cold ,
Polaroid Time Zero (Expired) ,
Opacity Factor ,
Polaroid Time Zero (Expired) + ,
Polaroid Time Zero (Expired) ++ ,
MorphoStrenght ,
Opaque Pixels ,
Polaroid PX-680 Cold ++a ,
Minimum Red:Blue Ratio in the Fringe ,
Minimum Dimension ,
Minimum Brightness ,
Minimum ,
Open Interactive Preview ,
Polaroid PX-680 ++ ,
New Curves [Interactive] ,
Polaroid PX-680 Cold ,
Polaroid PX-680 Cold + ,
Polaroid PX-680 Cold ++ ,
Output as Multiple Layers ,
Polaroid PX-70 + ,
Polaroid PX-70 ++ ,
Polaroid PX-70 +++ ,
Moviz 30 ,
Opaque Regions on Top Layer ,
Opaque Skin ,
Polaroid PX-680 Warm ,
Moviz 3 ,
Polaroid PX-680 Warm + ,
Polaroid PX-680 Warm ++ ,
Polaroid 690 Cold ++ ,
Placement ,
Orthogonal Radius ,
Placement of Distortion ,
Plaid ,
Moviz 14 ,
Mixer [YCbCr] ,
Mod ,
Pixel Values ,
Orwo NP20-GDR ,
Pixelmator (45) ,
Orton Glow ,
Point #2 ,
Netteté / Sharpness ,
Point #3 ,
Point 1 ,
Muted 01 ,
Point #1 ,
Mixer [RGB] ,
Neon Lightning ,
Plasma Effect ,
Plot Type ,
Point #0 ,
Mode 0 ,
Outer Radius (%) ,
Pitaya 15 ,
Modern Films 01 ,
Pixel Denoise ,
Mystic Purple Sunset ,
Nah ,
Moviz 15 ,
Pink Fade ,
Modern Films 03 ,
Naif ,
Modern Films 02 ,
Ouline Color ,
Others (69) ,
Pixel Size ,
Pixel Sort ,
Mode 1 ,
Muted Fade ,
Outer Length ,
Outer Fading ,
Modeler / Shape ,
Outer ,
Pixel Push ,
Polaroid 669 Cold ,
Origin ,
Polaroid 669 Cold + ,
Moonlight ,
Orientation Only ,
Moon2panorama ,
Mixer [HSV] ,
Polaroid 669 +++ ,
Mixer [CMYK] ,
Original ,
Moody-9 ,
Polaroid 690 Cold ,
Mixer ,
Multiscale Operator ,
Moonrise ,
Polaroid 690 Cold + ,
Orientation Coherence ,
Mixer Style ,
Polaroid 672 ,
Polaroid 690 + ,
Polaroid 690 ++ ,
Moonlight 01 ,
Polaroid 669 ++ ,
Poisson + Gaussian ,
Polar Transform ,
Polaroid ,
Moody-8 ,
Polaroid 664 ,
Mixer [Lab] ,
Point 2 ,
Point Warp ,
Mixer [PCA] ,
Point Width ,
Mute Shift ,
Polaroid 665 Negative HC ,
Polaroid 667 ,
Original - (Opening + Closing)/2 ,
Polaroid 669 + ,
Munch: The Scream ,
Polaroid 665 Negative - ,
Polaroid 665 ,
Polaroid 665 + ,
Polaroid 665 ++ ,
Polaroid 665 Negative ,
Polaroid 665 Negative + ,
Tones to Layers ,
Tone Threshold ,
Tone Presets ,
Tone Mapping [Fast] ,
Total Layers ,
Top-Right Vertex (%) ,
Top-Left Vertex (%) ,
Top ,
Tone Enhance ,
Tone Blur ,
Tonal Bandwidth ,
Tolerance to Gaps ,
Tone Mapping Soft ,
Tone Mapping Fast ,
Tone Mapping (%) ,
Tone Gamma ,
Total Variation ,
Transparent Background ,
Transmittance Map ,
Transition Smoothness ,
Transition Shape ,
Transparent on Black ,
Transparent Skin ,
Transparent Color ,
Transparent Black & White ,
Transfer Colors [Patch-Based] ,
Transfer Colors [PCA] ,
Transfer Colors [Histogram] ,
Tout ,
Transition Map ,
Transformer ,
Transform ,
Transfer Colors [Variational] ,
Toggle to View Base Image ,
Threshold Mid ,
Threshold Max ,
Threshold Low ,
Threshold High ,
Tiger ,
Tic-Tac-Toe ,
Thriller 2 ,
Threshold On ,
Thorn Fractal - Secant Sea ,
Thinning (Slow) ,
Thinning ,
Thin Separators ,
Threshold Etch ,
Three Layers ,
Thorny Petal 2 ,
Thorny Petal 1 ,
Tikhonov ,
Timed Image ,
Time ,
Tilt ,
Tiles to Layers ,
Toes ,
Toasted Garden ,
To Nadir / Zenith ,
To Equirectangular ,
Tiled Isolation ,
Tileable Rotation ,
Tile Size ,
Tile Poles ,
Tiled Rotation ,
Tiled Random Shifts ,
Tiled Parameterization ,
Tiled Normalization ,
Unquantize [JPEG Smooth] ,
Unpurple ,
Unearthing Origami ,
Undo Anaglyph ,
Up-Left ,
Untwist ,
Unstrip ,
Unsharp Mask ,
UltraWarp++++ ,
Ultra Water ,
Type Flocon / Snowflake ,
Type Aperçu ,
Undeniable 2 ,
Undeniable ,
Unbounded ,
Unaligned Images ,
Up-Right ,
Urban 04 ,
Urban 03 ,
Urban 02 ,
Urban 01 ,
Use Individual Depth Map ,
Use Bi-Sided Convolution? ,
Urban Cowboy ,
Urban 05 ,
Uppercase Letters ,
Upper Side Orientation ,
Upper Layer Is the Top Layer for All Blends ,
Update Neural Network ,
Upscale [Scale2x] ,
Upscale [Edge] ,
Upscale [Diffusion] ,
Upscale [DCCI2x] ,
Two-By-Two ,
Trig-6 ,
Trig-4 ,
Triangular Vb ,
Triangular Va ,
Trunk Color ,
True Colors 8 ,
Tritanopia ,
Tritanomaly ,
Triangles (Outline) ,
Trent 18 ,
Tree ,
Transparent on White ,
Triangular Pattern ,
Triangular Interweaving ,
Triangular Hb ,
Triangular Ha ,
Trunk Opacity (%) ,
Twist Strength (%) ,
Twist Angle (°) ,
Tweed 71 ,
Turn on Rotate and Twirl ,
Twisted Tunnel ,
Twisted Rays ,
Twisted Heart 2 ,
Twisted Heart ,
Tune HSV Colors ,
Tulips ,
Tubular Waves ,
Trunks ,
Turkiest 42 ,
Turing ,
Turbulent Halftone ,
Tunnel ,
Summer (alt) ,
Summer ,
Subtractive ,
Subtle Yellow ,
Sunny (rich) ,
Sunny (alt) ,
Sunny ,
Sunlight Love ,
Subpixel Level ,
Subpixel Interpolation ,
Sublevel ,
Subdivisions ,
Subtle Green ,
Subtle Blue ,
Subsampling Level ,
Subsampling (%) ,
Sunny (warm) ,
Sutro FX ,
Surface Disturbance Multiplier ,
Surface Disturbance ,
Surface Angle ,
Sweet Bubblegum ,
Swap Sides ,
Swap Radius / Angle ,
Swan ,
Super Warm ,
Sunset Violet Mood ,
Sunset Intense Violet Blue ,
Sunset Aqua Orange ,
Superimpose with Original? ,
Superformula ,
Super-Pixels ,
Super Warm (rich) ,
Stylize ,
Stereoscopic Window Position ,
Stereoscopic Image Alignment ,
Stereographic Projection ,
Stereo Window Position ,
Street ,
Streak ,
Strands ,
Straight ,
Stencil ,
Std Thickness Factor (%) ,
Std Length Factor (%) ,
Std Branching ,
Stereo Image ,
Steps ,
Step (%) ,
Step ,
Strength Effect ,
Strong Antialias ,
Strong ,
Stroke Strength ,
Stroke Angle ,
Style Variations ,
Style ,
Studio Skin Tone Shaper ,
Structure Smoothness ,
Stretch Colors ,
Strength Shadows ,
Strength Midtones ,
Strength Highlights ,
Stroke ,
Stripe Orientation ,
Strip ,
Stretch Factor ,
Temperature Balance ,
Teigen 28 ,
Teddy ,
TechnicalFX - Backlight Filter ,
Tension Green 2 ,
Tension Green 1 ,
Tends to Be Square ,
Ten Layers ,
Teal Moonlight ,
Teal Magenta Gold ,
Teal Fade ,
Tarraco ,
Teal Orange 3 ,
Teal Orange 2 ,
Teal Orange 1 ,
Teal Orange ,
Tension Green 3 ,
Thelypteridaceae ,
The Matrices ,
The Game of Life ,
Textured Glass ,
Thin Edges ,
Thin Brush ,
Thickness(%) ,
Thickness Factor ,
Tertiary Gamma ,
Tertiary Factor ,
Terra 4 ,
Tension Green 4 ,
Texture Enhance ,
Texture ,
Tertiary Twist ,
Tertiary Shift ,
Target Color #9 ,
Target Color #10 ,
Target Color #1 ,
Taquin ,
Tanh Stroke ,
Target Color #14 ,
Target Color #13 ,
Target Color #12 ,
Target Color #11 ,
Synthesis Scale ,
Symmetrize ,
Symmetric 2D Shape ,
Sweet Gelatto ,
Tangent Radius ,
Tan(z) ,
Taille / Size ,
Taiga ,
Target Color #15 ,
Target Color #4 ,
Target Color #3 ,
Target Color #24 ,
Target Color #23 ,
Target Color #8 ,
Target Color #7 ,
Target Color #6 ,
Target Color #5 ,
Target Color #19 ,
Target Color #18 ,
Target Color #17 ,
Target Color #16 ,
Target Color #22 ,
Target Color #21 ,
Target Color #20 ,
Target Color #2 ,
Xb-Multiplier ,
Xb-Exponent ,
Xa/Xb ,
Xa-Sign ,
Y Center ,
Xy-Axes ,
Xb-Sign ,
Xb-Offset (deg.) ,
XY-Factor ,
XY-Coordinates (%) ,
XY-Axis Mode? ,
XY-Axis Formula U ,
Xa-Offset (deg.) ,
Xa-Multiplier ,
Xa-Exponent ,
XY-Light ,
Y Origine ,
Y-Coordinate [Manual] ,
Y-Coordinate ,
Y-Centering (%) ,
Y-Center ,
Y-Factor (%) ,
Y-End (%) ,
Y-Dispersion ,
Y-Curvature ,
Y-Axis Formula T ,
Y-Axis Formula S ,
Y-Angle (deg.) ,
Y(t) ,
Y-Border ,
Y-Balance ,
Y-Axis Then X-Axis ,
Y-Axis Formula U ,
XY-Axis Formula T ,
X-Dispersion ,
X-Curvature ,
X-Coordinate [Manual] ,
X-Coordinate ,
X-Min ,
X-Max ,
X-Factor (%) ,
X-End (%) ,
X-Axis Then Y-Axis ,
X-Axis Formula U ,
X-Axis Formula T ,
X-Axis Formula S ,
X-Centering (%) ,
X-Center ,
X-Border ,
X-Balance ,
X-Motion ,
X1 (none) ,
X-Warping ,
X-Start (%) ,
X-Smoothness ,
XY-Axis Formula S ,
XY-Axis ,
XY-Amplitude ,
XY Mirror ,
X-Rotation ,
X-Resolution ,
X-Ratio ,
X-Ombre X-Shadow ,
X-Size (px) ,
X-Shift (px) ,
X-Shift (%) ,
X-Seed (Julia) ,
Z^^3 - 1 ,
Z^^2 - 1 ,
Z-Scale ,
Z-Rotation ,
Za-Exponent ,
Z^^8 + 15*z^^4 - 1 ,
Z^^6 + Z^^3 - 1 ,
Z^^5 - 1 ,
You Can Do It ,
Yellowstone ,
Yellow Smoothness ,
Yellow Shift ,
Z-Range ,
Z-Motion ,
Z-Angle (deg.) ,
Youssef Hossam (5) ,
Za-Multiplier ,
ZilverFX - B&W Solarization ,
Zero ,
Zelda ,
Zeke 39 ,
Zoom (%) ,
Zone System ,
ZilverFX - Vintage B&W ,
ZilverFX - InfraRed ,
Zb-Exponent ,
Za/Zb ,
Za-Sign ,
Za-Offset (deg.) ,
Zed 32 ,
Zb-Sign ,
Zb-Offset (deg.) ,
Zb-Multiplier ,
Yellow Film 01 ,
Y-Warping ,
Y-Start (%) ,
Y-Smoothness ,
Y-Size (px) ,
YCbCr (Luma Only) ,
YCbCr (Distinct) ,
YCbCr (Chroma Only) ,
YAG Effect ,
Y-Resolution ,
Y-Ratio ,
Y-Ombre Y-Shadow ,
Y-Motion ,
Y-Shift (px) ,
Y-Shift (%) ,
Y-Seed (Julia) ,
Y-Rotation ,
YCbCr (Luma/Chroma) ,
Yb-Offset (deg.) ,
Yb-Multiplier ,
Yb-Exponent ,
Ya/Yb ,
Yellow Factor ,
Yellow Color ,
Yellow 55B ,
Yb-Sign ,
YES8 ,
YCbCrJPEG ,
YCbCrGLIC ,
YCbCr (Mixed) ,
Ya-Sign ,
Ya-Offset (deg.) ,
Ya-Multiplier ,
Ya-Exponent ,
Vertical Tiles ,
Vertical Stripes ,
Vertical Length ,
Vertical Blur ,
Very Warm Greenish ,
Very High ,
Very Fine ,
Very Course 5 ,
Vertical 1 Length ,
Vertical 1 Amount ,
Vertex Type ,
Velvia ,
Vertical Array ,
Vertical Amount ,
Vertical 2 Length ,
Vertical 2 Amount ,
Vibrant ,
Vintage 01 ,
Vintage (brighter) ,
Vintage (alt) ,
Vintage ,
Vintage 05 ,
Vintage 04 ,
Vintage 03 ,
Vintage 02 ,
Victory ,
Vibrant (crome-Ish) ,
Vibrant (contrast) ,
Vibrant (alien) ,
Vignette Strenth ,
Vignette Contrast ,
Vignette ,
View Outlines Only ,
Velocity ,
V Cutoff ,
Uzbek Samarcande ,
Uzbek Marriage ,
Uzbek Bukhara ,
Value Bottom ,
Value Blending ,
Val Range ,
VFB 21 ,
Use Top Layer as a Priority Mask ,
Use Negative Overload ,
Use Maximum Tones ,
Use Light ,
Usure [bruit/noise] ,
User-Defined (Bottom Layer) ,
Use as Saturation ,
Use as Hue ,
Value Factor ,
Variability ,
Van Gogh: Wheat Field with Crows ,
Van Gogh: The Starry Night ,
Van Gogh: Irises ,
Variation C ,
Variation B ,
Variation A ,
Variance ,
Value Shift ,
Value Range ,
Value Randomness ,
Value Normalization ,
Van Gogh: Almond Blossom ,
Value Variance ,
Value Top ,
Value Smoothness ,
Whitening ,
White to Black ,
White on Transparent ,
White Point ,
Wipe ,
Winter Lighthouse ,
Wind ,
Whites ,
Western Lut 2 ,
Western ,
Webbing Cubic Unearthing ,
Weave ,
White Level ,
White Layers ,
White Dices ,
Whirl Drawing ,
Wiremap ,
X 9 ,
X 8 ,
X 6 ,
X 4 ,
X-Angle (deg.) ,
X(t) ,
X Origine ,
X Center ,
X 16 ,
X 12 ,
Work on Frameset ,
Wooden Gold 20 ,
X 3 ,
X 27 ,
X 2 ,
X 18 ,
Wavy ,
Vivid Screen ,
Vivid Edges* ,
Visible Watermark ,
Virtual Landscape ,
Warm ,
Warhol ,
Wall ,
Voronoi ,
Vintage Style ,
Vintage Mob ,
Vintage Chrome ,
Vintage 163 ,
Vireo 37 ,
Violet Taste ,
Vintage Warmth 1 ,
Vintage Tone (%) ,
Warm (highlight) ,
Waterslide ,
Waterfall ,
Water ,
Warp by Intensity ,
Waves Smoothness ,
Waves Amplitude ,
Wavelength ,
Wave(s) ,
Warm Fade 1 ,
Warm Fade ,
Warm Dark Contrasty ,
Warm (yellow) ,
Warp [Interactive] ,
Warm Teal ,
Warm Sunset Red ,
Warm Neutral ,
Rotations ,
Rotated (crush) ,
Rotated ,
Rotate Tree ,
Row by Row ,
Round ,
Rotinv-Y ,
Rotinv-X ,
Rotate (vibrant) ,
Rotate (muted) ,
Rose ,
Rosace ,
Rotate Hue Bands ,
Rotate 90 Deg. ,
Rotate 270 Deg. ,
Rotate 180 Deg. ,
S-Curve Contrast ,
Saturation EQ ,
Saturation Channel Gamma ,
Saturated Blue ,
Satin ,
Saturation Randomness ,
[Cyan]MYK ,
Saturation Increase ,
Saturation Factor ,
Sampling ,
Sample Image ,
Same as Input ,
SRGB Conversion ,
Sat Top ,
Sat Range ,
Sat Bottom ,
Sans ,
Rorschach ,
Revert Layer Order ,
Reversing ,
Reverse Tangent Division ,
Reverse Pow ,
Right Eye View ,
Right Diagonal Foreground ,
Right ,
Rice ,
Reverse Flip ,
Reverse Effect ,
Reverse Bytes ,
Reverse Bits ,
Reverse Motion ,
Reverse Mod ,
Reverse Gradient ,
Reverse Frame Stack ,
Right Position ,
Rodilius [Animated] ,
Rodilius ,
Roddy (by Mahvin) ,
Roddy ,
Rollei Retro 80s ,
Rollei Retro 100 Tonal ,
Rollei Ortho 25 ,
Rollei IR 400 ,
Rigid ,
Right Stream Only ,
Right Slope ,
Right Side Orientation ,
RocketStock (35) ,
Robert Cross 2 ,
Robert Cross 1 ,
Ripple ,
Selected Frame ,
Selected Colors ,
Select-Replace Color ,
Select By ,
Selective Gaussian ,
Selective Desaturation ,
Selection ,
Selected Mask ,
Segment Max Length (px) ,
Sectors ,
Secondary Twist ,
Secondary Shift ,
Segments Strength ,
Segments ,
Segmentation Smoothness ,
Segmentation Edge Threshold ,
Self Glitching ,
Set Frame Format ,
Set Aspect Only ,
Serpent ,
Seringe 4 ,
Shade Back to First Color ,
Shade Angle ,
Sevsuz ,
Seven Layers ,
Sequence X4 ,
Sensitivity ,
Semi-Thorny Petallian ,
Self Image ,
Serial Number ,
Serenity ,
Sequence X8 ,
Sequence X6 ,
Secondary Radius (%) ,
Scale Style to Fit Target Resolution ,
Scale RGB ,
Scale Plasma ,
Scale Output ,
Scaling X-Axis ,
Scaling Factor ,
Scaled ,
Scale Variations ,
Saving Private Damon ,
Save CLUT as .Cube or .Png File ,
Saturation Smoothness ,
Saturation Shift ,
Scale CMYK ,
Scale 2 ,
Scale 1 ,
Scalar ,
Scaling XY-Axis ,
Second Radius ,
Second Color ,
Secant ,
Seamless Turbulence ,
Secondary Gamma ,
Secondary Factor ,
Secondary Color ,
Second Size ,
Scr ,
Science Fiction ,
Scanlines ,
Scaling Y-Axis ,
Seamless Deco ,
Seamcarve ,
Sea ,
Screen Border ,
Red Chroma Smoothness ,
Red Chroma Shift ,
Red Chroma Factor ,
Red Blue Yellow ,
Red Dream 01 ,
Red Day 01 ,
Red Color ,
Red Chrominance ,
Recursions Flocon / Snowflake ,
Recursion Depth ,
Rectangle ,
Recover Shadows ,
Red Afternoon 01 ,
Red - Green - Blue - Alpha ,
Red - Green - Blue ,
Recursive Median ,
Red Factor ,
Reeve 38 ,
Reduce Redness ,
Reduce RAM ,
