<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
Colorized Image (1 Layer) , Imagem colorida (1 camada)
Colormap Type , Tipo Colormap
Colors , Cores
Colors A , Cores A
Colors B , Cores B
Colors Only , Apenas Cores
Colors Only (1 Layer) , Apenas Cores (1 Camada)
Colors to Layers , Cores para camadas
Colour , Cor
Colour Channels , Canais de cor
Colour Model , Modelo a cores
Colour Smoothing , Alisamento da cor
Colour Space Mode , Modo Espaço de Cor
Column by Column , Coluna por Coluna
Comic Style , Estilo Cómico
Comix Colors , Cores Comix
Components , Componentes
Composed Layers , Camadas Compostas
Compress Highlights , Destaques da Compressão
Compression Blur , Borrão de Compressão
Compression Filter , Filtro de Compressão
Computation Mode , Modo de cálculo
Conflict 01 , Conflito 01
Conformal Maps , Mapas de conformidade
Connectivity , Conectividade
Connectors Centering , Conectores centrados
Connectors Variability , Variabilidade dos Conectores
Constrain Image Size , Tamanho da imagem de Constrain
Constrain Values , Valores de Constrição
Constrained Sharpen , Afiação Restrita
Constraint Radius , Raio de Restrição
Continuous Droste , Droste Contínuo
Contour Coherence , Coerência de Contorno
Contour Detection (%) , Detecção de contornos (%)
Contour Normalization , Normalização de Contorno
Contour Precision , Precisão de Contorno
Contour Threshold , Limiar de Contorno
Contour Threshold (%) , Limiar de Contorno (%)
Contours , Contornos
Contours + Flocon/Snowflake , Contornos + Flocon/Flake de neve
Contours Recursion , Recurssão de contornos
Contrast , Contraste
Contrast (%) , Contraste (%)
Contrast Smoothness , Suavidade do contraste
Contrast Swiss Mask , Contraste Máscara Suíça
Contrast with Highlights Protection , Contraste com a Protecção dos Destaques
Contrasty Afternoon , Tarde de Contraste
Contrasty Green , Verde de contraste
Contributors , Contribuintes
Control Point 1 , Ponto de Controlo 1
Control Point 2 , Ponto de Controlo 2
Control Point 3 , Ponto de Controlo 3
Control Point 4 , Ponto de Controlo 4
Control Point 5 , Ponto de Controlo 5
Control Point 6 , Ponto de Controlo 6
Convolve , Convolver
Cool , Fixe
Cool (256) , Frio (256)
Cool / Warm , Frio / Quente
Copper , Cobre
Corner Brightness , Brilho de canto
Correlated Channels , Canais relacionados
Counter Clockwise , No sentido contrário ao dos ponteiros do relógio
Course 4 , Curso 4
Cracks , Rachaduras
Crease , Vinco
Creative Pack (33) , Pacote Criativo (33)
Crip Winter , Crip Inverno
Crisp Romance , Romance Cristalino
Crisp Warm , Quente Crocante
Criterion , Critério
Crop , Cultura
Crop (%) , Cultura (%)
Cross Process CP 130 , Processo Cruzado CP 130
Cross Process CP 14 , Processo Cruzado CP 14
Cross Process CP 15 , Processo Cruzado CP 15
Cross Process CP 16 , Processo Cruzado CP 16
Cross Process CP 18 , Processo Cruzado CP 18
Cross Process CP 3 , Processo Cruzado CP 3
Cross Process CP 4 , Processo Cruzado CP 4
Cross Process CP 6 , Processo Cruzado CP 6
Cross-Hatch Amount , Montante de escotilha cruzada
Crossed , Cruzado
Crosses 1 , Cruzes 1
Crosses 2 , Cruzes 2
Crosshair , Crina cruzada
CRT Sub-Pixels , Sub-pixels CRT
Crushin , Esmagamento
Crystal , Cristal
Crystal Background , Antecedentes de Cristal
Cube , Cubo
Cube (256) , Cubo (256)
Cubicle 99 , Cubículo 99
Cubism , Cubismo
Cubism on Color Abstraction , Cubismo na Abstracção da Cor
Cup , Taça
Cupid , Cupido
Curvature , Curvatura
Curvature Shadow , Sombra da Curvatura
Curve Amount , Valor da Curva
Curve Angle , Ângulo de Curva
Curve Length , Comprimento da Curva
Curved , Curva
Curved Stroke , Curso Curvo
Curves , Curvas
Curves Previously Defined , Curvas Previamente Definidas
Custom , Personalizado
Custom Code [Global] , Código personalizado [Global]
Custom Code [Local] , Código personalizado [Local]
Custom Correction Map , Mapa de Correcção Personalizado
Custom Depth Correction , Correcção de Profundidade Personalizada
Custom Depth Maps Stream , Fluxo de mapas de profundidade personalizados
Custom Dictionary , Dicionário de Costumes
Custom Filter Code , Código de filtro personalizado
Custom Formula , Fórmula personalizada
Custom Kernel , Kernel personalizado
Custom Layers , Camadas personalizadas
Custom Layout , Layout personalizado
Custom Style (Bottom Layer) , Estilo personalizado (Camada inferior)
Custom Style (Top Layer) , Estilo personalizado (Camada superior)
Custom Transform , Transformação personalizada
Customize CLUT , Personalizar a CLUT
Cut , Corte
Cut & Normalize , Cortar & Normalizar
Cut High , Corte Alto
Cut Low , Corte baixo
Cutout , Recorte
Cyan , Ciano
Cyan Factor , Fator Ciano
Cyan Smoothness , Suavidade do Ciano
Cycle Layers , Camadas do ciclo
Cycles , Ciclos
Cylinder , Cilindro
D and O 1 , D e O 1
Damping per Octave , Amortecimento por Oitava
Dark  Motive , Motivo Escuro
Dark Boost , Impulso Negro
Dark Color , Cor escura
Dark Edges , Bordaduras Escuras
Dark Green 02 , Verde Escuro 02
Dark Green 1 , Verde Escuro 1
Dark Grey , Cinzento Escuro
Dark Length , Comprimento escuro
Dark Motive , Motivo Escuro
Dark Pixels , Pixels Escuros
Dark Place 01 , Lugar Escuro 01
Dark Screen , Tela escura
Dark Sky , Céu Escuro
Dark Walls , Paredes Escuras
Darkness , Escuridão
Darkness Level , Nível de escuridão
Date 39 , Data 39
Day for Night , Dia para a Noite
Daylight Scene , Cena da luz do dia
Debug Font Size , Tamanho da letra Debug
Decompose , Decompor
Decompose Channels , Canais de Decomposição
Decoration , Decoração
Decreasing , Diminuindo
Deep , Profundo
Deep Blue , Azul profundo
Deep Dark Warm , Aquecimento Escuro Profundo
Deep High Contrast , Alto contraste profundo
Deep Teal Fade , Desbotamento profundo do Teal
Deep Warm Fade , Desbotamento profundo
Default , Por defeito
Defects Contrast , Contraste de Defeitos
Defects Density , Densidade de Defeitos
Defects Size , Tamanho dos Defeitos
Defects Smoothness , Defeitos suavidade
Deform , Deformação
Delaunay: Portrait De Metzinger , Delaunay: Retrato De Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: Janelas abertas simultaneamente
Delete Layer Source , Eliminar a fonte da camada
Denim , Ganga
Density , Densidade
Density (%) , Densidade (%)
Depth , Profundidade
Depth Fade In Frames , Desbotamento de profundidade em molduras
Depth Fade Out Frames , Molduras de profundidade
Depth Field Control , Controlo de Campo de Profundidade
Depth Map , Mapa de profundidade
Depth Map Construction , Construção do Mapa de Profundidade
Depth Map Only , Apenas Mapa de Profundidade
Depth Map Reconstruction , Reconstrução do Mapa de Profundidade
Depth Maps Only , Apenas mapas de profundidade
Depth-Of-Field Type , Tipo Profundidade-Ocampo
Desaturate (%) , Desaturado (%)
Desaturate Norm , Norma Desaturada
Descent Method , Método de descida
Descreen , Descreve
Desert Gold 37 , Ouro do Deserto 37
Destination (%) , Destino (%)
Destination X-Tiles , Destino X-Tiles
Destination Y-Tiles , Destino Y-Tiles
Detail , Detalhe
Detail Level , Nível de detalhe
Detail Reconstruction Detection , Detecção Detalhada de Reconstrução
Detail Reconstruction Smoothness , Detalhe de Reconstrução Suavidade de Reconstrução
Detail Reconstruction Strength , Força de Reconstrução Detalhada
Detail Reconstruction Style , Estilo de Reconstrução Detalhada
Detail Scale , Escala de detalhe
Detail Strength , Força dos detalhes
Details , Detalhes
Details Amount , Detalhes Montante
Details Equalizer , Detalhes Equalizador
Details Scale , Detalhes Escala
Details Smoothness , Detalhes Suavidade
Details Strength (%) , Detalhes Força (%)
Detect Skin , Detectar a pele
Deuteranomaly , Deuteranomalia
Deviation , Desvio
Diamond , Diamante
Diamond (Inv.) , Diamante (Inv.)
Diamonds , Diamantes
Diamonds (Outline) , Diamantes (Esboço)
Dices , Dados
Dices with Colored Numbers , Dados com Números Coloridos
Dices with Colored Sides , Dados com Lados Coloridos
Difference , Diferença
Difference Mixing , Mistura de diferenças
Difference of Gaussians , Diferença de gaussianos
Different Axis , Eixo diferente
Diffuse (%) , Difuso (%)
Diffuse Shadow , Sombra difusa
Diffusion , Difusão
Diffusion Tensors , Tensores de difusão
Diffusivity , Difusividade
Digits , Dígitos
Dilatation , Dilatação
Dilate , Dilatar
Dilation , Dilatação
Dilation - Original , Dilatação - Original
Dilation / Erosion , Dilatação / Erosão
Dimension , Dimensão
Dimension [Diff] , Dimensão [Diff]
Dimension A , Dimensão A
Dimensions (%) , Dimensões (%)
Dimensions Pixels , Dimensões Pixels
Dipole: 1/(4*z^2-1) , Dipolo: 1/(4*z^2-1)
Direct , Directo
Direction , Direcção
Directions 23 , Instruções 23
Dirty , Sujo
Disable , Desactivar
Disabled , Deficientes
Discard Contour Guides , Guias de contorno de descarte
Discard Transparency , Transparência das devoluções
Disco , Discoteca
Display , Mostrar
Display Blob Controls , Controlos do Blob Display
Display Color Axes , Mostrar eixos de cor
Display Contours , Mostrar contornos
Display Coordinates , Coordenadas da exposição
Display Coordinates on Preview Window , Mostrar Coordenadas na Janela de Pré-visualização
Display Debug Info on Preview , Mostrar Informação de Depuração na Pré-visualização
Distance , Distância
Distance (Fast) , Distância (rápido)
Distance Transform , Transformação à distância
Distort Lens , Lente de Distorção
Distortion Factor , Factor de Distorção
Distortion Surface Angle , Distorção de Ângulo de Superfície
Distortion Surface Position , Distorção Posição Superficial
Disturbance Scale-By-Factor , Perturbação Escala-por-factor
Disturbance X , Perturbação X
Disturbance Y , Perturbação Y
Dither Output , Saída de Dither
Divide , Divida
Do Not Flatten Transparency , Não aplaudir a transparência
Dodge and Burn , Dodge e Burn
Dodge Strength , Força de Dodge
DOF Analyzer , Analisador DOF
Dog , Cão
Don't Sort , Não Classificar
DoNothing , DoNada
Dot Size , Tamanho do ponto
Dots , Pontos
Download External Data , Descarregar dados externos
Dragon Curve , Curva do Dragão
Dragonfly , Libélula
Drawing Mode , Modo de Desenho
Drawn Montage , Montagem desenhada
Dream , Sonho
Dream 1 , Sonho 1
Dream 85 , Sonho 85
Dream Smoothing , Alisamento de sonhos
Drop Shadow , Sombra de gota
Drop Shadow 3D , Sombra de gota 3D
Drop Water , Água gota a gota
Duck , Pato
Duplicate Bottom , Fundo Duplicado
Duplicate Horizontal , Duplicar Horizontal
Duplicate Left , Esquerda duplicada
Duplicate Right , Duplicar o direito
Duplicate Top , Duplicar a parte superior
Duplicate Vertical , Vertical Duplicado
Duration , Duração
Dynamic Range Increase , Aumento do alcance dinâmico
Eagle , Águia
Earth , Terra
Earth Tone Boost , Impulso de Tom de Terra
Easy Skin Retouch , Retoque Fácil da Pele
Edge , Borda
Edge Antialiasing , Antialiasing Edge
Edge Attenuation , Atenuação de Bordos
Edge Behavior X , Comportamento do bordo X
Edge Behavior Y , Comportamento de bordo Y
Edge Detect Includes Chroma , Detecção de Bordos Inclui Chroma
Edge Exponent , Expoente de Borda
Edge Fidelity , Fidelidade do bordo
Edge Influence , Influência dos bordos
Edge Mask , Máscara de Borda
Edge Sensitivity , Sensibilidade dos bordos
Edge Shade , Sombra da borda
Edge Simplicity , Simplicidade do bordo
Edge Smoothness , Suavidade do bordo
Edge Thickness , Espessura do bordo
Edge Threshold , Limiar de borda
Edge Threshold (%) , Limiar do bordo (%)
Edge-Oriented , Orientado para o Edge-Oriented
Edges , Bordaduras
Edges (%) , Bordaduras (%)
Edges [Animated] , Bordaduras [Animado]
Edges Offsets , Compensações de bordas
Edges on Fire , Bordas em Chamas
Edges-0.5 (beware: Memory-Consuming!) , Edges-0,5 (cuidado: Consumo de memória!)
Edges-1 (beware: Memory-Consuming!) , Edges-1 (cuidado: Consumo de memória!)
Edges-2 (beware: Memory-Consuming!) , Edges-2 (cuidado: Consumo de memória!)
Effect Strength , Resistência ao efeito
Effect X-Axis Scaling , Efeito Escala do Eixo X
Effect Y-Axis Scaling , Efeito de escala do eixo Y
Eight Layers , Oito camadas
Eight Threads , Oito fios
Elegance 38 , Elegância 38
Elephant , Elefante
Elevation , Elevação
Elevation (%) , Elevação (%)
Ellipse , Elipse
Ellipse Painting , Pintura com elipse
Ellipse Ratio , Relação de elipse
Ellipsionism , Elipsionismo
Ellipsionism Opacity , Elipsionismo Opacidade
Ellipsoid , Elipsóide
Emboss , Gravar
Enable Antialiasing , Activar o Antialiasing
Enable Interpolated Motion , Activar o Movimento Interpolado
Enable Morphology , Habilitar Morfologia
Enable Paintstroke , Habilitar Pincelada
Enable Segmentation , Habilitar Segmentação
Enchanted , Encantado
End Color , Cor final
End Frame Number , Número da moldura final
End of Mid-Tones , Fim dos meios-tons
End Point Connectivity , Conectividade do Ponto Final
End Point Rate (%) , Taxa de Ponto Final (%)
Ending Angle , Ângulo de Fim
Ending Color , Cor final
Ending Feathering , Pena de Fim
Ending Point (%) , Ponto de Fim (%)
Ending Scale (%) , Escala de fim (%)
Ending Value , Valor Final
Ending X-Centering , Terminar a X-Centrering
Ending Y-Centering , Terminar o Y-Centering
Enhance Detail , Detalhe de melhoria
Enhance Details , Melhorar Detalhes
Equalization , Equalização
Equalization (%) , Equalização (%)
Equalize , Equalizar
Equalize and Normalize , Equalizar e Normalizar
Equalize at Each Step , Equalizar em Cada Passo
Equalize HSI-HSL-HSV , Equalizar o HSI-HSL-HSV
Equalize HSV , Equalizar HSV
Equalize Light , Equalizar a luz
Equalize Local Histograms , Equalizar Histogramas Locais
Equalize Shadow , Equalizar Sombra
Equation Plot [Parametric] , Lote de Equação [Paramétrico]
Equation Plot [Y=f(X)] , Lote de Equação [Y=f(X)]
Equirectangular to Nadir-Zenith , Equirectangular a Nadir-Zenith
Erosion , Erosão
Erosion / Dilation , Erosão / Dilatação
Etch Tones , Tons de Etch
Eterna for Flog , Eterna para Flog
Euclidean , Euclidiano
Euclidean - Polar , Euclidiano - Polar
Exclusion , Exclusão
Expand , Expandir
Expand Background Reconstruction , Expandir a Reconstrução de Fundo
Expand Shadows , Expandir as Sombras
Expand Size , Expandir tamanho
Expanding Mirrors , Espelhos em expansão
Expired (fade) , Expirado (desbotado)
Expired (polaroid) , Expirado (polaroid)
Expired 69 , Expirou 69
Exponent , Exponente
Exponent (Imaginary) , Exponente (Imaginário)
Exponent (Real) , Exponente (Real)
Exponential , Exponencial
Export RGB-565 File , Exportar ficheiro RGB-565
Exposure , Exposição
Expression , Expressão
Extend 1px , Prolongar 1px
External Transparency , Transparência externa
Extra  Smooth , Extra Suave
Extract Foreground [Interactive] , Extracto em Primeiro Plano [Interactivo]
Extract Objects , Extracção de objectos
Extrapolate Colors As , Cores Extrapoladas como
Extrapolated Colors + Lineart , Cores Extrapoladas + Lineart
Extreme , Extremo
Fade End , Fim do desvanecimento
Fade Layers , Camadas de desbotamento
Fade Start , Início do desvanecimento
Fade Start (%) , Início do desvanecimento (%)
Faded , Desbotado
Faded (alt) , Desbotado (alt)
Faded (analog) , Desbotado (analógico)
Faded (extreme) , Desbotado (extremo)
Faded (vivid) , Desbotado (vívido)
Faded 47 , Desbotado 47
Faded Green , Verde desbotado
Faded Look , Olhar desbotado
Faded Print , Impressão desbotada
Faded Retro 01 , Retro Desbotado 01
Faded Retro 02 , Retro 02 desbotado
Fading , Desvanecimento
Fading Shape , Forma em desvanecimento
Fall Colors , Cores de outono
Far Point Deviation , Desvio de Ponto Longo
Fast , Rápido
Fast &#40;Approx.&#41; , Rápido (Aprox.)
Fast (Low Precision) Preview , Pré-visualização rápida (Baixa Precisão)
Fast Approximation , Aproximação rápida
Fast Blend , Mistura rápida
Fast Blend Preview , Pré-visualização rápida da mistura
Fast Recovery , Recuperação rápida
Fast Resize , Rápido Redimensionamento
Faux Infrared , Infravermelho falso
Feature Analyzer Smoothness , Suavidade do Analisador de Característica
Feature Analyzer Threshold , Limiar do Analisador de Característica
Felt Pen , Caneta de feltro
FFT Preview , Pré-visualização FFT
Fibers , Fibras
Fibers Amplitude , Amplitude das fibras
Fibers Smoothness , Suavidade das fibras
Fibrousness , Fibrosidade
Fidelity Chromaticity , Fidelidade Cromática
Fidelity Smoothness (Coarsest) , Fidelidade Suavidade (Mais grosseira)
Fidelity Smoothness (Finest) , Fidelidade Suavidade (Finest)
Fidelity to Target (Coarsest) , Fidelidade ao Alvo (Coarsest)
Fidelity to Target (Finest) , Fidelidade ao Alvo (Finest)
Filename , Nome do ficheiro
Fill Holes , Encher furos
Fill Holes % , Encher furos %
Fill Transparent Holes , Encher furos transparentes
Filled , Preenchido
Filled Circles , Círculos Cheios
Filling , Preenchimento
Film 0987 , Filme 0987
Film 9879 , Filme 9879
Film Highlight Contrast , Contraste de destaque do filme
Film Print 01 , Impressão de filme 01
Film Print 02 , Impressão de filme 02
Filmic , Filme
Filter Design , Desenho do filtro
Final Image , Imagem final
Fine , Muito bem
Fine 2 , Multa 2
Fine Details Smoothness , Detalhes Finos Suavidade
Fine Details Threshold , Limiar de Detalhes Finos
Fine Noise , Ruído Fino
Fine Scale , Escala Fina
Finest (slower) , Mais fino (mais lento)
Finger Paint , Tinta para os dedos
Finger Size , Tamanho do dedo
Fire Effect , Efeito de Fogo
Fireworks , Fogos de artifício
First , Primeiro
First Color , Primeira cor
First Frame , Primeiro Quadro
First Offset , Primeira Compensação
First Radius , Primeiro Raio
First Size , Primeiro tamanho
Fish-Eye , Olho de Peixe
Fish-Eye Effect , Efeito Olho de Peixe
Fitting Function , Função de encaixe
Five Layers , Cinco camadas
Flag , Bandeira
Flag (256) , Bandeira (256)
Flat , Apartamento
Flat 30 , Apartamento 30
Flat Color , Cor plana
Flat Regions Removal , Remoção de regiões planas
Flat-Shaded , Com paredes planas
Flatness , Planeza
Flip Left / Right , Virar para a esquerda / direita
Flip Left/Right , Virar à esquerda/direita
Flip The Pattern , Virar o Padrão
Flip Tolerance , Tolerância de viragem
Flower , Flor
Foggy Night , Noite Nebulosa
Folder Name , Nome da pasta
Font Colors , Cores da fonte
Font Height (px) , Altura da fonte (px)
Force Gray , Forçar o cinzento
Force Re-Download from Scratch , Forçar o Re-Download a partir do Rastro
Force Tiles to Have Same Size , Forçar os azulejos a terem o mesmo tamanho
Force Transparency , Forçar a transparência
Foreground Color , Cor do primeiro plano
Form , Formulário
Formula , Fórmula
Forward , Avançar
Forward  Horizontal , Avançar Horizontal
Forward Horizontal , Avançar Horizontal
Forward Vertical , Vertical para a frente
Four Layers , Quatro camadas
Four Threads , Quatro fios
Fourier Analysis , Análise de Fourier
Fourier Filtering , Filtragem de Fourier
Fourier Transform , Transformada de Fourier
Fourier Watermark , Marca de água de Fourier
Fractal Noise , Ruído Fractal
Fractal Points , Pontos Fractais
Fractal Set , Conjunto Fractal
Fractal Whirl , Turbilhão fractal
Fractured Clouds , Nuvens fracturadas
Fragment Blur , Desfoque do fragmento
Frame (px) , Moldura (px)
Frame [Blur] , Moldura [Borrão]
Frame [Cube] , Moldura [Cubo]
Frame [Fuzzy] , Moldura [Fuzzy]
Frame [Mirror] , Moldura [Espelho]
Frame [Painting] , Moldura [Pintura]
Frame [Pattern] , Moldura [Molde]
Frame [Regular] , Moldura [Regular]
Frame [Round] , Moldura [Redonda]
Frame [Smooth] , Moldura [Smooth]
Frame as a New Layer , Moldura como uma nova camada
Frame Color , Cor da moldura
Frame Files Format , Formato dos ficheiros de fotogramas
Frame Format , Formato da moldura
Frame Size , Tamanho da moldura
Frame Skip , Saltar Moldura
Frame Type , Tipo de moldura
Frame Width , Largura da moldura
Frames , Molduras
Frames Offset , Compensação de Molduras
Freaky B&W , B&W bizarro
Freaky Details , Detalhes esquisitos
Freeze , Congelar
French Comedy , Comédia Francesa
Frequency , Frequência
Frequency (%) , Frequência (%)
Frequency Analyzer , Analisador de Frequência
Frequency Range , Gama de Frequências
Freqy Pattern , Padrão de Freqy
Friends Hall of Fame , Salão da Fama dos Amigos
From Input , A partir de Input
From Reference Color , Da cor de referência
Frosted Beach Picnic , Piquenique na praia gelada
Fruits , Frutos
Fuji Astia 100F , Fuji Ástia 100F
Fuji FP-100c +++ , Fuji FP-100c ++++
Fuji FP-100c Negative , Fuji FP-100c Negativo
Fuji FP-100c Negative + , Fuji FP-100c Negativo +
Fuji FP-100c Negative ++ , Fuji FP-100c Negativo ++
Fuji FP-100c Negative +++ , Fuji FP-100c Negativo +++
Fuji FP-100c Negative ++a , Fuji FP-100c Negativo ++a
Fuji FP-100c Negative - , Fuji FP-100c Negativo -
Fuji FP-100c Negative -- , Fuji FP-100c Negativo --
Fuji FP-3000b +++ , Fuji FP-3000b ++++
Fuji FP-3000b Negative , Fuji FP-3000b Negativo
Fuji FP-3000b Negative + , Fuji FP-3000b Negativo +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Negativo ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Negativo +++
Fuji FP-3000b Negative - , Fuji FP-3000b Negativo -
Fuji FP-3000b Negative -- , Fuji FP-3000b Negativo --
Fuji FP-3000b Negative Early , Fuji FP-3000b Negativo Antecipado
Fuji Superia 100 ++ , Fuji Superia 100 +++
Fuji Superia 800 ++ , Fuji Superia 800 +++
Full , Completo
Full (Allows Multi-Layers) , Completo (Permite Multi-Layers)
Full (Slower) , Cheio (mais lento)
Full Bottom/top , Fundo/cabeceira completa
Full Colors , Cores Completas
Full HD Frame Packing , Embalagem de estrutura Full HD
Full Side by Side Keep Uncompressed , Lado a Lado Manter sem comprimir
Full Side by Side Keep Width , Lado a lado Largura de Guarda Lado a Lado
Full Side by Uncompressed , Lado a lado, sem compressão
Fusion 88 , Fusão 88
Futuristic Bleak 1 , Bleak Futurístico 1
Futuristic Bleak 2 , Bleak Futurístico 2
Futuristic Bleak 3 , Bleak Futurístico 3
Futuristic Bleak 4 , Bleak Futurístico 4
G'MIC Operator , G'MIC Operador
G/M Smoothness , G/M suavidade
Gain , Ganho
Games & Demos , Jogos & Demos
Gamma , Gama
Gamma (%) , Gama (%)
Gamma Balance , Balanço Gamma
Gamma Compensation , Compensação Gama
Gamma Equalizer , Equalizador Gamma
Gaussian , Gaussiano
Gear , Equipamento
Generate Random-Colors Layer , Gerar camadas de cores aleatórias
Generic Fuji Astia 100 , Genéricos Fuji Astia 100
Generic Fuji Provia 100 , Genéricos Fuji Provia 100
Generic Fuji Velvia 100 , Genéricos Fuji Velvia 100
Generic Kodachrome 64 , Genéricos Kodachrome 64
Generic Kodak Ektachrome 100 VS , Genéricos Kodak Ektachrome 100 VS
Generic Skin Structure , Estrutura genérica da pele
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Modo Suave (substitui o Brilho Mínimo e a Relação Vermelho:Azul)
Geometry , Geometria
Global Mapping , Mapeamento Global
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (por Mahvin)
Gmicky (by Deevad) , Gmicky (por Deevad)
Gmicky (by Mahvin) , Gmicky (por Mahvin)
Going for a Walk , Passear a pé
Gold , Ouro
Golden , Dourado
Golden (bright) , Dourado (brilhante)
Golden (fade) , Ouro (desbotar)
Golden (mono) , Dourado (mono)
Golden (vibrant) , Dourado (vibrante)
GoldFX - Bright Summer Heat , GoldFX - Calor Brilhante de Verão
GoldFX - Hot Summer Heat , GoldFX - Calor quente de Verão
GoldFX - Perfect Sunset 01min , GoldFX - Pôr-do-sol perfeito 01min
GoldFX - Perfect Sunset 05min , GoldFX - Pôr-do-sol perfeito 05min
GoldFX - Perfect Sunset 10min , GoldFX - Pôr-do-sol perfeito 10min
GoldFX - Spring Breeze , GoldFX - Brisa da Primavera
GoldFX - Summer Heat , GoldFX - Calor de Verão
Good Morning , Bom dia
Gradient , Gradiente
Gradient [Corners] , Gradiente [Cantos]
Gradient [Custom Shape] , Gradiente [Forma Personalizada]
Gradient [from Line] , Gradiente [da linha]
Gradient [Linear] , Gradiente [Linear]
Gradient [Radial] , Gradiente [Radial]
Gradient [Random] , Gradiente [Random]
Gradient Norm , Norma Gradiente
Gradient Preset , Pré-ajuste de gradiente
Gradient RGB , RGB Gradiente
Gradient Smoothness , Suavidade Gradiente
Gradient Values , Valores gradientes
Grain , Grão
Grain (Highlights) , Grão (Destaques)
Grain (Midtones) , Grão (Midtones)
Grain (Shadows) , Grão (Sombras)
Grain Extract , Extracto de grão
Grain Merge , Fusão de cereais
Grain Only , Apenas cereais
Grain Scale , Escala de grão
Grain Tone Fading , Desvanecimento do tom do grão
Grain Type , Tipo de grão
Granularity , Granularidade
Graphic Boost , Impulso Gráfico
Graphic Colours , Cores Gráficas
Graphic Novel , Novela gráfica
Graphix Colors , Cores do Graphix
Grayscale , Escala de cinzentos
Greece , Grécia
Green , Verde
Green 15 , Verde 15
Green 2025 , Verde 2025
Green Action , Acção Verde
Green Afternoon , Tarde Verde
Green Blues , Blues Verde
Green Conflict , Conflito Verde
Green Day 01 , Dia Verde 01
Green Day 02 , Dia Verde 02
Green Factor , Factor Verde
Green G09 , Verde G09
Green Indoor , Indoor Verde
Green Level , Nível Verde
Green Light , Luz Verde
Green Mono , Mono Verde
Green Rotations , Rotações verdes
Green Shift , Turno Verde
Green Smoothness , Suavidade verde
Green Wavelength , Comprimento de onda verde
Green Yellow , Verde Amarelo
Green-Red , Vermelho-verde
Greenish Contrasty , Contraste Esverdeado
Greenish Fade , Desvanecer o esverdeamento
Greenish Fade 1 , Desbotamento esverdeado 1
Grey , Cinzento
Greyscale , Escala de cinzentos
Grid , Grelha
Grid [Cartesian] , Grelha [cartesiano]
Grid [Hexagonal] , Grelha [Hexagonal]
Grid [Triangular] , Grelha [Triangular]
Grid Divisions , Divisões de Grelha
Grid Smoothing , Alisamento da grelha
Grid Width , Largura da Grelha
Grow Alpha , Crescer Alfa
Guide As , Guia Como
Guide Mix , Mistura de Guias
Guide Recovery , Guia de Recuperação
Gum Leaf , Folha de Goma
Gummy , Goma
H Cutoff , Cortar H
Hair Locks , Fechaduras de cabelo
HaldCLUT Filename , HaldCLUT Nome de ficheiro
Half Bottom/top , Meia parte de baixo/topo
Half Side  by Side , Meio Lado a Lado
Halftone , Meio-tom
Halftone Shapes , Formas de meio-tom
Hanoi Tower , Torre de Hanói
Hard , Difícil
Hard Dark , Escuro
Hard Light , Luz dura
Hard Mix , Mistura dura
Hard Sketch , Esboço duro
Hard Teal Orange , Laranja Teal Dura
Hardlight , Luzes duras
Harsh Day , Dia duro
Harsh Sunset , Pôr-do-sol duro
HDR Effect (Tone Map) , Efeito HDR (Mapa de Tom)
Heart , Coração
Hearts , Corações
Hearts (Outline) , Corações (Esboço)
Height , Altura
Height (%) , Altura (%)
Hexagon , Hexágono
High , Alto
High (Slower) , Alto (mais lento)
High Frequency , Alta frequência
High Frequency Layer , Camada de Alta Frequência
High Key , Chave alta
High Pass , Passe Alto
High Quality , Alta Qualidade
High Scale , Escala alta
High Speed , Alta velocidade
High Value , Alto valor
Higher Mask Threshold (%) , Limiar de Máscara Superior (%)
Highlight , Destaque
Highlight (%) , Destaque (%)
Highlight Bloom , Destaque Bloom
Highlights , Destaques
Highlights Abstraction , Destaques Abstracção
Highlights Brightness , Destaques Brilho
Highlights Color Intensity , Destaques Intensidade da cor
Highlights Crossover Point , Destaques Crossover Point
Highlights Hue , Destaques Tonalidade
Highlights Lightness , Destaca a leveza
Highlights Protection , Destaques Protecção
Highlights Selection , Selecção de Destaques
Highlights Threshold , Destaques Limiar
Highlights Zone , Zona de Destaques
Highres CLUT , CLUT Highres
Histogram , Histograma
Histogram Analysis , Análise de Histograma
Histogram Transfer , Transferência de Histograma
Hokusai: The Great Wave , Hokusai: A Grande Onda
Homogeneity , Homogeneidade
Hope Poster , Cartaz da Esperança
Horisontal Length , Comprimento Horisontal
Horizon Leveling (deg) , Nivelamento Horizoniano (deg)
Horizontal Amount , Quantia Horizontal
Horizontal Array , Matriz Horizontal
Horizontal Blur , Desfoque Horizontal
Horizontal Length , Comprimento Horizontal
Horizontal Size (%) , Tamanho horizontal (%)
Horizontal Stripes , Listras Horizontais
Horizontal Tiles , Ladrilhos Horizontais
Horizontal Warp Only , Apenas Warp Horizontal
Horror Blue , Horror Azul
Hot , Quente
Hot (256) , Quente (256)
Hough Sketch , Esboço de Hough
Hough Transform , Transformação Hough
