<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
Canvas , Canvas(画布)
Clouds , Clouds(云)
Cracks , Cracks(裂缝)
Fibers , Fibers(纤维)
Hearts , Hearts(小爱心)
Marble , Marble(玻璃珠)
Mosaic , Mosaic(镶嵌)
Op Art , Op Art(欧普艺术)
Random , Random(随机)
Sponge , Sponge(海绵)
Tetris , Tetris(俄罗斯方块)
Turing , Turing(图灵)
Whirls , Whirls(回旋)
Plasma , Plasma(等离子体)
Emboss , Emboss(浮雕)
Spiral , Spiral(螺旋)
Dices , Dices(骰子)
Bokeh , Bokeh(散景)
Ghost , Ghost(灵魂)
Stamp , Stamp(图章)
Sepia , Sepia(棕褐色)
Edges , Edges(边缘)
Twirl , Twirl(扭曲)
Water , Water(水)
Dirty , Dirty(变脏)
Plaid , Plaid(格子布)
Satin , Satin(缎布)
Stars , Stars(星星)
Strip , Strip(条纹)
Weave , Weave(编织)
Phone , Phone(电话)
Cupid , Cupid(丘比特)
Heart , Heart(爱心)
Disco , Disco(迪斯科(舞会灯光))
Wave , Wave(波纹)
Wind , Wind(风)
Zoom , Zoom(缩放)
Lomo , Lomo(Lomo相机)
Pack , Pack(打包)
Burn , Burn(加深)
Lava , Lava(熔岩)
Maze , Maze(迷宫)
Rays , Rays(射线)
Ball , Ball(球)
Tree , Tree(树)
Flip , Flip(翻转)
Mail , Mail(邮件)
Gear , Gear(齿轮)
Edge , Edge(边缘)
Paw , Paw(爪子)
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio)(柔和模式(覆盖最小亮度和最小红色:蓝色比率))
Rayon Cercle Extérieur / Radius Outer Circle A (>0 W%) (<0 H%) , Rayon Cercle Extérieur / Radius Outer Circle A (>0 W%) (<0 H%)(外圈半径 A (>0 W%) (<0 H%))
Logarithmic Distortion Axis Combination for X-Axis , Logarithmic Distortion Axis Combination for X-Axis(X轴的对数失真轴组合)
Logarithmic Distortion Axis Combination for Y-Axis , Logarithmic Distortion Axis Combination for Y-Axis(Y轴的对数失真轴组合)
Nb Cercles Extérieurs / Circles Surrounding , Nb Cercles Extérieurs / Circles Surrounding(Nb Cercles Ext&#rieurs /周围的圆圈)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Auto Set Hue Inverse (Hue Slider Is Disabled)(自动设置色相反转(禁用色相滑块))
39. Activate Butterworth Bandpass Processing , 39. Activate Butterworth Bandpass Processing(39.激活巴特沃思带通处理)
8.  Quadtree Pixelisation [No Alpha Channel] , 8.  Quadtree Pixelisation [No Alpha Channel](8.四叉树像素化[无Alpha通道])
Auto Reduce Level (Level Slider Is Disabled) , Auto Reduce Level (Level Slider Is Disabled)(自动降低水平(水平滑块已禁用))
Angle Décalage Des Couleurs A / Offset , Angle Décalage Des Couleurs A / Offset(色彩角度调整A)
Angle Décalage Des Couleurs B / Offset , Angle Décalage Des Couleurs B / Offset(色彩角度调整B)
Add User-Defined Constraints (Interactive) , Add User-Defined Constraints (Interactive)(添加用户定义的约束(交互式))
Rayon Cercle Milieu / Radius Middle Circle , Rayon Cercle Milieu / Radius Middle Circle(中圈半径)
1.  Plasma Texture [Discards Input Image] , 1.  Plasma Texture [Discards Input Image](1.等离子纹理[丢弃输入图像])
Add Alpha Channels to Detail Scale Layers , Add Alpha Channels to Detail Scale Layers(将Alpha通道添加到局部比例图层)
Couleurs Aléatoires / Random Colors , Couleurs Aléatoires / Random Colors(随机颜色)
Remove Artifacts From Micro/Macro Detail , Remove Artifacts From Micro/Macro Detail(从微观/宏观细节中删除伪像)
Décalage Ombre X / Shadow Offset X , Décalage Ombre X / Shadow Offset X(阴影 偏移 X)
Décalage Ombre Y / Shadow Offset Y , Décalage Ombre Y / Shadow Offset Y(阴影 偏移 Y)
Logarithmic Distortion X-Axis Direction , Logarithmic Distortion X-Axis Direction(对数失真X轴方向)
Logarithmic Distortion Y-Axis Direction , Logarithmic Distortion Y-Axis Direction(对数失真Y轴方向)
Opacité Flocon / Opacity Snowflake , Opacité Flocon / Opacity Snowflake(雪花不透明度)
23. Self-Blending V. Original Blending , 23. Self-Blending V. Original Blending(23.自我融合V.原始融合)
24. Self-Blend V. Original Opacity (%) , 24. Self-Blend V. Original Opacity (%)(24.自混合V.不透明度(%))
Matching Precision (Smaller Is Faster) , Matching Precision (Smaller Is Faster)(匹配精度(越小越快))
Output Each Piece on a Different Layer , Output Each Piece on a Different Layer(在不同的图层上输出每个片段)
Accentuation Nuances / Sharpen Shades , Accentuation Nuances / Sharpen Shades(细微差别/锐化阴影)
Automatic Upscale for Optimum Results , Automatic Upscale for Optimum Results(自动升级以获得最佳结果)
Display Coordinates on Preview Window , Display Coordinates on Preview Window(在预览窗口上显示坐标)
Preserve Canvas for Post Bump Mapping , Preserve Canvas for Post Bump Mapping(保留画布以进行后期凹凸贴图)
Maximum Red:Blue Ratio in the Fringe , Maximum Red:Blue Ratio in the Fringe(边缘中的最大红色:蓝色比率)
Minimum Red:Blue Ratio in the Fringe , Minimum Red:Blue Ratio in the Fringe(边缘中的最小红色:蓝色比率)
Percent of Image Half-Hypotenuse (%) , Percent of Image Half-Hypotenuse (%)(图像半斜边的百分比(%))
Render Routine for Wiggle Animations , Render Routine for Wiggle Animations(摆动动画渲染例程)
Scale Style to Fit Target Resolution , Scale Style to Fit Target Resolution(缩放样式以适合目标分辨率)
4.  Segmentation [No Alpha Channel] , 4.  Segmentation [No Alpha Channel](4.细分[无Alpha通道])
Fit Radial End to Min/Max Dimension , Fit Radial End to Min/Max Dimension(使径向端部适合最小/最大尺寸)
Keep Base Layer as Input Background , Keep Base Layer as Input Background(保持基础层作为输入背景)
Keep Iterations as Different Layers , Keep Iterations as Different Layers(保持迭代为不同的层)
Lock Return Scaling to Source Layer , Lock Return Scaling to Source Layer(锁定恢复尺寸到源层)
Inversion Couleurs / Invert Colors , Inversion Couleurs / Invert Colors(反转Couleurs /反转颜色)
Smoothen Background Reconstruction , Smoothen Background Reconstruction(简化背景重建)
Angle Décalage Image Contour , Angle Décalage Image Contour(角度D和比例尺图像轮廓)
Courbure Ombre / Curvature Shadow , Courbure Ombre / Curvature Shadow(曲率阴影)
Douceur Ombre / Smoothness Shadow , Douceur Ombre / Smoothness Shadow(平滑阴影)
Mélanges Rayons / Blend Rays , Mélanges Rayons / Blend Rays(混合光线)
Nombre De Rayons / Number Of Rays , Nombre De Rayons / Number Of Rays(射线数)
Output Preset as a HaldCLUT Layer , Output Preset as a HaldCLUT Layer(输出预设为HaldCLUT层)
Preview Progression While Running , Preview Progression While Running(运行时预览进度)
Adjust Background Reconstruction , Adjust Background Reconstruction(调整背景重建)
Detail Reconstruction Smoothness , Detail Reconstruction Smoothness(细节重建平滑度)
Enable Extreme Emboss or Relief? , Enable Extreme Emboss or Relief?(启用极端浮雕或浮雕?)
Expand Background Reconstruction , Expand Background Reconstruction(展开背景重建)
Patch Size for Synthesis (Final) , Patch Size for Synthesis (Final)(合成的补丁大小(最终))
Use Top Layer as a Priority Mask , Use Top Layer as a Priority Mask(使用顶层作为优先遮罩)
Detail Reconstruction Detection , Detail Reconstruction Detection(细节重建检测)
Image to Grab Color from (.Png) , Image to Grab Color from (.Png)(从(.Png)图像获取的颜色)
Make Hue Depends on Region Size , Make Hue Depends on Region Size(使色调取决于区域大小)
Maximal Seams per Iteration (%) , Maximal Seams per Iteration (%)(每次迭代的最大接缝(%))
Maximum Number of Output Layers , Maximum Number of Output Layers(最大输出层数)
Opacité / Opacity Contours , Opacité / Opacity Contours(轮廓不透明度)
Pencil Smoother Edge Protection , Pencil Smoother Edge Protection(铅笔更平滑的边缘保护)
Resize Image for Optimum Effect , Resize Image for Optimum Effect(调整图像大小以获得最佳效果)
Supprimer Calque / Delete Layer , Supprimer Calque / Delete Layer(删除图层)
26. Random Negation Channel(s) , 26. Random Negation Channel(s)(26.随机否定通道)
48. Activate Relief Processing , 48. Activate Relief Processing(48.激活救济处理)
Angle of Main Nebulous Surface , Angle of Main Nebulous Surface(主星云面角度)
Detail Reconstruction Strength , Detail Reconstruction Strength(细节重建强度)
Fidelity Smoothness (Coarsest) , Fidelity Smoothness (Coarsest)(保真平滑度(最差))
Force Re-Download from Scratch , Force Re-Download from Scratch(从头开始重新下载)
Influence of Color Samples (%) , Influence of Color Samples (%)(色样的影响(%))
Init. With High Gradients Only , Init. With High Gradients Only(初始化. 仅有高渐变)
Invert Background / Foreground , Invert Background / Foreground(反转背景/前景)
Maximum Number of Image Colors , Maximum Number of Image Colors(图像颜色的最大数量)
Number of Iterations per Scale , Number of Iterations per Scale(每个尺寸的迭代次数)
Painter's Edge Protection Flow , Painter's Edge Protection Flow(画家的边缘保护流量)
Surface Disturbance Multiplier , Surface Disturbance Multiplier(表面扰动倍增器)
11.  Quadtree Min Homogeneity , 11.  Quadtree Min Homogeneity(11.四叉树最小同质性)
12.  Quadtree Max Homogeneity , 12.  Quadtree Max Homogeneity(12. Quadtree最大同质性)
1st Additional Palette (.Gpl) , 1st Additional Palette (.Gpl)(第一个附加调色板(.Gpl))
22. Self-Blending Opacity (%) , 22. Self-Blending Opacity (%)(22.自混浊度(%))
2nd Additional Palette (.Gpl) , 2nd Additional Palette (.Gpl)(第二个附加调色板(.Gpl))
Add Comment Area in HTML Page , Add Comment Area in HTML Page(在HTML页面中添加评论区域)
Color 4 (Bottom/Right Corner) , Color 4 (Bottom/Right Corner)(颜色4(底/右角))
Display Debug Info on Preview , Display Debug Info on Preview(在预览中显示调试信息)
Fidelity to Target (Coarsest) , Fidelity to Target (Coarsest)(保真目标(最差))
Force Tiles to Have Same Size , Force Tiles to Have Same Size(强制每块具有相同大小)
Process Channels Individually , Process Channels Individually(分别处理通道)
Recursions Flocon / Snowflake , Recursions Flocon / Snowflake(递归雪花)
Skip to Use the Mask to Boost , Skip to Use the Mask to Boost(跳过使用面膜增强)
Specify Different Output Size , Specify Different Output Size(指定不同的输出大小)
-3. Normalisation Channel(s) , -3. Normalisation Channel(s)(-3. 标准化通道)
Affichage / Display Contours , Affichage / Display Contours(显示轮廓)
Angle of Disturbance Surface , Angle of Disturbance Surface(扰动面角度)
Auto-Reduce Number of Frames , Auto-Reduce Number of Frames(自动减少帧数)
Color 3 (Bottom/Left Corner) , Color 3 (Bottom/Left Corner)(颜色3(左下角))
Fast (Low Precision) Preview , Fast (Low Precision) Preview(快速(低精度)预览)
Fidelity Smoothness (Finest) , Fidelity Smoothness (Finest)(保真平滑度(最佳))
Number of Matches (Coarsest) , Number of Matches (Coarsest)(匹配数目(最差))
Split Base and Detail Output , Split Base and Detail Output(拆分基本和明细输出)
Stereoscopic Window Position , Stereoscopic Window Position(立体窗位置)
10.  Quadtree Max Precision , 10.  Quadtree Max Precision(10. Quadtree Max精度)
Additional Duplicates Count , Additional Duplicates Count(额外重复计数)
Anaglyph Glasses Adjustment , Anaglyph Glasses Adjustment(立体眼镜调整)
Color Variation [Random -1] , Color Variation [Random -1](颜色变化[随机-1])
Cubism on Color Abstraction , Cubism on Color Abstraction(色彩抽象立体主义)
Detail Reconstruction Style , Detail Reconstruction Style(细节重建风格)
Distortion Surface Position , Distortion Surface Position(变形表面位置)
Disturbance Scale-By-Factor , Disturbance Scale-By-Factor(干扰量表)
Do Not Flatten Transparency , Do Not Flatten Transparency(不要弄平透明度)
Edge Detect Includes Chroma , Edge Detect Includes Chroma(边缘检测包括色度)
Feature Analyzer Smoothness , Feature Analyzer Smoothness(特征分析器平滑度)
Fidelity to Target (Finest) , Fidelity to Target (Finest)(保真目标(最佳))
Keep Transparency in Output , Keep Transparency in Output(保持输出透明)
LN Neightborhood-Smoothness , LN Neightborhood-Smoothness(LN 相邻-平滑)
Preserve Initial Brightness , Preserve Initial Brightness(保持初始亮度)
Segmentation Edge Threshold , Segmentation Edge Threshold(分割边缘阈值)
Shift Linear Interpolation? , Shift Linear Interpolation?(移位线性插值?)
9.  Quadtree Min Precision , 9.  Quadtree Min Precision(9.四叉树最小精度)
Activate Color Enhancement , Activate Color Enhancement(激活色彩增强)
Enable Interpolated Motion , Enable Interpolated Motion(启用插补运动)
Feature Analyzer Threshold , Feature Analyzer Threshold(特征分析器阈值)
Highlights Color Intensity , Highlights Color Intensity(高光颜色强度)
Highlights Crossover Point , Highlights Crossover Point(亮点交叉点)
Intensity of Purple Fringe , Intensity of Purple Fringe(紫边强度)
Keep Detail Layer Separate , Keep Detail Layer Separate(将细节层分开)
Negative Color Abstraction , Negative Color Abstraction(负色抽象)
Number of Matches (Finest) , Number of Matches (Finest)(匹配数目(最佳))
Penalize Patch Repetitions , Penalize Patch Repetitions(惩罚补丁重复)
Pencil Smoother Smoothness , Pencil Smoother Smoothness(铅笔平滑平滑)
Posterization Antialiasing , Posterization Antialiasing(后期化抗锯齿)
Preliminary X-Axis Scaling , Preliminary X-Axis Scaling(初步X轴缩放)
Preliminary Y-Axis Scaling , Preliminary Y-Axis Scaling(初步的Y轴缩放)
R/B Smoothness (Principal) , R/B Smoothness (Principal)(R/B 平滑度(主要))
R/B Smoothness (Secondary) , R/B Smoothness (Secondary)(R/B 平滑度(次要))
Red - Green - Blue - Alpha , Red - Green - Blue - Alpha(红色-绿色-蓝色-Alpha)
Sharpen Details in Preview , Sharpen Details in Preview(在预览中锐化细节)
Superimpose with Original? , Superimpose with Original?(与原始叠加?)
Activate Second Direction , Activate Second Direction(激活第二方向)
Apply Transformation From , Apply Transformation From(从应用转换)
Blur Dodge and Burn Layer , Blur Dodge and Burn Layer(模糊减淡和加深图层)
Color 2 (Up/Right Corner) , Color 2 (Up/Right Corner)(颜色2(右上角))
Color Abstraction Opacity , Color Abstraction Opacity(颜色抽象不透明度)
Higher Mask Threshold (%) , Higher Mask Threshold (%)(较高的遮罩阈值(%))
Lowlights Crossover Point , Lowlights Crossover Point(弱光交叉点)
Max Angle Deviation (deg) , Max Angle Deviation (deg)(最大角度偏差(度))
Medium Details Smoothness , Medium Details Smoothness(中等细节平滑度)
Min Angle Deviation (deg) , Min Angle Deviation (deg)(最小角度偏差(度))
Output as Multiple Layers , Output as Multiple Layers(输出为多层)
Output as Separate Layers , Output as Separate Layers(输出为单独的图层)
Output Corresponding CLUT , Output Corresponding CLUT(输出对应的CLUT)
Painter's Touch Sharpness , Painter's Touch Sharpness(画家的触摸清晰度)
Pencil Smoother Sharpness , Pencil Smoother Sharpness(铅笔平滑锐利)
Preliminary Surface Shift , Preliminary Surface Shift(初步表面位移)
Regularization Iterations , Regularization Iterations(正规化迭代)
Shade Back to First Color , Shade Back to First Color(阴影回到第一种颜色)
Size of Frame Numbers (%) , Size of Frame Numbers (%)(帧编号大小(%))
Toggle to View Base Image , Toggle to View Base Image(切换以查看基本图像)
3.  Plasma Alpha Channel , 3.  Plasma Alpha Channel(3.等离子阿尔法通道)
53. Blending Opacity (%) , 53. Blending Opacity (%)(53.混合不透明度(%))
Allow Self Intersections , Allow Self Intersections(允许自我相交)
Angle Inclinaison / Tilt , Angle Inclinaison / Tilt(倾斜角度/倾斜)
Avg Thickness Factor (%) , Avg Thickness Factor (%)(平均宽度系数(%))
Base Reference Dimension , Base Reference Dimension(基本参考尺寸)
Color 1 (Up/Left Corner) , Color 1 (Up/Left Corner)(颜色1(左上角))
Distortion Surface Angle , Distortion Surface Angle(变形表面角度)
Keep Original Image Size , Keep Original Image Size(保持原始图像大小)
Lower Mask Threshold (%) , Lower Mask Threshold (%)(面罩下限(%))
Maximal Color Saturation , Maximal Color Saturation(最大色彩饱和度)
Medium Details Threshold , Medium Details Threshold(中等详细信息阈值)
Midtones Color Intensity , Midtones Color Intensity(中间调颜色强度)
Open Interactive Preview , Open Interactive Preview(打开交互式预览)
Output Region Delimiters , Output Region Delimiters(输出区域定界符)
Patch Size for Synthesis , Patch Size for Synthesis(合成的补丁大小)
Preserve Image Dimension , Preserve Image Dimension(保留图像尺寸)
Preview Reference Circle , Preview Reference Circle(预览参考圈)
Process by Blocs of Size , Process by Blocs of Size(按大小块处理)
Récursions Contours , Récursions Contours(递归轮廓)
Saturation Channel Gamma , Saturation Channel Gamma(饱和度通道伽玛)
Smoother Edge Protection , Smoother Edge Protection(边缘平滑度)
Std Thickness Factor (%) , Std Thickness Factor (%)(标准宽度系数(%))
Turn on Rotate and Twirl , Turn on Rotate and Twirl(打开旋转并旋转)
Use Individual Depth Map , Use Individual Depth Map(使用个人深度图)
22. Correlated Channels , 22. Correlated Channels(22.相关通道)
34. Correlated Channels , 34. Correlated Channels(34.相关通道)
Activate Pink Elephants , Activate Pink Elephants(激活粉红色大象)
Activer Couleurs Formes , Activer Couleurs Formes(主动库勒形式)
Activer Symmetrizoscope , Activer Symmetrizoscope(启用对称)
Automatic Color Balance , Automatic Color Balance(自动色彩平衡)
Bidirectional Rendering , Bidirectional Rendering(双向渲染)
Blur Standard Deviation , Blur Standard Deviation(模糊标准偏差)
Bottom-Right Vertex (%) , Bottom-Right Vertex (%)(右下角(%))
Custom Depth Correction , Custom Depth Correction(自定义深度校正)
Fine Details Smoothness , Fine Details Smoothness(精细细节光滑度)
Image Contour Dimension , Image Contour Dimension(外围图像尺寸)
Minimal Color Intensity , Minimal Color Intensity(最小的色彩强度)
Neighborhood Smoothness , Neighborhood Smoothness(邻域平滑度)
Output Coordinates File , Output Coordinates File(输出坐标文件)
Patch Size for Analysis , Patch Size for Analysis(用于分析的补丁大小)
Placement of Distortion , Placement of Distortion(失真的位置)
Preview Detected Shapes , Preview Detected Shapes(预览检测到的形状)
Preview Frame Selection , Preview Frame Selection(预览框架选择)
Segment Max Length (px) , Segment Max Length (px)(段最大长度(像素))
Segmentation Smoothness , Segmentation Smoothness(分割平滑度)
Shadows Color Intensity , Shadows Color Intensity(阴影颜色强度)
Type Flocon / Snowflake , Type Flocon / Snowflake(雪花类型)
-2. Overall Channel(s) , -2. Overall Channel(s)(-2. 整体通道)
32. Minimum Saturation , 32. Minimum Saturation(32.最小饱和度)
33. Maximum Saturation , 33. Maximum Saturation(33.最大饱和度)
41. LP Frequency Power , 41. LP Frequency Power(41.低频电源)
42. LP Order Cube Root , 42. LP Order Cube Root(43. LP Order Cube Root)
43. HP Frequency Power , 43. HP Frequency Power(44. HP Frequency Power)
44. HP Order Cube Root , 44. HP Order Cube Root(45. HP Order Cube Root)
Activate Custom Filter , Activate Custom Filter(激活自定义过滤器)
Areas Light Adjustment , Areas Light Adjustment(区域调光)
Autocrop Output Layers , Autocrop Output Layers(自动裁剪输出层)
Avg Right Angle (deg.) , Avg Right Angle (deg.)(平均右侧角度(度))
Blue Chroma Smoothness , Blue Chroma Smoothness(蓝度平滑度)
Bottom-Left Vertex (%) , Bottom-Left Vertex (%)(左下顶点(%))
Connectors Variability , Connectors Variability(接头可变性)
Discard Contour Guides , Discard Contour Guides(舍弃轮廓指南)
End Point Connectivity , End Point Connectivity(端点连接)
Fill Transparent Holes , Fill Transparent Holes(填充透明孔洞)
Fine Details Threshold , Fine Details Threshold(精细细节阈值)
Flip Radial Direction? , Flip Radial Direction?(翻转径向方向?)
Generic Skin Structure , Generic Skin Structure(通用皮肤结构)
Highlights Abstraction , Highlights Abstraction(高光提取)
Horizon Leveling (deg) , Horizon Leveling (deg)(水平较正 (度))
Input Frame Files Name , Input Frame Files Name(输入帧文件名称)
Keypoint Influence (%) , Keypoint Influence (%)(关键点影响力(%))
Lenticular Density LPI , Lenticular Density LPI(晶状体密度)
Lenticular Orientation , Lenticular Orientation(晶状体取向)
Local Contrast Enhance , Local Contrast Enhance(局部对比度增强)
Lower Side Orientation , Lower Side Orientation(下侧方向)
Normalize Illumination , Normalize Illumination(标准化照明)
Number of Added Frames , Number of Added Frames(添加的帧数)
Number of Inter-Frames , Number of Inter-Frames(帧间数量)
Number of Orientations , Number of Orientations(方向数)
Opacité / Opacity , Opacité / Opacity(不透明 /不透明度)
Output CLUT Resolution , Output CLUT Resolution(输出CLUT分辨率)
Output Multiple Layers , Output Multiple Layers(输出多层)
Output Stroke Layer On , Output Stroke Layer On(描边层位于)
Position X Origine (%) , Position X Origine (%)(X原点位置(%))
Position Y Origine (%) , Position Y Origine (%)(Y原点位置(%))
Print Adjustment Marks , Print Adjustment Marks(打印调整标记)
Process Top Layer Only , Process Top Layer Only(仅处理顶层)
Render Multiple Frames , Render Multiple Frames(渲染多帧)
Right Side Orientation , Right Side Orientation(右侧方向)
Spatial Regularization , Spatial Regularization(空间正则化)
Spline Max Angle (deg) , Spline Max Angle (deg)(花键最大角度(度))
Spline Max Length (px) , Spline Max Length (px)(花键最大长度(px))
Stereo Window Position , Stereo Window Position(立体窗位置)
Subpixel Interpolation , Subpixel Interpolation(亚像素插值)
Transparent Background , Transparent Background(透明背景)
Upper Side Orientation , Upper Side Orientation(上侧方向)
1-3. Background Color , 1-3. Background Color(1-3.背景颜色)
37. Saturation Offset , 37. Saturation Offset(37.饱和度偏移)
6. Damping per Octave , 6. Damping per Octave(6.每八度阻尼)
Avg Left Angle (deg.) , Avg Left Angle (deg.)(平均左侧角度(度))
Avg Length Factor (%) , Avg Length Factor (%)(平均长度系数(%))
Contour Detection (%) , Contour Detection (%)(轮廓检测(%))
Contour Normalization , Contour Normalization(轮廓标准化)
Contour Threshold (%) , Contour Threshold (%)(轮廓阈值(%))
Depth Fade Out Frames , Depth Fade Out Frames(深度淡出帧)
Display Blob Controls , Display Blob Controls(显示斑点控件)
Effect X-Axis Scaling , Effect X-Axis Scaling(效果X轴缩放)
Effect Y-Axis Scaling , Effect Y-Axis Scaling(效果Y轴缩放)
Equalize at Each Step , Equalize at Each Step(在每一步均等)
External Transparency , External Transparency(外部透明度)
Extrapolate Colors As , Extrapolate Colors As(外推颜色为)
Fidelity Chromaticity , Fidelity Chromaticity(保真色度)
Flip Angle Direction? , Flip Angle Direction?(翻转角度方向?)
GradienNormSmoothness , GradienNormSmoothness(渐变规范平滑)
HDR Effect (Tone Map) , HDR Effect (Tone Map)(HDR效果(色调图))
Highlights Brightness , Highlights Brightness(高光亮度)
Ignore Current Aspect , Ignore Current Aspect(忽略当前方面)
Include Opacity Layer , Include Opacity Layer(包括不透明度层)
Left / Right Blur (%) , Left / Right Blur (%)(左/右模糊(%))
Left Side Orientation , Left Side Orientation(左侧方向)
LN Average-Smoothness , LN Average-Smoothness(LN 平均-光滑)
Local Contrast Effect , Local Contrast Effect(局部对比效果)
Local Detail Enhancer , Local Detail Enhancer(局部细节增强器)
Lock Uniform Sampling , Lock Uniform Sampling(锁定均匀采样)
Minimal Stroke Length , Minimal Stroke Length(最小行程)
Neighborhood Size (%) , Neighborhood Size (%)(邻域大小(%))
Opacity Threshold (%) , Opacity Threshold (%)(不透明度阈值(%))
Orientation Coherence , Orientation Coherence(方向连贯性)
Preview Without Alpha , Preview Without Alpha(没有Alpha的预览)
Pseudo-Gray Dithering , Pseudo-Gray Dithering(伪灰色抖动)
Radial Edge Behaviour , Radial Edge Behaviour(径向边缘行为)
Red Chroma Smoothness , Red Chroma Smoothness(红色色度平滑度)
Saturation Correction , Saturation Correction(饱和度校正)
Saturation Smoothness , Saturation Smoothness(饱和度平滑度)
Size for Bright Tones , Size for Bright Tones(亮色调的大小)
Std Length Factor (%) , Std Length Factor (%)(标准长度系数(%))
Transition Smoothness , Transition Smoothness(过渡平滑度)
X-Coordinate [Manual] , X-Coordinate [Manual](X-坐标[手动])
Y-Coordinate [Manual] , Y-Coordinate [Manual](Y-坐标[手动])
16. Noise Channel(s) , 16. Noise Channel(s)(16.噪声通道)
19. Desaturation (%) , 19. Desaturation (%)(19.去饱和度(%))
Add Chalk Highlights , Add Chalk Highlights(添加粉笔集锦)
Add Color Background , Add Color Background(添加背景色)
Allow Outer Blending , Allow Outer Blending(允许外部混合)
Also Match Gradients , Also Match Gradients(还可以匹配渐变)
Angle Edge Behaviour , Angle Edge Behaviour(角边行为)
Apply Adjustments On , Apply Adjustments On(套用调整)
Apply Skin Tone Mask , Apply Skin Tone Mask(应用肤色面膜)
Auto-Set Periodicity , Auto-Set Periodicity(自动设定周期)
Background Intensity , Background Intensity(背景强度)
Background Point (%) , Background Point (%)(背景点(%))
Blending Opacity (%) , Blending Opacity (%)(混合不透明度(%))
Border Thickness (%) , Border Thickness (%)(边框宽度(%))
Clear Control Points , Clear Control Points(清除控制点)
Color Overall Effect , Color Overall Effect(色彩整体效果)
Connectors Centering , Connectors Centering(接头居中)
Constrain Image Size , Constrain Image Size(限制图像大小)
Depth Fade In Frames , Depth Fade In Frames(深度淡入帧)
Details Strength (%) , Details Strength (%)(细节强度(%))
Dimension Motif Base , Dimension Motif Base(尺寸母题库)
Discard Transparency , Discard Transparency(放弃透明度)
Douceur / Smoothness , Douceur / Smoothness(Douceur /平滑度)
Ellipsionism Opacity , Ellipsionism Opacity(椭圆不透明度)
Exponent (Imaginary) , Exponent (Imaginary)(指数(虚数))
Flat Regions Removal , Flat Regions Removal(平坦区域去除)
Flou / Blur Contours , Flou / Blur Contours(模糊轮廓)
Frame as a New Layer , Frame as a New Layer(框架作为新层)
GradienNormLinearity , GradienNormLinearity(渐变规范线性)
Highlights Lightness , Highlights Lightness(高光亮度)
Highlights Selection , Highlights Selection(高光选择)
Highlights Threshold , Highlights Threshold(高光阈值)
Horizontal Warp Only , Horizontal Warp Only(仅水平翘曲)
Invert Canvas Colors , Invert Canvas Colors(反转画布颜色)
Keep Layers Separate , Keep Layers Separate(保持层分开)
Kuwahara on Painting , Kuwahara on Painting(Kuwahara滤波绘画)
Lightness Smoothness , Lightness Smoothness(亮度平滑度)
Local Contrast Style , Local Contrast Style(局部对比风格)
Luminance Smoothness , Luminance Smoothness(亮度平滑度)
Moire Removal Method , Moire Removal Method(去除波纹的方法)
Number of Key-Frames , Number of Key-Frames(关键帧数)
Opacity as Heightmap , Opacity as Heightmap(不透明度为高度图)
Painter's Smoothness , Painter's Smoothness(画家的平滑度)
Pre-Defined Colormap , Pre-Defined Colormap(预设的色彩映射)
Preview Progress (%) , Preview Progress (%)(预览进度(%))
Process Transparency , Process Transparency(处理透明度)
Relative Block Count , Relative Block Count(相对块数)
Skin Tone Protection , Skin Tone Protection(肤色保护)
Skip All Other Steps , Skip All Other Steps(跳过所有其他步骤)
Structure Smoothness , Structure Smoothness(结构平整度)
Top-Right Vertex (%) , Top-Right Vertex (%)(右上角(%))
17. Warp Iterations , 17. Warp Iterations(17.翘曲迭代)
21. Scale to Height , 21. Scale to Height(21.缩放到高度)
24. Warp Channel(s) , 24. Warp Channel(s)(24.翘曲通道)
25. Random Negation , 25. Random Negation(25.随机否定)
8-10. Color Balance , 8-10. Color Balance(8-10.色彩均衡)
Absolute Brightness , Absolute Brightness(绝对亮度)
Add Painter's Touch , Add Painter's Touch(添加画家的触摸)
Analysis Smoothness , Analysis Smoothness(解析平滑度)
Apply Color Balance , Apply Color Balance(应用色彩平衡)
Bit Masking (Start) , Bit Masking (Start)(位屏蔽(开始))
Canaux / Channel(s) , Canaux / Channel(s)(卡诺/通道)
Color Green-Magenta , Color Green-Magenta(颜色绿色-洋红色)
Compress Highlights , Compress Highlights(压缩亮点)
Conical Start at 0? , Conical Start at 0?(圆锥形从0开始?)
Contrast Smoothness , Contrast Smoothness(对比平滑度)
Correlated Channels , Correlated Channels(相关通道)
Depth Field Control , Depth Field Control(深度场控制)
Depth-Of-Field Type , Depth-Of-Field Type(景深类型)
Destination X-Tiles , Destination X-Tiles(目标 X-块数)
Destination Y-Tiles , Destination Y-Tiles(目标 Y-块数)
Dimension En Pixels , Dimension En Pixels(像素尺寸)
Display Coordinates , Display Coordinates(显示坐标)
Enable Antialiasing , Enable Antialiasing(启用抗锯齿)
Enable Segmentation , Enable Segmentation(启用细分)
Far Point Deviation , Far Point Deviation(远点偏差)
