<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
Color Smoothness , Colore Levigatezza del colore
Color Space , Spazio di colore
Color Spots + Extrapolated Colors + Lineart , Punti di colore + Colori estrapolati + Lineart
Color Spots + Lineart , Punti di colore + Lineart
Color Strength , Forza del colore
Color Temperature , Temperatura di colore
Color Tolerance , Tolleranza di colore
Color Variation [Random -1] , Variazione di colore [Casuale -1]
Colored Geometry , Geometria colorata
Colored Grain , Grana colorata
Colored Lineart , Lineart colorato
Colored on Black , Colorato su nero
Colored on Transparent , Colorato su Trasparente
Colored Outline , Contorno colorato
Colored Pencils , Matite colorate
Colored Regions , Regioni colorate
Colorful , Colorato
Colorful 0209 , Colorato 0209
Colorful Blobs , Blob colorate
Coloring , Colorare
Colorize [Interactive] , Colorare [Interattivo]
Colorize [Photographs] , Colorare [Fotografie]
Colorize [with Colormap] , Colorare [con Colormap]
Colorize Lineart [Auto-Fill] , Colorare Lineart [Auto-Fill]
Colorize Lineart [Propagation] , Colorare Lineart [Propagazione]
Colorize Lineart [Smart Coloring] , Colorare Lineart [Colorazione intelligente]
Colorize Mode , Modalità Colorazione
Colorized Image (1 Layer) , Immagine colorata (1 strato)
Colormap Type , Tipo Colormap
Colors , Colori
Colors A , Colori A
Colors B , Colori B
Colors Only , Solo colori
Colors Only (1 Layer) , Solo colori (1 strato)
Colors to Layers , Colori a strati
Colorspace , Spazio colore
Colour , Colore
Colour Channels , Canali di colore
Colour Model , Modello di colore
Colour Smoothing , Lisciatura del colore
Colour Space Mode , Modalità Spazio Colore
Column by Column , Colonna per colonna
Comic Style , Stile comico
Comix Colors , Colori Comix
Components , Componenti
Composed Layers , Strati composti
Compress Highlights , Caratteristiche principali del compressore
Compression Blur , Sfocatura a compressione
Compression Filter , Filtro a compressione
Computation Mode , Modalità di calcolo
Cone , Cono
Conflict 01 , Conflitto 01
Conformal Maps , Mappe conformi
Connectivity , Connettività
Connectors Centering , Centraggio dei connettori
Connectors Variability , Variabilità dei connettori
Constrain Image Size , Dimensioni dell'immagine
Constrain Values , Valori limite
Constrained Sharpen , Aguzza la vista
Constraint Radius , Raggio di restrizione
Continuous Droste , Droste continua
Contour Coherence , Coerenza dei contorni
Contour Detection (%) , Rilevamento del contorno (%)
Contour Normalization , Normalizzazione dei contorni
Contour Precision , Precisione del contorno
Contour Threshold , Soglia di contorno
Contour Threshold (%) , Soglia di contorno (%)
Contours , Contorni
Contours + Flocon/Snowflake , Contorni + Flocon/Fiocco di neve
Contours Recursion , Ricorsione dei contorni
Contrast , Contrasto
Contrast (%) , Contrasto (%)
Contrast Smoothness , Contrasto Levigatezza
Contrast Swiss Mask , Maschera svizzera a contrasto
Contrast with Highlights Protection , Contrasto con la protezione delle alte luci
Contrasty Afternoon , Pomeriggio di contrasto
Contrasty Green , Verde a contrasto
Contributors , Collaboratori
Control Point 1 , Punto di controllo 1
Control Point 2 , Punto di controllo 2
Control Point 3 , Punto di controllo 3
Control Point 4 , Punto di controllo 4
Control Point 5 , Punto di controllo 5
Control Point 6 , Punto di controllo 6
Convolve , Convolgere
Cool (256) , Fresco (256)
Cool / Warm , Fresco / Caldo
Copper , Rame
Corner Brightness , Luminosità d'angolo
Correlated Channels , Canali correlati
Counter Clockwise , In senso antiorario
Course 4 , Corso 4
Cracks , Crepe
Crease , Piega
Creative Pack (33) , Pacchetto creativo (33)
Crip Winter , Inverno Crip
Crisp Romance , Romanticismo frizzante
Crisp Warm , Caldo e frizzante
Criterion , Criterio
Crop , Ritaglio
Crop (%) , Raccolto (%)
Cross Process CP 130 , Processo incrociato CP 130
Cross Process CP 14 , Processo incrociato CP 14
Cross Process CP 15 , Processo incrociato CP 15
Cross Process CP 16 , Processo incrociato CP 16
Cross Process CP 18 , Processo incrociato CP 18
Cross Process CP 3 , Processo incrociato CP 3
Cross Process CP 4 , Processo incrociato CP 4
Cross Process CP 6 , Processo incrociato CP 6
Cross-Hatch Amount , Importo del portellone trasversale
Crossed , Attraversato
Crosses 1 , Croci 1
Crosses 2 , Croci 2
CRT Sub-Pixels , Sub-Pixel CRT
Crystal Background , Sfondo di cristallo
Cube , Cubo
Cube (256) , Cubo (256)
Cubicle 99 , Cubicolo 99
Cubism , Cubismo
Cubism on Color Abstraction , Cubismo sull'astrazione del colore
Cup , Coppa
Cupid , Cupido
Curvature , Curvatura
Curvature Shadow , Ombra a curvatura
Curve Amount , Curva Importo
Curve Angle , Angolo di curvatura
Curve Length , Lunghezza della curva
Curved , Curvo
Curved Stroke , Corsa curva
Curves , Curve
Curves Previously Defined , Curve definite in precedenza
Custom , Personalizzato
Custom Code [Global] , Codice personalizzato [Globale]
Custom Code [Local] , Codice personalizzato [Locale]
Custom Correction Map , Mappa di correzione personalizzata
Custom Depth Correction , Correzione di profondità personalizzata
Custom Depth Maps Stream , Flusso di mappe di profondità personalizzate
Custom Dictionary , Dizionario personalizzato
Custom Filter Code , Codice filtro personalizzato
Custom Formula , Formula personalizzata
Custom Kernel , Kernel personalizzato
Custom Layers , Strati personalizzati
Custom Layout , Layout personalizzato
Custom Style (Bottom Layer) , Stile personalizzato (strato inferiore)
Custom Style (Top Layer) , Stile personalizzato (strato superiore)
Custom Transform , Trasformazione personalizzata
Customize CLUT , Personalizza CLUT
Cut , Taglia
Cut & Normalize , Taglia e normalizza
Cut High , Taglio alto
Cut Low , Taglio basso
Cutout , Ritaglio
Cyan , Ciano
Cyan Factor , Fattore Ciano
Cyan Shift , Turno Ciano
Cyan Smoothness , Ciano scorrevolezza
Cycle Layers , Strati di ciclo
Cycles , Cicli
Cylinder , Cilindro
D and O 1 , D e O 1
Damping per Octave , Smorzamento per ottava
Dark  Motive , Motivo scuro
Dark Blues in Sunlight , Blu scuro alla luce del sole
Dark Boost , Scuro Boost
Dark Color , Colore scuro
Dark Edges , Bordi scuri
Dark Green 02 , Verde scuro 02
Dark Green 1 , Verde scuro 1
Dark Grey , Grigio scuro
Dark Length , Lunghezza scura
Dark Motive , Motivo scuro
Dark Pixels , Pixel scuri
Dark Place 01 , Posto scuro 01
Dark Screen , Schermo scuro
Dark Sky , Cielo scuro
Dark Walls , Muri scuri
Darken , Scurire
Darker , Più scuro
Darkness , Buio
Darkness Level , Livello di oscurità
Date 39 , Data 39
Day for Night , Giorno per la notte
Daylight Scene , Scena alla luce del giorno
De-Anaglyph , De-Analisi
Debug Font Size , Dimensione del carattere di debug
Decompose , Decomporre
Decompose Channels , Decomporre i canali
Decoration , Decorazione
Decreasing , In diminuzione
Deep , Profondo
Deep Blue , Blu profondo
Deep Dark Warm , Caldo scuro profondo
Deep High Contrast , Profondo Alto contrasto
Deep Teal Fade , Dissolvenza alzavola profonda
Deep Warm Fade , Dissolvenza calda e profonda
Default , Predefinito
Defects Contrast , Difetti Contrasto
Defects Density , Difetti Densità
Defects Size , Dimensione dei difetti
Defects Smoothness , Difetti Lisciozza
Deform , Deformare
Delaunay: Portrait De Metzinger , Delaunay: Ritratto De Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: finestre aperte contemporaneamente
Delete Layer Source , Cancellare la fonte del livello
Density , Densità
Density (%) , Densità (%)
Depth , Profondità
Depth Fade In Frames , Dissolvenza di profondità nei frame
Depth Fade Out Frames , Profondità Dissolvenza cornici
Depth Field Control , Controllo di profondità del campo
Depth Map , Mappa della profondità
Depth Map Construction , Costruzione della mappa della profondità
Depth Map Only , Solo mappa della profondità
Depth Map Reconstruction , Ricostruzione della mappa della profondità
Depth Maps Only , Solo mappe di profondità
Depth-Of-Field Type , Tipo di profondità di campo
Desaturate (%) , Desaturato (%)
Desaturate Norm , Norma desaturata
Descent Method , Metodo della discesa
Destination (%) , Destinazione (%)
Destination X-Tiles , Destinazione X-Tiles
Destination Y-Tiles , Destinazione Y-Tiles
Detail , Dettaglio
Detail Level , Livello di dettaglio
Detail Reconstruction Detection , Rilevamento della ricostruzione di dettaglio
Detail Reconstruction Smoothness , Dettaglio Ricostruzione Levigatezza
Detail Reconstruction Strength , Dettaglio Forza di ricostruzione
Detail Reconstruction Style , Dettaglio Stile di ricostruzione
Detail Scale , Scala di dettaglio
Detail Strength , Dettaglio Forza
Details , Dettagli
Details Amount , Dettagli Importo
Details Equalizer , Dettagli Equalizzatore
Details Scale , Dettagli Scala
Details Smoothness , Dettagli Levigatezza
Details Strength (%) , Dettagli Forza (%)
Detect Skin , Rilevamento della pelle
Deuteranomaly , Deuteranomalia
Deviation , Deviazione
Diamond , Diamante
Diamond (Inv.) , Diamante (Inv.)
Diamonds , Diamanti
Diamonds (Outline) , Diamanti (Schema)
Dices , Dadi
Dices with Colored Numbers , Dadi con numeri colorati
Dices with Colored Sides , Dadi con i lati colorati
Difference , Differenza
Difference Mixing , Differenza di miscelazione
Difference of Gaussians , Differenza dei gaussiani
Different Axis , Asse diverso
Diffuse (%) , Diffuso (%)
Diffuse Shadow , Ombra diffusa
Diffusion , Diffusione
Diffusion Tensors , Tensori di diffusione
Diffusivity , Diffusione
Digits , Cifre
Dilatation , Dilatazione
Dilate , Dilata
Dilation , Dilatazione
Dilation - Original , Dilatazione - Originale
Dilation / Erosion , Dilatazione / Erosione
Dimension , Dimensione
Dimension [Diff] , Dimensione [Diff]
Dimension A , Dimensione A
Dimensions (%) , Dimensioni (%)
Dimensions Pixels , Dimensioni Pixel
Dipole: 1/(4*z^2-1) , Dipolo: 1/(4*z^2-1)
Direct , Diretta
Direction , Direzione
Directions 23 , Indicazioni stradali 23
Disable , Disattivare
Disabled , Disabili
Discard Contour Guides , Scartare le guide di contorno
Discard Transparency , Scartare la trasparenza
Disco , Discoteca
Display , Visualizzare
Display Color Axes , Assi dei colori del display
Display Contours , Visualizzare i contorni
Display Coordinates , Coordinate del display
Display Coordinates on Preview Window , Visualizzare le coordinate sulla finestra di anteprima
Display Debug Info on Preview , Visualizzare le informazioni di debug sull'anteprima
Distance , Distanza
Distance (Fast) , Distanza (Veloce)
Distance Transform , Trasformazione a distanza
Distort Lens , Obiettivo distorto
Distortion Factor , Fattore di distorsione
Distortion Surface Angle , Angolo di superficie di distorsione
Distortion Surface Position , Posizione della superficie di distorsione
Disturbance Scale-By-Factor , Disturbo Scala per Fattore
Disturbance X , Disturbo X
Disturbance Y , Disturbo Y
Dither Output , Uscita Dither
Divide , Dividere
Do Not Flatten Transparency , Non appiattire la trasparenza
Dodge and Burn , Schivare e bruciare
Dodge Blur , Schivare la sfocatura
Dodge Strength , Schivare la forza
DOF Analyzer , Analizzatore DOF
Dog , Cane
Don't Sort , Non ordinare
Dot Size , Dimensione del punto
Dots , Puntini
Download External Data , Scarica i dati esterni
Dragon Curve , Curva del Drago
Dragonfly , Libellula
Drawing Mode , Modalità di disegno
Drawn Montage , Montaggio disegnato
Dream , Sogno
Dream 1 , Sogno 1
Dream 85 , Sogno 85
Dream Smoothing , Lisciatura dei sogni
Drop Green Tint 14 , Goccia Verde Tinta 14
Drop Shadow , Ombra a goccia
Drop Water , Goccia d'acqua
Duck , Anatra
Duplicate Bottom , Duplicare il fondo
Duplicate Horizontal , Duplicare orizzontale
Duplicate Left , Duplicare a sinistra
Duplicate Right , Duplicare il diritto
Duplicate Top , Duplicare Top
Duplicate Vertical , Duplicazione verticale
Duration , Durata
Dynamic Range Increase , Aumento della gamma dinamica
Eagle , Aquila
Earth , Terra
Earth Tone Boost , Boost del tono di terra
Easy Skin Retouch , Ritocco facile della pelle
Edge Antialiasing , Bordo Antialiasing
Edge Attenuation , Attenuazione dei bordi
Edge Behavior X , Comportamento al bordo X
Edge Behavior Y , Comportamento al bordo Y
Edge Detect Includes Chroma , Edge Detect include il croma
Edge Exponent , Esponente di bordo
Edge Fidelity , Fedeltà di bordo
Edge Influence , Influenza del bordo
Edge Mask , Bordo maschera
Edge Sensitivity , Sensibilità ai bordi
Edge Shade , Ombra del bordo
Edge Simplicity , Semplicità del bordo
Edge Smoothness , Levigatezza del bordo
Edge Thickness , Spessore del bordo
Edge Threshold , Soglia del bordo
Edge Threshold (%) , Soglia del bordo (%)
Edges , Bordi
Edges (%) , Bordi (%)
Edges [Animated] , Bordi [Animato]
Edges Offsets , Offset di bordi
Edges on Fire , Bordi sul fuoco
Edges-0.5 (beware: Memory-Consuming!) , Edges-0.5 (attenzione: Consumo di memoria!)
Edges-1 (beware: Memory-Consuming!) , Edges-1 (attenzione: Consumo di memoria!)
Edges-2 (beware: Memory-Consuming!) , Edges-2 (attenzione: Consumo di memoria!)
Edgy Ember , Ambra tagliente
Effect Strength , Forza dell'effetto
Effect X-Axis Scaling , Scalatura dell'asse X ad effetto
Effect Y-Axis Scaling , Scalatura dell'asse Y dell'effetto
Eight Layers , Otto strati
Eight Threads , Otto fili
Elegance 38 , Eleganza 38
Elephant , Elefante
Elevation , Elevazione
Elevation (%) , Elevazione (%)
Ellipse , Ellisse
Ellipse Painting , Pittura di ellissi
Ellipse Ratio , Rapporto di ellisse
Ellipsionism , Ellitsionismo
Ellipsionism Opacity , Opacità dell'ellisse
Ellipsoid , Ellissoide
Emboss , Goffratura
Enable Antialiasing , Attivare Antialiasing
Enable Interpolated Motion , Attivare il movimento interpolato
Enable Morphology , Attivare la morfologia
Enable Paintstroke , Abilita Paintstroke
Enable Segmentation , Attivare la segmentazione
Enchanted , Incantato
End Color , Colore finale
End Frame Number , Numero di telaio finale
End of Mid-Tones , Fine dei toni medi
End Point Connectivity , Connettività del punto finale
End Point Rate (%) , Tasso del punto finale (%)
Ending Angle , Angolo finale
Ending Color , Colore finale
Ending Feathering , Piumaggio finale
Ending Point (%) , Punto finale (%)
Ending Scale (%) , Scala finale (%)
Ending Value , Valore finale
Ending X-Centering , Fine X-Centering
Ending Y-Centering , Fine del centraggio a Y
Engrave , Incidi
Enhance Detail , Migliora il dettaglio
Enhance Details , Migliora i dettagli
Equalization , Perequazione
Equalization (%) , Perequazione (%)
Equalize , Equalizzare
Equalize and Normalize , Equalizzare e Normalizzare
Equalize at Each Step , Pareggiare ad ogni passo
Equalize HSI-HSL-HSV , Equalizzare HSI-HSL-HSV
Equalize HSV , Equalizzare HSV
Equalize Light , Equalizzare la luce
Equalize Local Histograms , Equalizzare gli istogrammi locali
Equalize Shadow , Equalizzare l'ombra
Equation Plot [Parametric] , Grafico delle equazioni [Parametrico]
Equation Plot [Y=f(X)] , Trama dell'equazione [Y=f(X)
Equirectangular to Nadir-Zenith , Equirettangolare a Nadir-Zenith
Erosion , Erosione
Erosion / Dilation , Erosione / Dilatazione
Etch Tones , Toni dell'acquaforte
Eterna for Flog , Eterna per Flog
Euclidean , Euclidea
Euclidean - Polar , Euclidea - Polare
Exclusion , Esclusione
Expand , Espandere
Expand Background Reconstruction , Espandere la ricostruzione di sfondo
Expand Shadows , Espandere le ombre
Expand Size , Espandere le dimensioni
Expanding Mirrors , Specchietti espandibili
Expired (fade) , Scaduto (dissolvenza)
Expired (polaroid) , Scaduto (polaroid)
Expired 69 , Scaduto 69
Exponent , Esponente
Exponent (Imaginary) , Esponente (Immaginario)
Exponent (Real) , Esponente (reale)
Exponential , Esponenziale
Export RGB-565 File , Esportazione del file RGB-565
Exposure , Esposizione
Expression , Espressione
Extend 1px , Estendere 1px
External Transparency , Trasparenza esterna
Extra  Smooth , Extra liscio
Extract Foreground [Interactive] , Estrarre il primo piano [Interattivo]
Extract Objects , Estrarre oggetti
Extrapolate Color Spots on Transparent Top Layer , Estrapolare le macchie di colore sullo strato superiore trasparente
Extrapolate Colors As , Estrapolare i colori come
Extrapolated Colors + Lineart , Colori estrapolati + Lineart
Extreme , Estremo
Factor , Fattore
Fade , Dissolvenza
Fade End , Dissolvenza Fine
Fade End (%) , Fine dissolvenza (%)
Fade Layers , Strati di dissolvenza
Fade Start , Inizio dissolvenza
Fade Start (%) , Inizio dissolvenza (%)
Fade to Green , Dissolvenza al verde
Faded , Svanito
Faded (alt) , Sbiadito (alt)
Faded (analog) , Sbiadito (analogico)
Faded (extreme) , Sbiadito (estremo)
Faded (vivid) , Sbiadito (vivido)
Faded 47 , Svanito 47
Faded Green , Verde sbiadito
Faded Look , Sguardo sbiadito
Faded Print , Stampa sbiadita
Faded Retro 01 , Retrò sbiadito 01
Faded Retro 02 , Retrò sbiadito 02
Fading , Dissolvenza
Fading Shape , Forma di dissolvenza
Fall Colors , Colori d'autunno
Far Point Deviation , Deviazione del punto lontano
Fast , Veloce
Fast &#40;Approx.&#41; , Veloce (Circa.)
Fast (Low Precision) Preview , Anteprima veloce (bassa precisione)
Fast Approximation , Ravvicinamento rapido
Fast Blend , Miscela veloce
Fast Blend Preview , Anteprima della miscela veloce
Fast Recovery , Recupero rapido
Fast Resize , Ridimensionamento rapido
Faux Infrared , Finto infrarosso
Feathering , Piumaggio
Feature Analyzer Smoothness , Funzione Analyzer Smoothness
Feature Analyzer Threshold , Soglia dell'analizzatore delle caratteristiche
Felt Pen , Penna di feltro
FFT Preview , Anteprima FFT
Fibers , Fibre
Fibers Amplitude , Ampiezza delle fibre
Fibers Smoothness , Fibre Liscio come l'olio
Fibrousness , Fibrosità
Fidelity Chromaticity , Fedeltà Cromaticità
Fidelity Smoothness (Coarsest) , Fidelity Smoothness (più grossolana)
Fidelity to Target (Coarsest) , Fedeltà al bersaglio (più grossolana)
Fidelity to Target (Finest) , Fedeltà all'obiettivo (Finest)
Filename , Nome del file
Fill Holes , Riempire i fori
Fill Holes % , Riempire i fori
Fill Transparent Holes , Riempire i fori trasparenti
Filled , Compilato
Filled Circles , Cerchi riempiti
Filling , Riempimento
Film Highlight Contrast , Contrasto del film in evidenza
Film Print 01 , Stampa pellicola 01
Film Print 02 , Stampa Film 02
Filter Design , Design del filtro
FilterGrade Cinematic (8) , FilterGrade cinematografico (8)
Final Image , Immagine finale
Fine , Bene
Fine 2 , Bene 2
Fine Details Smoothness , Dettagli fini Lisciozza
Fine Details Threshold , Soglia dei dettagli
Fine Noise , Rumore fine
Fine Scale , Scala fine
Finest (slower) , Finest (più lento)
Finger Paint , Vernice a dito
Finger Size , Dimensione del dito
Fire Effect , Effetto Fuoco
Fireworks , Fuochi d'artificio
First , Prima
First Color , Primo colore
First Frame , Primo fotogramma
First Offset , Primo Offset
First Radius , Primo raggio
First Size , Prima dimensione
Fish-Eye Effect , Effetto occhio di pesce
Fitting Function , Funzione di montaggio
Five Layers , Cinque strati
Flag , Bandiera
Flag (256) , Bandiera (256)
Flat , Appartamento
Flat 30 , Appartamento 30
Flat Color , Colore piatto
Flat Regions Removal , Rimozione di regioni pianeggianti
Flatness , Piattezza
Flip & Rotate Blocs , Capovolgere e ruotare i blocchi
Flip Left / Right , Capovolgere a sinistra / destra
Flip Left/Right , Capovolgere a sinistra/destra
Flip The Pattern , Capovolgere il modello
Flip Tolerance , Tolleranza al ribaltamento
Flower , Fiore
Foggy Night , Notte nebbiosa
Folder Name , Nome della cartella
Font Colors , Colori dei caratteri
Font Height (px) , Altezza del carattere (px)
Force Gray , Forza Grigio
Force Re-Download from Scratch , Forza Re-Download da Gratta e Vinci
Force Tiles to Have Same Size , Forzare le piastrelle ad avere la stessa dimensione
Force Transparency , Forza la trasparenza
Foreground Color , Colore di primo piano
Form , Modulo
Forward , Inoltrare
Forward  Horizontal , Avanti Orizzontale
Forward Horizontal , Avanti Orizzontale
Forward Vertical , Avanti verticale
Four Layers , Quattro strati
Four Threads , Quattro fili
Fourier Analysis , Analisi di Fourier
Fourier Filtering , Filtraggio di Fourier
Fourier Transform , Trasformazione di Fourier
Fourier Watermark , Filigrana di Fourier
Fractal Noise , Rumore frattale
Fractal Points , Punti frattali
Fractal Set , Set frattale
Fractal Whirl , Vortice frattale
Fractured Clouds , Nuvole fratturate
Fragment Blur , Sfocatura del frammento
Frame (px) , Telaio (px)
Frame [Blur] , Telaio [Sfocatura]
Frame [Cube] , Telaio [Cube]
Frame [Fuzzy] , Telaio [Fuzzy]
Frame [Mirror] , Telaio [Specchio]
Frame [Painting] , Telaio [Pittura]
Frame [Pattern] , Telaio [Modello]
Frame [Regular] , Telaio [Regolare]
Frame [Round] , Telaio [Rotondo]
Frame [Smooth] , Telaio [liscio]
Frame as a New Layer , Telaio come nuovo strato
Frame Color , Colore del telaio
Frame Files Format , Formato dei file frame
Frame Format , Formato del telaio
Frame Size , Dimensione del telaio
Frame Skip , Salto del telaio
Frame Type , Tipo di telaio
Frame Width , Larghezza del telaio
Frames , Cornici
Frames Offset , Offset di cornici
Freaky B&W , B&N bizzarro
Freaky Details , Dettagli stravaganti
Freeze , Congelare
French Comedy , Commedia francese
Frequency , Frequenza
Frequency (%) , Frequenza (%)
Frequency Analyzer , Analizzatore di frequenza
Frequency Range , Gamma di frequenza
Freqy Pattern , Modello Freqy
Friends Hall of Fame , Amici Hall of Fame
From Input , Da ingresso
From Reference Color , Dal colore di riferimento
Frosted , Glassato
Frosted Beach Picnic , Picnic sulla spiaggia ghiacciata
Fruits , Frutta
Fuji FP-100c +++ , Fuji FP-100c ++++
Fuji FP-100c Negative , Fuji FP-100c Negativo
Fuji FP-100c Negative + , Fuji FP-100c Negativo +
Fuji FP-100c Negative ++ , Fuji FP-100c Negativo ++
Fuji FP-100c Negative +++ , Fuji FP-100c Negativo ++++
Fuji FP-100c Negative ++a , Fuji FP-100c Negativo ++a
Fuji FP-100c Negative - , Fuji FP-100c negativo -
Fuji FP-100c Negative -- , Fuji FP-100c negativo --
Fuji FP-3000b +++ , Fuji FP-3000b ++++
Fuji FP-3000b Negative , Fuji FP-3000b negativo
Fuji FP-3000b Negative + , Fuji FP-3000b Negativo +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Negativo ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Negativo ++++
Fuji FP-3000b Negative - , Fuji FP-3000b negativo -
Fuji FP-3000b Negative -- , Fuji FP-3000b negativo --
Fuji FP-3000b Negative Early , Fuji FP-3000b negativo precocemente
Full , Completo
Full (Allows Multi-Layers) , Completo (consente di utilizzare più strati)
Full (Slower) , Pieno (più lento)
Full Colors , Colori completi
Full HD Frame Packing , Imballaggio Full HD Frame Packing
Full Layer Stack -Slow!- , Strato completo di pile -Lenta!
Full Side by Side Keep Uncompressed , Completo fianco a fianco Mantenere non compresso
Full Side by Side Keep Width , Larghezza di mantenimento completo fianco a fianco
Full Side by Uncompressed , Full Side di Uncompressed
Fusion 88 , Fusione 88
Futuristic Bleak 1 , Futuristico Bleak 1
Futuristic Bleak 2 , Futuristico Bleak 2
Futuristic Bleak 3 , Futuristico Bleak 3
Futuristic Bleak 4 , Futuristico Bleak 4
G'MIC Operator , Operatore G'MIC
G/M Smoothness , G/M scorrevolezza
Gain , Guadagnare
Games & Demos , Giochi e demo
Gamma Balance , Equilibrio Gamma
Gamma Compensation , Compensazione gamma
Gamma Equalizer , Equalizzatore gamma
Gaussian , Gaussiano
Gear , Ingranaggi
Generate Random-Colors Layer , Genera strato di colori casuali
Generic Fuji Astia 100 , Generico Fuji Astia 100
Generic Fuji Provia 100 , Generico Fuji Provia 100
Generic Fuji Velvia 100 , Generico Fuji Velvia 100
Generic Kodachrome 64 , Generico Kodachrome 64
Generic Kodak Ektachrome 100 VS , Generico Kodak Ektachrome 100 VS
Generic Skin Structure , Generico Struttura della pelle
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Modalità Gentle (ignora la luminosità minima e il rapporto Rosso Minimo:Blu)
Geometry , Geometria
Global , Globale
Global Mapping , Mappatura globale
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (di Mahvin)
Gmicky (by Deevad) , Gmicky (di Deevad)
Gmicky (by Mahvin) , Gmicky (di Mahvin)
Going for a Walk , Andare a fare una passeggiata
Gold , Oro
Golden , Oro
Golden (bright) , Dorato (brillante)
Golden (fade) , Dorato (dissolvenza)
Golden (mono) , Oro (mono)
Golden (vibrant) , Dorato (vibrante)
Golden Sony 37 , Sony d'oro 37
GoldFX - Bright Spring Breeze , GoldFX - Brezza primaverile brillante
GoldFX - Bright Summer Heat , GoldFX - Calore estivo brillante
GoldFX - Hot Summer Heat , GoldFX - Caldo caldo estivo
GoldFX - Perfect Sunset 01min , GoldFX - Tramonto perfetto 01min
GoldFX - Perfect Sunset 05min , GoldFX - Tramonto perfetto 05min
GoldFX - Perfect Sunset 10min , GoldFX - Tramonto perfetto 10min
GoldFX - Spring Breeze , GoldFX - Brezza di Primavera
GoldFX - Summer Heat , GoldFX - Calore estivo
Good Morning , Buongiorno
GradienNormLinearity , GradienNormLinearità
Gradient , Gradiente
Gradient [Corners] , Gradiente [Angoli]
Gradient [Custom Shape] , Gradiente [Forma personalizzata]
Gradient [from Line] , Gradiente [da Line]
Gradient [Linear] , Gradiente [Lineare]
Gradient [Radial] , Gradiente [Radiale]
Gradient [Random] , Gradiente [Casuale]
Gradient Norm , Norma di Gradiente
Gradient Preset , Gradiente Preset
Gradient RGB , Gradiente RGB
Gradient Smoothness , Gradiente scorrevolezza
Gradient Values , Valori gradienti
Grain , Grano
Grain (Highlights) , Grano (In evidenza)
Grain (Midtones) , Grano (Midtones)
Grain (Shadows) , Grano (Ombre)
Grain Extract , Estratto di grano
Grain Merge , Fusione di grani
Grain Only , Solo cereali
Grain Scale , Bilancia a grani
Grain Tone Fading , Sbiadimento del tono del grano
Grain Type , Tipo di grano
Granularity , Granularità
Graphic Boost , Boost Grafico
Graphic Colours , Colori grafici
Graphic Novel , Romanzo grafico
Graphix Colors , Colori Graphix
Grayscale , Scala di grigi
Greece , Grecia
Green , Verde
Green 15 , Verde 15
Green 2025 , Verde 2025
Green Action , Azione verde
Green Afternoon , Pomeriggio verde
Green Blues , Blues verde
Green Conflict , Conflitto verde
Green Day 01 , Giorno verde 01
Green Day 02 , Giorno verde 02
Green Factor , Fattore verde
Green G09 , Verde G09
Green Indoor , Verde Indoor
Green Level , Livello verde
Green Light , Luce verde
Green Mono , Verde Mono
Green Rotations , Rotazioni verdi
Green Shift , Turno verde
Green Smoothness , Verde Liscio come l'olio
Green Wavelength , Lunghezza d'onda verde
Green Yellow , Verde Giallo
Green-Blue , Verde-Blu
Green-Red , Verde-Rosso
Greenish Contrasty , Contrasto verdastro
Greenish Fade , Dissolvenza verdastra
Greenish Fade 1 , Dissolvenza verdastra 1
Grey , Grigio
Greyscale , Scala di grigi
Grid , Griglia
Grid [Cartesian] , Griglia [cartesiana]
Grid [Hexagonal] , Griglia [esagonale]
Grid [Triangular] , Griglia [Triangolare]
Grid Divisions , Divisioni della griglia
Grid Smoothing , Lisciatura della griglia
Grid Width , Larghezza della griglia
Gritty , Grintoso
Grow Alpha , Crescere Alfa
Guide As , Guida Come
Guide Mix , Guida Mix
Guide Recovery , Guida al recupero
Gum Leaf , Foglia di gomma
Gummy , Gommoso
H Cutoff , H Taglio
Hair Locks , Serrature per capelli
HaldCLUT Filename , HaldCLUT Nome del file
Half Bottom/top , Metà fondo/sopra
Half Side  by Side , Fianco a fianco
Halftone , Mezzitoni
Halftone Shapes , Forme mezzitoni
Hanoi Tower , Torre di Hanoi
Happyness 133 , Felicità 133
Hard Dark , Duro scuro
Hard Light , Luce dura
Hard Sketch , Schizzo duro
Hard Teal Orange , Alzavola dura Arancione
Harsh Day , Giornata difficile
Harsh Sunset , Duro tramonto
HDR Effect (Tone Map) , Effetto HDR (Mappa del tono)
Heart , Cuore
Hearts , Cuori
Hearts (Outline) , Cuori (Schema)
Hedcut (Experimental) , Hedcut (Sperimentale)
Height , Altezza
Height (%) , Altezza (%)
Hexagon , Esagono
Hexagonal , Esagonale
High , Alto
High (Slower) , Alto (più lento)
High Frequency , Alta frequenza
High Frequency Layer , Strato ad alta frequenza
High Key , Chiave alta
High Pass , Passaporto alto
High Quality , Alta qualità
High Scale , Scala alta
High Speed , Alta velocità
High Value , Alto valore
Higher Mask Threshold (%) , Soglia della maschera più alta (%)
