<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
Clip RGB , Ausschnitt RGB
Closeup , Nahaufnahme
Closing , Schließung
Closing - Opening , Schliessen - Öffnen
Closing - Original , Schließung - Original
Clouds , Wolken
CLUT from After - Before Layers , CLUT von danach - vor Schichten
CLUT Opacity , CLUT-Trübung
CM[Yellow]K , CM[Gelb]K
CMY[Key] , CMY[Schlüssel]
CMYK [cyan] , CMYK [Zyan]
CMYK [Key] , CMYK [Schlüssel]
CMYK [Yellow] , CMYK [Gelb]
CMYK Tone , CMYK-Ton
Coarse , Grob
Coarsest (faster) , Am gröbsten (schneller)
Coefficients , Koeffizienten
Coffee 44 , Kaffee 44
Coherence , Kohärenz
Cold Clear Blue , Kaltes klares Blau
Cold Clear Blue 1 , Kaltes klares Blau 1
Cold Simplicity 2 , Kalte Einfachheit 2
Color , Farbe
Color (rich) , Farbe (reichhaltig)
Color 1 , Farbe 1
Color 1 (Up/Left Corner) , Farbe 1 (obere/linke Ecke)
Color 2 , Farbe 2
Color 2 (Up/Right Corner) , Farbe 2 (oben/rechte Ecke)
Color 3 , Farbe 3
Color 3 (Bottom/Left Corner) , Farbe 3 (Untere / Linke Ecke)
Color 4 , Farbe 4
Color 4 (Bottom/Right Corner) , Farbe 4 (unten/rechte Ecke)
Color A , Farbe A
Color Abstraction Opacity , Deckkraft der Farbabstraktion
Color Abstraction Paint , Farbe Abstraktionsmalerei
Color B , Farbe B
Color Balance , Farbbalance
Color Basis , Farbe Basis
Color Blending , Farbmischung
Color Blindness , Farbenblindheit
Color Blue-Yellow , Farbe Blau-Gelb
Color Boost , Farbverstärkung
Color Burn , Farbverbrennung
Color C , Farbe C
Color Channel  Smoothing , Farbkanal-Glättung
Color Channels , Farb-Kanäle
Color D , Farbe D
Color Dispersion , Farbverteilung
Color Doping , Farb-Doping
Color E , Farbe E
Color Effect Mode , Farbeffekt-Modus
Color F , Farbe F
Color G , Farbe G
Color Gamma , Farbe Gamma
Color Grading , Farbgradierung
Color Green-Magenta , Farbe Grün-Magenta
Color Highlights , Farbliche Highlights
Color Image , Farbbild
Color Intensity , Farbintensität
Color Mask , Farbmaske
Color Mask [Interactive] , Farbmaske [Interaktiv]
Color Median , Farbe Median
Color Metric , Farbe Metrisch
Color Midtones , Farbe Mitteltöne
Color Mode , Farbmodus
Color Model , Farbmodell
Color Negative , Farbnegativ
Color on White , Farbe auf Weiß
Color Overall Effect , Farbe Gesamteffekt
Color Presets , Farbvoreinstellungen
Color Quantization , Farbquantisierung
Color Rendering , Farbwiedergabe
Color Shading (%) , Farbschattierung (%)
Color Shadows , Farbschatten
Color Smoothness , Farbe Glätte
Color Space , Farbraum
Color Spots + Extrapolated Colors + Lineart , Farbflecken + extrapolierte Farben + Lineart
Color Spots + Lineart , Farbflecken + Lineart
Color Strength , Farbstärke
Color Temperature , Farbtemperatur
Color Tolerance , Farb-Toleranz
Color Variation [Random -1] , Farbvariation [Zufall -1]
Colorbase , Farbbasis
Colorburn , Farbverbrennung
Colored Geometry , Farbige Geometrie
Colored Grain , Gefärbtes Korn
Colored Lineart , Farbige Lineart
Colored on Black , Farbig auf Schwarz
Colored on Transparent , Farbig auf Transparent
Colored Outline , Farbiger Umriss
Colored Pencils , Farbstifte
Colored Regions , Farbige Regionen
Colorful , Farbenfroh
Colorful 0209 , Farbenfroh 0209
Colorful Blobs , Bunte Kleckse
Coloring , Farbgebung
Colorize [Interactive] , Einfärben [Interaktiv]
Colorize [Photographs] , Kolorieren [Fotografien]
Colorize [with Colormap] , Einfärben [mit Colormap]
Colorize Lineart [Auto-Fill] , Lineart einfärben [Automatisches Ausfüllen]
Colorize Lineart [Propagation] , Lineart einfärben [Ausbreitung]
Colorize Lineart [Smart Coloring] , Lineart einfärben [Smart Coloring]
Colorize Mode , Einfärben-Modus
Colorized Image (1 Layer) , Eingefärbtes Bild (1 Ebene)
Colormap , Farbkarte
Colormap Type , Farbkarten-Typ
Colors , Farben
Colors A , Farben A
Colors B , Farben B
Colors Only , Nur Farben
Colors Only (1 Layer) , Nur Farben (1 Ebene)
Colors to Layers , Farben zu Ebenen
Colorspace , Farbraum
Colour , Farbe
Colour Channels , Farb-Kanäle
Colour Model , Farbmodell
Colour Smoothing , Farbglättung
Colour Space Mode , Farbraum-Modus
Column by Column , Kolumne für Kolumne
Comic Style , Comic-Stil
Comix Colors , Comix-Farben
Components , Komponenten
Composed Layers , Zusammengesetzte Schichten
Compress Highlights , Highlights komprimieren
Compression Blur , Komprimierungsunschärfe
Compression Filter , Kompressionsfilter
Computation Mode , Berechnungsmodus
Cone , Kegel
Conflict 01 , Konflikt 01
Conformal Maps , Konforme Karten
Connect-Four , Connect-Vier
Connectivity , Konnektivität
Connectors Centering , Verbinder Zentrierung
Connectors Variability , Variabilität von Verbindern
Constrain Image Size , Bildgröße einschränken
Constrain Values , Werte einschränken
Constrained Sharpen , Eingeschränktes Schärfen
Constraint Radius , Einschränkungsradius
Continuous Droste , Kontinuierliche Droste
Contour Coherence , Kontur-Kohärenz
Contour Detection (%) , Kontur-Erkennung (%)
Contour Normalization , Kontur-Normalisierung
Contour Precision , Kontur-Präzision
Contour Threshold , Kontur-Schwellenwert
Contour Threshold (%) , Kontur-Schwellenwert (%)
Contours , Konturen
Contours + Flocon/Snowflake , Konturen + Flöckchen/Schneeflocke
Contours Recursion , Konturen-Rekursion
Contrail 35 , Kondensstreifen 35
Contrast , Kontrast
Contrast (%) , Kontrast (%)
Contrast Smoothness , Kontrast Glätte
Contrast Swiss Mask , Kontrast Schweizer Maske
Contrast with Highlights Protection , Kontrast mit Highlights Schutz
Contrasty Afternoon , Kontrastierender Nachmittag
Contrasty Green , Kontrastierendes Grün
Contributors , Mitwirkende
Control Point 1 , Kontrollpunkt 1
Control Point 2 , Kontrollpunkt 2
Control Point 3 , Kontrollpunkt 3
Control Point 4 , Kontrollpunkt 4
Control Point 5 , Kontrollpunkt 5
Control Point 6 , Kontrollpunkt 6
Convolve , zusammenfalten
Cool (256) , Kühl (256)
Cool / Warm , Kalt / Warm
Copper , Kupfer
Corner Brightness , Helligkeit der Ecke
Correlated Channels , Korrelierte Kanäle
Cos(z) , Kos(z)
Counter Clockwise , Gegen den Uhrzeigersinn
Course 4 , Kurs 4
Cracks , Risse
Crease , Falte
Creative Pack (33) , Kreativ-Paket (33)
Crip Winter , Krippe Winter
Crisp Romance , Knackige Romantik
Crisp Warm , Knusprig Warm
Criterion , Kriterium
Crop , Ernte
Crop (%) , Ernte (%)
Cross Process CP 130 , Prozessübergreifend CP 130
Cross Process CP 14 , Prozessübergreifend CP 14
Cross Process CP 15 , Prozessübergreifend CP 15
Cross Process CP 16 , Prozessübergreifend CP 16
Cross Process CP 18 , Prozessübergreifend CP 18
Cross Process CP 3 , Prozessübergreifend CP 3
Cross Process CP 4 , Prozessübergreifend CP 4
Cross Process CP 6 , Prozessübergreifend CP 6
Cross-Hatch Amount , Betrag der Kreuzschraffur
Crossed , Überquert
Crosses 1 , Kreuze 1
Crosses 2 , Kreuze 2
Crosshair , Fadenkreuz
CRT Sub-Pixels , CRT-Sub-Pixel
Crystal , Kristall
Crystal Background , Kristall-Hintergrund
Cube , Würfel
Cube (256) , Würfel (256)
Cubic , Kubisch
Cubicle 99 , Kabine 99
Cubism , Kubismus
Cubism on Color Abstraction , Kubismus auf Farbabstraktion
Cup , Pokal
Cupid , Amor
Curvature , Krümmung
Curvature Shadow , Krümmungs-Schatten
Curve Amount , Betrag der Kurve
Curve Angle , Kurven-Winkel
Curve Length , Länge der Kurve
Curved , Gebogen
Curved Stroke , Gekrümmter Hub
Curves , Kurven
Curves Previously Defined , Zuvor definierte Kurven
Custom , Benutzerdefiniert
Custom Code [Global] , Benutzerdefinierter Code [Global]
Custom Code [Local] , Benutzerdefinierter Code [Lokal]
Custom Correction Map , Benutzerdefinierte Korrekturkarte
Custom Depth Correction , Benutzerdefinierte Tiefenkorrektur
Custom Depth Maps Stream , Stream mit benutzerdefinierten Tiefenkarten
Custom Dictionary , Benutzerdefiniertes Wörterbuch
Custom Filter Code , Benutzerdefinierter Filter-Code
Custom Formula , Benutzerdefinierte Formel
Custom Kernel , Benutzerdefinierter Kernel
Custom Layers , Benutzerdefinierte Ebenen
Custom Layout , Benutzerdefiniertes Layout
Custom Style (Bottom Layer) , Benutzerdefinierter Stil (unterste Ebene)
Custom Style (Top Layer) , Benutzerdefinierter Stil (oberste Ebene)
Custom Transform , Benutzerdefinierte Transformation
Customize CLUT , CLUT anpassen
Cut , ausschneiden
Cut & Normalize , Ausschneiden & Normalisieren
Cut High , Hoch schneiden
Cut Low , Niedrig schneiden
Cutout , Ausschnitt
Cyan Factor , Cyan-Faktor
Cyan Shift , Zyan-Verschiebung
Cyan Smoothness , Cyan-Glätte
Cycle Layers , Zyklus-Schichten
Cycles , Zyklen
Cylinder , Zylinder
D and O 1 , D und O 1
Damping per Octave , Dämpfung pro Oktave
Dark  Motive , Dunkles Motiv
Dark Blues in Sunlight , Dunkles Blau im Sonnenlicht
Dark Boost , Dunkle Verstärkung
Dark Color , Dunkle Farbe
Dark Edges , Dunkle Ränder
Dark Green 02 , Dunkelgrün 02
Dark Green 1 , Dunkelgrün 1
Dark Grey , Dunkelgrau
Dark Length , Dunkle Länge
Dark Motive , Dunkles Motiv
Dark Pixels , Dunkle Pixel
Dark Place 01 , Dunkler Ort 01
Dark Screen , Dunkler Bildschirm
Dark Sky , Dunkler Himmel
Dark Walls , Dunkle Mauern
Darken , Verdunkeln
Darker , Dunkler
Darkness , Dunkelheit
Darkness Level , Dunkelheitsgrad
Date 39 , Datum 39
Day for Night , Tag für Nacht
Day4Nite , Tag4Nite
Daylight Scene , Tageslicht-Szene
Debug Font Size , Schriftgröße debuggen
Decagon , Zehneck
Decompose , zerlegen
Decompose Channels , Kanäle zersetzen
Decoration , Dekoration
Decreasing , Abnehmend
Deep , Tief
Deep Blue , Tiefblau
Deep Dark Warm , Tiefdunkel-Warm
Deep High Contrast , Tief Hoher Kontrast
Deep Teal Fade , Tiefes Kricken der Krickente
Deep Warm Fade , Tiefes warmes Fading
Default , Standardmäßig
Defects Contrast , Defekte Kontrast
Defects Density , Dichte der Defekte
Defects Size , Defekte Größe
Defects Smoothness , Defekte Glätte
Deform , verformen
Delaunay-Oriented , Delaunay-orientiert
Delaunay: Portrait De Metzinger , Delaunay: Porträt De Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: Fenster gleichzeitig geöffnet
Delete Layer Source , Layer-Quelle löschen
Delicatessen , Feinkostladen
Denoise Simple 40 , Denoise einfach 40
Density , Dichte
Density (%) , Dichte (%)
Depth , Tiefe
Depth Fade In Frames , Tiefeneinblendung von Frames
Depth Fade Out Frames , Tiefenausblendungs-Rahmen
Depth Field Control , Tiefenfeldsteuerung
Depth Map , Tiefenkarte
Depth Map Construction , Konstruktion der Tiefenkarte
Depth Map Only , Nur Tiefenkarte
Depth Map Reconstruction , Rekonstruktion der Tiefenkarte
Depth Maps Only , Nur Tiefenkarten
Depth-Of-Field Type , Schärfentiefe-Typ
Desaturate , Entsättigen
Desaturate (%) , Entsättigt (%)
Desaturate Norm , Entsättigungs-Norm
Descent Method , Abstammungsmethode
Descreen , Bildschirm
Desert Gold 37 , Wüstengold 37
Destination (%) , Reiseziel (%)
Destination X-Tiles , Zielort X-Tiles
Destination Y-Tiles , Ziel Y-Kacheln
Detail , Einzelheiten
Detail Level , Detail-Ebene
Detail Reconstruction Detection , Detail-Rekonstruktions-Erkennung
Detail Reconstruction Smoothness , Detail Glattheit der Rekonstruktion
Detail Reconstruction Strength , Detail Stärke des Wiederaufbaus
Detail Reconstruction Style , Detail Rekonstruktionsstil
Detail Scale , Detail-Skala
Detail Strength , Detail Stärke
Details , Einzelheiten
Details Amount , Details Betrag
Details Equalizer , Details Entzerrer
Details Scale , Details Skala
Details Smoothness , Details Glätte
Details Strength (%) , Details Stärke (%)
Detect Skin , Haut erkennen
Deuteranomaly , Deuteranomalie
Deuteranopia , Deuteranopie
Deviation , Abweichung
Diamond , Diamant
Diamond (Inv.) , Diamant (Inv.)
Diamonds , Diamanten
Diamonds (Outline) , Diamanten (Umriss)
Dices , Würfel
Dices with Colored Numbers , Würfel mit farbigen Zahlen
Dices with Colored Sides , Würfel mit farbigen Seiten
Difference , Unterschied
Difference Mixing , Unterschied Mischen
Difference of Gaussians , Unterschied der Gaußianer
Different Axis , Andere Achse
Diffuse (%) , Diffus (%)
Diffuse Shadow , Diffuser Schatten
Diffusion , Verbreitung
Diffusion Tensors , Diffusions-Tensoren
Diffusivity , Diffusität
Digits , Ziffern
Dilate , Dilatieren
Dilation , Dilatation
Dilation - Original , Dilatation - Original
Dilation / Erosion , Dilatation/Erosion
Dimensions (%) , Abmessungen (%)
Dimensions Pixels , Abmessungen Pixel
Dipole: 1/(4*z^2-1) , Dipol: 1/(4*z^2-1)
Direct , Direkt
Direction , Wegbeschreibung
Directions 23 , Wegbeschreibung 23
Dirty , Schmutzig
Disable , Deaktivieren Sie
Disabled , Behinderte
Discard Contour Guides , Konturenführungen verwerfen
Discard Transparency , Transparenz verwerfen
Disco , Diskothek
Display , anzeigen
Display Blob Controls , Blob-Steuerelemente anzeigen
Display Color Axes , Farbachsen anzeigen
Display Contours , Konturen anzeigen
Display Coordinates , Koordinaten anzeigen
Display Coordinates on Preview Window , Koordinaten im Vorschaufenster anzeigen
Display Debug Info on Preview , Debug-Informationen in der Vorschau anzeigen
Distance , Entfernung
Distance (Fast) , Entfernung (schnell)
Distance Transform , Entfernungstransformation
Distort Lens , Verzerrte Linse
Distortion Factor , Verzerrungsfaktor
Distortion Surface Angle , Verzerrungsflächenwinkel
Distortion Surface Position , Position der Verzerrungsfläche
Disturbance Scale-By-Factor , Störungs-Skala-nach-Faktor
Disturbance X , Störung X
Disturbance Y , Störung Y
Dither Output , Dither-Ausgabe
Divide , Teilt
Do Not Flatten Transparency , Transparenz nicht verflachen
Dodge , Ausweichen
Dodge and Burn , Ausweichen und Verbrennen
Dodge Blur , Unscharf ausweichen
Dodge Strength , Stärke des Ausweichens
DOF Analyzer , DOF-Analysator
Dog , Hund
Don't Sort , Nicht sortieren
DoNothing , Nichts tun
Dot Size , Punktgröße
Dots , Punkte
Download External Data , Externe Daten herunterladen
Dragon Curve , Drachen-Kurve
Dragonfly , Libelle
Drawing Mode , Zeichnen-Modus
Drawn Montage , Gezeichnete Montage
Dream , Traum
Dream 1 , Traum 1
Dream 85 , Traum 85
Dream Smoothing , Traum-Glättung
Drop Blues , Blues fallen lassen
Drop Green Tint 14 , Tropfen Grüner Farbton 14
Drop Shadow , Schlagschatten
Drop Shadow 3D , Schlagschatten 3D
Drop Water , Tropfen Wasser
Duck , Ente
Duplicate Bottom , Unten duplizieren
Duplicate Horizontal , Horizontal duplizieren
Duplicate Left , Links duplizieren
Duplicate Right , Recht duplizieren
Duplicate Top , Duplizieren Oben
Duplicate Vertical , Duplikat Vertikal
Duration , Dauer
Dusty , Verstaubt
Dynamic Range Increase , Erhöhung des Dynamikbereichs
Eagle , Adler
Earth , Erde
Earth Tone Boost , Verstärkung des Erdtons
Easy Skin Retouch , Einfache Hautretusche
Edge , Rand
Edge Antialiasing , Kanten-Antialiasing
Edge Attenuation , Kantendämpfung
Edge Behavior X , Kantenverhalten X
Edge Behavior Y , Kantenverhalten Y
Edge Detect Includes Chroma , Randerkennung schließt Chroma ein
Edge Exponent , Randexponent
Edge Fidelity , Kante Treue
Edge Influence , Randbeeinflussung
Edge Mask , Randmaske
Edge Sensitivity , Empfindlichkeit der Kante
Edge Shade , Kantenschattierung
Edge Simplicity , Einfachheit am Rand
Edge Smoothness , Kantenglätte
Edge Thickness , Dicke der Kante
Edge Threshold , Randschwelle
Edge Threshold (%) , Randschwelle (%)
Edge-Oriented , Kantenorientiert
Edges , Kanten
Edges (%) , Ränder (%)
Edges [Animated] , Ränder [animiert]
Edges Offsets , Randverschiebungen
Edges on Fire , Ränder in Brand
Edges-0.5 (beware: Memory-Consuming!) , Kanten-0,5 (Vorsicht: Speicherfressend!)
Edges-1 (beware: Memory-Consuming!) , Ränder-1 (Vorsicht: Speicherfressend!)
Edges-2 (beware: Memory-Consuming!) , Ränder-2 (Vorsicht: Speicherfressend!)
Effect Strength , Stärke der Wirkung
Effect X-Axis Scaling , Effekt X-Achsenskalierung
Effect Y-Axis Scaling , Wirkung Y-Achsenskalierung
Eight Layers , Acht Schichten
Eight Threads , Acht Fäden
Elegance 38 , Eleganz 38
Elephant , Elefant
Elevation , Höhe
Elevation (%) , Höhe (%)
Ellipse Painting , Ellipsen-Malerei
Ellipse Ratio , Ellipsen-Verhältnis
Ellipsionism , Ellipsionismus
Ellipsionism Opacity , Ellipsionismus-Trübung
Emboss , Prägen
Enable Antialiasing , Antialiasing aktivieren
Enable Interpolated Motion , Interpolierte Bewegung aktivieren
Enable Morphology , Morphologie aktivieren
Enable Paintstroke , Farbschlag aktivieren
Enable Segmentation , Segmentierung aktivieren
Enchanted , Verzaubert
End Color , Endfarbe
End Frame Number , End-Rahmennummer
End of Mid-Tones , Ende der Mitteltöne
End Point Connectivity , Endpunkt-Konnektivität
End Point Rate (%) , Endpunkt-Rate (%)
Ending Angle , Endwinkel
Ending Color , Endfarbe
Ending Feathering , Federung beenden
Ending Point (%) , Endpunkt (%)
Ending Scale (%) , Endwert-Skala (%)
Ending Value , Endwert
Ending X-Centering , Beenden der X-Zentrierung
Ending Y-Centering , Y-Zentrierung beenden
Engrave , Gravieren Sie
Enhance Detail , Detail verbessern
Enhance Details , Details verbessern
Equalization , Gleichstellung
Equalization (%) , Gleichstellung (%)
Equalize , Ausgleichen
Equalize and Normalize , Ausgleichen und Normalisieren
Equalize at Each Step , Bei jedem Schritt ausgleichen
Equalize HSI-HSL-HSV , HSI-HSL-HSV ausgleichen
Equalize HSV , HSV ausgleichen
Equalize Light , Licht ausgleichen
Equalize Local Histograms , Lokale Histogramme ausgleichen
Equalize Shadow , Schatten ausgleichen
Equation Plot [Parametric] , Gleichungsdiagramm [Parametrisch]
Equation Plot [Y=f(X)] , Gleichungsdiagramm [Y=f(X)]
Equirectangular to Nadir-Zenith , Gleichschenklig zu Nadir-Zenit
Erosion / Dilation , Erosion / Dilatation
Etch Tones , Ätz-Töne
Eterna for Flog , Eterna für Flog
Euclidean , Euklidisch
Euclidean - Polar , Euklidisch - Polar
Exclusion , Ausschluss
Expand , Erweitern Sie
Expand Background Reconstruction , Hintergrund-Wiederaufbau erweitern
Expand Shadows , Schatten ausdehnen
Expand Size , Größe erweitern
Expanding Mirrors , Expandierende Spiegel
Expired (fade) , Abgelaufen (verblassen)
Expired (polaroid) , Abgelaufen (Polaroid)
Expired 69 , Abgelaufen 69
Exponent (Imaginary) , Exponent (imaginär)
Exponential , Exponentiell
Export RGB-565 File , RGB-565-Datei exportieren
Exposure , Exposition
Expression , Ausdruck
Extend 1px , Erweitern 1px
External Transparency , Externe Transparenz
Extra  Smooth , Extra glatt
Extract Foreground [Interactive] , Auszug Vordergrund [Interaktiv]
Extract Objects , Objekte extrahieren
Extrapolate Color Spots on Transparent Top Layer , Farbflecken auf transparenter oberer Ebene extrapolieren
Extrapolate Colors As , Farben extrapolieren als
Extrapolated Colors + Lineart , Hochgerechnete Farben + Lineart
Extreme , Extrem
Factor , Faktor
Fade , verblassen
Fade End , Ende ausblenden
Fade End (%) , Ende ausblenden (%)
Fade Layers , Ebenen ausblenden
Fade Start , Start ausblenden
Fade Start (%) , Beginn ausblenden (%)
Fade to Green , Auf Grün überblenden
Faded , Verblasst
Faded (alt) , Verblasst (alt)
Faded (analog) , Verblasst (analog)
Faded (extreme) , Verblasst (extrem)
Faded (vivid) , Verblasst (lebendig)
Faded 47 , Verblasst 47
Faded Green , Verblasstes Grün
Faded Look , Verblasster Look
Faded Print , Verblasster Druck
Faded Retro 01 , Verblasstes Retro 01
Faded Retro 02 , Verblasstes Retro 02
Fading , Verblassen
Fading Shape , Verblassende Form
Fall Colors , Herbstfarben
Far Point Deviation , Fernpunkt-Abweichung
Fast , Schnell
Fast &#40;Approx.&#41; , Schnell (Ungefähr.)
Fast (Low Precision) Preview , Schnelle (niedrige Präzision) Vorschau
Fast Approximation , Schnelle Annäherung
Fast Blend , Schnelle Mischung
Fast Blend Preview , Schnelle Blend-Vorschau
Fast Recovery , Schnelle Wiederherstellung
Fast Resize , Schnelle Größenänderung
Faux Infrared , Faux-Infrarot
Feathering , Federn
Feature Analyzer Smoothness , Feature Analyzer Glätte
Feature Analyzer Threshold , Schwelle des Feature-Analysators
Felt Pen , Filzstift
FFT Preview , FFT-Vorschau
Fibers , Fasern
Fibers Amplitude , Fasern Amplitude
Fibers Smoothness , Fasern Glätte
Fibrousness , Fasrigkeit
Fidelity Chromaticity , Farbtreue
Fidelity Smoothness (Coarsest) , Treue Glätte (am gröbsten)
Fidelity Smoothness (Finest) , Treue Glätte (feinste)
Fidelity to Target (Coarsest) , Zieltreue (am gröbsten)
Fidelity to Target (Finest) , Zieltreue (vom Feinsten)
Filename , Dateiname
Fill Holes , Füllen von Löchern
Fill Holes % , Füllen Löcher %
Fill Transparent Holes , Transparente Löcher füllen
Filled , Gefüllt
Filled Circles , Gefüllte Kreise
Filling , Füllung
Film Highlight Contrast , Filmhighlight-Kontrast
Film Print 01 , Filmkopie 01
Film Print 02 , Filmkopie 02
Filmic , Filmisch
Filter Design , Filter-Entwurf
Final Image , Endgültiges Bild
Fine , Gut
Fine 2 , Bußgeld 2
Fine Details Smoothness , Feine Details Glätte
Fine Details Threshold , Schwelle für feine Details
Fine Noise , Feiner Lärm
Fine Scale , Feine Skala
Finest (slower) , Feinste (langsamer)
Finger Paint , Fingerfarbe
Finger Size , Fingergröße
Fire Effect , Feuer-Effekt
Fireworks , Feuerwerk
First , Erste
First Color , Erste Farbe
First Frame , Erster Rahmen
First Offset , Erster Offset
First Radius , Erster Radius
First Size , Erste Größe
Fish-Eye , Fischauge
Fish-Eye Effect , Fischaugen-Effekt
Fitting Function , Anpassungsfunktion
Five Layers , Fünf Schichten
Flag , Flagge
Flag (256) , Flagge (256)
Flat , Wohnung
Flat 30 , Wohnung 30
Flat Color , Flache Farbe
Flat Regions Removal , Entfernung flacher Regionen
Flat-Shaded , Flachschattiert
Flatness , Ebenheit
Flip & Rotate Blocs , Blöcke spiegeln und drehen
Flip Cross-Hatch , Flip-Kreuzschraffur
Flip Left / Right , Links/Rechts spiegeln
Flip Left/Right , Links/Rechts spiegeln
Flip The Pattern , Das Muster umdrehen
Flip Tolerance , Flip-Toleranz
Flower , Blume
Focale , Schwerpunkt
Foggy Night , Neblige Nacht
Folder Name , Name des Ordners
Font Colors , Schriftfarben
Font Height (px) , Schrifthöhe (px)
Force Gray , Kraft Grau
Force Re-Download from Scratch , Erneutes Herunterladen von Scratch erzwingen
Force Tiles to Have Same Size , Gleiche Größe der Fliesen erzwingen
Force Transparency , Transparenz erzwingen
Foreground Color , Vordergrundfarbe
Form , Formular
Formula , Formel
Forward , Vorwärts
Forward  Horizontal , Horizontal vorwärts
Forward Horizontal , Horizontal vorwärts
Forward Vertical , Vorwärts vertikal
Four Layers , Vier Schichten
Four Threads , Vier Fäden
Fourier Analysis , Fourier-Analyse
Fourier Filtering , Fourier-Filterung
Fourier Transform , Fourier-Transformation
Fourier Watermark , Fourier-Wasserzeichen
Fractal Noise , Fraktales Rauschen
Fractal Points , Fraktale Punkte
Fractal Set , Fraktaler Satz
Fractal Whirl , Fraktaler Wirbel
Fractalize , Fraktalisieren
Fractured Clouds , Zerklüftete Wolken
Fragment Blur , Fragment-Unschärfe
Frame (px) , Rahmen (px)
Frame [Blur] , Rahmen [Unschärfe]
Frame [Cube] , Rahmen [Würfel]
Frame [Fuzzy] , Rahmen [Fuzzy]
Frame [Mirror] , Rahmen [Spiegel]
Frame [Painting] , Rahmen [Malerei]
Frame [Pattern] , Rahmen [Muster]
Frame [Regular] , Rahmen [Regulär]
Frame [Round] , Rahmen [Rund]
Frame [Smooth] , Rahmen [Glatt]
Frame as a New Layer , Rahmen als neue Ebene
Frame Color , Rahmenfarbe
Frame Files Format , Format der Rahmendateien
Frame Format , Rahmen-Format
Frame Size , Rahmengröße
Frame Skip , Rahmen überspringen
Frame Type , Rahmentyp
Frame Width , Rahmenbreite
Frames , Rahmen
Frames Offset , Frames versetzt
Freaky B&W , Verrücktes S/W
Freaky Details , Verrückte Details
Freeze , einfrieren
French Comedy , Französische Komödie
Frequency , Häufigkeit
Frequency (%) , Häufigkeit (%)
Frequency Analyzer , Frequenz-Analysator
Frequency Range , Frequenzbereich
Freqy Pattern , Freqy-Muster
Friends Hall of Fame , Ruhmeshalle der Freunde
From Input , Von Eingabe
From Reference Color , Von Referenzfarbe
Frosted , Gefrostete
Frosted Beach Picnic , Picknick am gefrosteten Strand
Fruits , Früchte
Fuji 3510 (Cuspclip) , Fuji 3510 (Muschelklemme)
Fuji 3513 (Cuspclip) , Fuji 3513 (Muschelklemme)
Fuji FP-100c Cool , Fuji FP-100c Kühl
Fuji FP-100c Cool + , Fuji FP-100c Kühl +
Fuji FP-100c Cool ++ , Fuji FP-100c Kühl ++
Fuji FP-100c Negative , Fuji FP-100c Negativ
Fuji FP-100c Negative + , Fuji FP-100c Negativ +
Fuji FP-100c Negative ++ , Fuji FP-100c Negativ ++
Fuji FP-100c Negative +++ , Fuji FP-100c Negativ +++
Fuji FP-100c Negative ++a , Fuji FP-100c Negativ ++a
Fuji FP-100c Negative - , Fuji FP-100c Negativ -
Fuji FP-100c Negative -- , Fuji FP-100c Negativ --
Fuji FP-3000b Negative , Fuji FP-3000b Negativ
Fuji FP-3000b Negative + , Fuji FP-3000b Negativ +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Negativ ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Negativ +++
Fuji FP-3000b Negative - , Fuji FP-3000b Negativ -
Fuji FP-3000b Negative -- , Fuji FP-3000b Negativ --
Fuji FP-3000b Negative Early , Fuji FP-3000b Negativ früh
Fuji Superia 100 , Fuji-Superia 100
Fuji Superia 200 , Fuji-Superia 200
Full , Vollständig
Full (Allows Multi-Layers) , Vollständig (erlaubt Multi-Layer)
Full (Slower) , Voll (langsamer)
Full Bottom/top , Vollständig Unten/oben
Full Colors , Volle Farben
Full HD Frame Packing , Vollständige HD-Frame-Verpackung
Full Layer Stack -Slow!- , Voller Lagenstapel -langsam!-
Full Side by Side Keep Uncompressed , Vollständig Seite an Seite unkomprimiert halten
Full Side by Side Keep Width , Volle Seite an Seite Breite beibehalten
Full Side by Uncompressed , Vollständig Seite für Seite unkomprimiert
Futuristic Bleak 1 , Futuristisch düster 1
Futuristic Bleak 2 , Futuristisch düster 2
Futuristic Bleak 3 , Futuristisch düster 3
Futuristic Bleak 4 , Futuristisch düster 4
Fuzzyness , Unschärfe
G'MIC Operator , G'MIC-Bediener
G/M Smoothness , G/M Glattheit
Gain , Gewinnen
Games & Demos , Spiele und Demos
Gamma Balance , Gamma-Balance
Gamma Compensation , Gamma-Kompensation
Gamma Equalizer , Gamma-Entzerrer
Gaussian , Gauß
Gear , Zahnrad
Generate Random-Colors Layer , Zufallsfarbschicht erzeugen
Generic Fuji Astia 100 , Generisches Fuji Astia 100
Generic Fuji Provia 100 , Generisches Fuji Provia 100
Generic Fuji Velvia 100 , Generisches Fuji Velvia 100
Generic Kodachrome 64 , Generisches Kodachrome 64
Generic Kodak Ektachrome 100 VS , Generisches Kodak Ektachrome 100 VS
Generic Skin Structure , Generische Hautstruktur
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Sanfter Modus (setzt Mindesthelligkeit und minimales Rot:Blau-Verhältnis außer Kraft)
Geometry , Geometrie
