<b>Arrays & Tiles</b> , <b>Matrices y azulejos</b>
Colors Only (1 Layer) , Sólo colores (1 capa)
Colors to Layers , Colores a capas
Colorspace , Espacio de color
Colour , Color
Colour Channels , Canales de color
Colour Model , Modelo de color
Colour Smoothing , Suavizar los colores
Colour Space Mode , Modo de espacio de color
Column by Column , Columna por columna
Comic Style , Estilo Cómic
Components , Componentes
Composed Layers , Capas compuestas
Compress Highlights , Comprimir lo más destacado
Compression Blur , Borrón de compresión
Compression Filter , Filtro de compresión
Computation Mode , Modo de cálculo
Cone , Cono
Conflict 01 , Conflicto 01
Conformal Maps , Mapas conformes
Connectivity , Conectividad
Connectors Centering , Centrado de los conectores
Connectors Variability , Variabilidad de los conectores
Constrain Image Size , Limitar el tamaño de la imagen
Constrain Values , Limitar los valores
Constrained Sharpen , Afilado restringido
Constraint Radius , Radio de restricción
Continuous Droste , Droste continuo
Contour Coherence , Coherencia del contorno
Contour Detection (%) , Detección de contorno (%)
Contour Normalization , Normalización del contorno
Contour Precision , Precisión del contorno
Contour Threshold , Umbral del contorno
Contour Threshold (%) , Umbral del contorno (%)
Contours , Contornos
Contours + Flocon/Snowflake , Contornos + Flocon/Snowflake
Contours Recursion , Recursión de los contornos
Contrast , Contraste
Contrast (%) , Contraste (%)
Contrast Smoothness , Suavidad de contraste
Contrast Swiss Mask , Contraste de la máscara suiza
Contrast with Highlights Protection , Contrasta con la protección de los Highlights
Contrasty Afternoon , Contraste de la tarde
Contrasty Green , Contraste Verde
Contributors , Colaboradores
Control Point 1 , Punto de control 1
Control Point 2 , Punto de control 2
Control Point 3 , Punto de control 3
Control Point 4 , Punto de control 4
Control Point 5 , Punto de control 5
Control Point 6 , Punto de control 6
Convolve , Involucrar
Cool , Genial
Cool (256) , Genial (256)
Cool / Warm , Frío / Caliente
Copper , Cobre
Corner Brightness , Brillo de la esquina
Correlated Channels , Canales correlacionados
Counter Clockwise , En el sentido contrario a las agujas del reloj
Course 4 , Curso 4
Cracks , Grietas
Crease , Pliegue
Creative Pack (33) , Paquete creativo (33)
Crisp Romance , Romance nítido
Crisp Warm , Caliente y crujiente
Criterion , Criterio
Crop (%) , Cultivo (%)
Cross Process CP 130 , Proceso cruzado CP 130
Cross Process CP 14 , Proceso cruzado CP 14
Cross Process CP 15 , Proceso cruzado CP 15
Cross Process CP 16 , Proceso cruzado CP 16
Cross Process CP 18 , Proceso cruzado CP 18
Cross Process CP 3 , Proceso cruzado CP 3
Cross Process CP 4 , Proceso cruzado CP 4
Cross Process CP 6 , Proceso cruzado CP 6
Cross-Hatch Amount , Cantidad de la escotilla cruzada
Crossed , Cruzó
Crosses 1 , Cruces 1
Crosses 2 , Cruces 2
CRT Sub-Pixels , Sub-píxeles del CRT
Crystal , Cristal
Crystal Background , Fondo de cristal
Cube , Cubo
Cube (256) , Cubo (256)
Cubic , Cúbico
Cubicle 99 , Cubículo 99
Cubism , Cubismo
Cubism on Color Abstraction , El cubismo en la abstracción del color
Cup , Copa
Cupid , Cupido
Curvature , Curvatura
Curvature Shadow , Sombra de curvatura
Curve Amount , Cantidad de la curva
Curve Angle , Ángulo de la curva
Curve Length , Longitud de la curva
Curved , Curva
Curved Stroke , Trazo curvo
Curves , Curvas
Curves Previously Defined , Curvas previamente definidas
Custom , Personalizado
Custom Code [Global] , Código personalizado [Global]
Custom Code [Local] , Código personalizado [Local]
Custom Correction Map , Mapa de corrección personalizado
Custom Depth Correction , Corrección de profundidad personalizada
Custom Depth Maps Stream , Flujo de mapas de profundidad personalizados
Custom Dictionary , Diccionario personalizado
Custom Filter Code , Código de filtro personalizado
Custom Formula , Fórmula personalizada
Custom Kernel , Kernel personalizado
Custom Layers , Capas personalizadas
Custom Layout , Diseño personalizado
Custom Style (Bottom Layer) , Estilo personalizado (capa inferior)
Custom Style (Top Layer) , Estilo personalizado (capa superior)
Custom Transform , Transformación personalizada
Customize CLUT , Personalizar CLUT
Cut , Cortar
Cut & Normalize , Cortar y normalizar
Cut High , Cortar en alto
Cut Low , Cortar bajo...
Cutout , Recorte
Cyan Factor , Factor Cian
Cyan Shift , Cambio de Cian
Cyan Smoothness , Suavidad del cian
Cycle Layers , Capas de ciclo
Cycles , Ciclos
Cylinder , Cilindro
D and O 1 , D y O 1
Damping per Octave , Amortiguación por octava
Dark  Motive , Motivo oscuro
Dark Blues in Sunlight , Los azules oscuros a la luz del sol
Dark Color , Color oscuro
Dark Edges , Bordes oscuros
Dark Green 02 , Verde oscuro 02
Dark Green 1 , Verde oscuro 1
Dark Grey , Gris oscuro
Dark Length , Longitud de la oscuridad
Dark Motive , Motivo oscuro
Dark Pixels , Píxeles oscuros
Dark Place 01 , Lugar oscuro 01
Dark Screen , Pantalla oscura
Dark Sky , Cielo oscuro
Dark Walls , Paredes oscuras
Darker , Más oscuro
Darkness , Oscuridad
Darkness Level , Nivel de oscuridad
Date 39 , Fecha 39
Day for Night , El día por la noche
Daylight Scene , Escena de luz diurna
De-Anaglyph , De-Anaglifo
Debug Font Size , Tamaño de la fuente de depuración
Decagon , Decágono
Decompose , Descomponer
Decompose Channels , Descomponer los canales
Decoration , Decoración
Decreasing , Disminuyendo
Deep , Profundo
Deep Dark Warm , Calor profundo y oscuro
Deep High Contrast , Contraste profundo y alto
Deep Teal Fade , Desvanecimiento de la cerceta profunda
Default , Por defecto
Defects Contrast , Contraste de defectos
Defects Density , Densidad de defectos
Defects Size , Tamaño de los defectos
Defects Smoothness , Defectos Suavidad
Deform , Deformar
Deinterlace2x , Desentrelazar2x
Delaunay: Portrait De Metzinger , Delaunay: Retrato de Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: Las ventanas se abren simultáneamente
Delete Layer Source , Borrar la fuente de la capa
Density , Densidad
Density (%) , Densidad (%)
Depth , Profundidad
Depth Fade In Frames , La profundidad se desvanece en los marcos
Depth Fade Out Frames , Los marcos de profundidad se desvanecen
Depth Field Control , Control del campo de profundidad
Depth Map , Mapa de profundidad
Depth Map Construction , Construcción del mapa de profundidad
Depth Map Only , Sólo el mapa de profundidad
Depth Map Reconstruction , Reconstrucción del mapa de profundidad
Depth Maps Only , Sólo mapas de profundidad
Depth-Of-Field Type , Tipo de profundidad de campo
Desaturate , Desaturación
Desaturate (%) , Desaturación (%)
Desaturate Norm , Norma de Desaturación
Descent Method , Método de descenso
Desert Gold 37 , Oro del Desierto 37
Destination (%) , Destino (%)
Destination X-Tiles , Destino X-Tiles
Destination Y-Tiles , Destino Y-Tiles
Detail , Detalle
Detail Level , Nivel de detalle
Detail Reconstruction Detection , Detalle de la detección de la reconstrucción
Detail Reconstruction Smoothness , Detalle Reconstrucción Suavidad
Detail Reconstruction Strength , Detalle de la fuerza de reconstrucción
Detail Reconstruction Style , Detalle del estilo de reconstrucción
Detail Scale , Escala de detalles
Detail Strength , Fuerza de detalle
Details , Detalles
Details Amount , Detalles Cantidad
Details Equalizer , Detalles Ecualizador
Details Scale , Detalles Escala
Details Smoothness , Detalles Suavidad
Details Strength (%) , Detalles Fuerza (%)
Detect Skin , Detectar la piel
Deuteranomaly , Deuteranomalía
Deuteranopia , Deuteranopía
Deviation , Desviación
Diamond , Diamante
Diamond (Inv.) , Diamante (Inv.)
Diamonds , Diamantes
Diamonds (Outline) , Diamantes (Esquema)
Dices with Colored Numbers , Dados con números de color
Dices with Colored Sides , Dados con lados de color
Difference , Diferencia
Difference Mixing , Mezcla de diferencias
Difference of Gaussians , Diferencia de los gausianos
Different Axis , Eje diferente
Diffuse (%) , Difuso (%)
Diffuse Shadow , Sombra difusa
Diffusion , Difusión
Diffusion Tensors , Tensores de difusión
Diffusivity , Difusividad
Digits , Cifras
Dilatation , Dilatación
Dilate , Dilata
Dilation , Dilatación
Dilation - Original , Dilatación - Original
Dilation / Erosion , Dilatación / Erosión
Dimension , Dimensión
Dimension [Diff] , Dimensión [Diff]
Dimension A , Dimensión A
Dimensions (%) , Dimensiones (%)
Dimensions Pixels , Dimensiones Píxeles
Dipole: 1/(4*z^2-1) , Dipolo: 1/(4*z^2-1)
Direct , Directo
Direction , Dirección
Directions 23 , Direcciones 23
Dirty , Sucio
Disable , Desactivar
Disabled , Discapacitados
Discard Contour Guides , Desechar las guías de contorno
Discard Transparency , Desechar la transparencia
Disco , Discoteca
Display , Pantalla
Display Blob Controls , Mostrar los controles de manchas
Display Color Axes , Mostrar los ejes de color
Display Contours , Contornos de la pantalla
Display Coordinates , Mostrar las coordenadas
Display Coordinates on Preview Window , Mostrar las coordenadas en la ventana de vista previa
Display Debug Info on Preview , Mostrar información de depuración en la vista previa
Distance , Distancia
Distance (Fast) , Distancia (Rápido)
Distance Transform , Transformación de la distancia
Distort Lens , Distorsionar la lente
Distortion Factor , Factor de distorsión
Distortion Surface Angle , Ángulo de la superficie de distorsión
Distortion Surface Position , Posición de la superficie de distorsión
Disturbance Scale-By-Factor , Escala de perturbaciones según el factor
Disturbance X , Perturbación X
Disturbance Y , Perturbación Y
Dither Output , Salida de Dither
Divide , Dividir
Do Not Flatten Transparency , No aplastar la transparencia
Dodge and Burn , Esquivar y quemar
Dodge Strength , Fuerza de Esquivar
DOF Analyzer , Analizador DOF
Dog , Perro
Don't Sort , No lo clasifiques.
Dot Size , Tamaño de punto
Dots , Puntos
Download External Data , Descarga de datos externos
Dragon Curve , Curva del Dragón
Dragonfly , Libélula
Drawing Mode , Modo de dibujo
Drawn Montage , Dibujó Montage
Dream , Sueño
Dream 1 , Sueño 1
Dream 85 , Sueño 85
Dream Smoothing , Suavizar los sueños
Drop Green Tint 14 , Tinte verde de la gota 14
Drop Water , Gota de agua
Duck , Pato
Duplicate Bottom , Duplicar el fondo
Duplicate Horizontal , Duplicar Horizontal
Duplicate Left , Duplicar a la izquierda
Duplicate Right , Duplicar a la derecha
Duplicate Top , Duplicar la parte superior
Duplicate Vertical , Duplicar la vertical
Duration , Duración
Dynamic Range Increase , Aumento del rango dinámico
Earth , Tierra
Earth Tone Boost , Aumento del tono de la Tierra
Easy Skin Retouch , Retoque fácil de la piel
Edge Antialiasing , Antialiasing de bordes
Edge Attenuation , Atenuación del borde
Edge Behavior X , Comportamiento del borde X
Edge Behavior Y , Comportamiento del borde Y
Edge Detect Includes Chroma , La detección de bordes incluye el croma
Edge Fidelity , Fidelidad al borde
Edge Influence , Influencia del borde
Edge Mask , Máscara de borde
Edge Sensitivity , Sensibilidad de los bordes
Edge Simplicity , Simplicidad del borde
Edge Smoothness , Suavidad de los bordes
Edge Thickness , Espesor del borde
Edge Threshold , Umbral del borde
Edge Threshold (%) , Umbral del borde (%)
Edges , Bordes
Edges (%) , Bordes (%)
Edges [Animated] , Bordes [Animado]
Edges Offsets , Compensación de bordes
Edges on Fire , Bordes en llamas
Edges-0.5 (beware: Memory-Consuming!) , Edges-0.5 (cuidado: ¡consumo de memoria!)
Edges-1 (beware: Memory-Consuming!) , Edges-1 (cuidado: ¡consumo de memoria!)
Edges-2 (beware: Memory-Consuming!) , Edges-2 (cuidado: ¡consumo de memoria!)
Effect Strength , Fuerza del efecto
Effect X-Axis Scaling , Escalado de efecto en el eje X
Effect Y-Axis Scaling , Efecto Escalado del eje Y
Eight Layers , Ocho capas
Eight Threads , Ocho hilos
Elegance 38 , Elegancia 38
Elephant , Elefante
Elevation , Elevación
Elevation (%) , Elevación (%)
Ellipse Painting , La pintura de la Elipse
Ellipse Ratio , Relación de Elipse
Ellipsionism , Elipsionismo
Ellipsionism Opacity , Opacidad del elipsionismo
Ellipsoid , Elipsoide
Enable Antialiasing , Habilitar el antialiasing
Enable Interpolated Motion , Habilitar el movimiento interpolado
Enable Morphology , Habilitar la morfología
Enable Paintstroke , Activar Paintstroke
Enable Segmentation , Habilitar la segmentación
Enchanted , Encantado
End Color , Color final
End Frame Number , Número de cuadro final
End of Mid-Tones , Fin de los tonos medios
End Point Connectivity , Conectividad del punto final
End Point Rate (%) , Tasa de punto final (%)
Ending Angle , Ángulo final
Ending Color , Color final
Ending Feathering , Terminar de emplumar
Ending Point (%) , Punto final (%)
Ending Scale (%) , Escala final (%)
Ending Value , Valor final
Ending X-Centering , Terminando el X-Centrado
Ending Y-Centering , Terminar el centrado en Y
Engrave , Grabar
Enhance Detail , Mejorar el detalle
Enhance Details , Mejorar los detalles
Equalization , Ecualización
Equalization (%) , Igualación (%)
Equalize , Iguala
Equalize and Normalize , Igualar y normalizar
Equalize at Each Step , Igualar en cada paso
Equalize HSI-HSL-HSV , Igualar HSI-HSL-HSV
Equalize HSV , Igualar el HSV
Equalize Light , Igualar la luz
Equalize Local Histograms , Igualar los histogramas locales
Equalize Shadow , Igualar la Sombra
Equation Plot [Parametric] , Gráfica de la ecuación [paramétrica]
Equation Plot [Y=f(X)] , Gráfica de la ecuación [Y=f(X)]
Equirectangular to Nadir-Zenith , Equivalente al Nadir-Zenith
Erosion , Erosión
Erosion / Dilation , Erosión / Dilatación
Etch Tones , Tonos de grabado
Eterna for Flog , Eterna para Flog
Euclidean , Euclidiano
Euclidean - Polar , Euclidiano - Polar
Exclusion , Exclusión
Expand , Ampliar
Expand Background Reconstruction , Ampliar Reconstrucción del fondo
Expand Shadows , Expandir las sombras
Expand Size , Ampliar el tamaño
Expanding Mirrors , Espejos en expansión
Expired (fade) , Caducado (desvanecerse)
Expired (polaroid) , Caducado (polaroid)
Expired 69 , Expiró 69
Exponent , Exponente
Exponent (Imaginary) , Exponente (imaginario)
Exponent (Real) , Exponente (Real)
Exponential , Exponencial
Export RGB-565 File , Exportar el archivo RGB-565
Exposure , Exposición
Expression , Expresión
Extend 1px , Extender 1px
External Transparency , Transparencia externa
Extra  Smooth , Extra Suave
Extract Foreground [Interactive] , Extraer el primer plano [Interactivo]
Extract Objects , Extraer objetos
Extrapolate Color Spots on Transparent Top Layer , Extrapolar las manchas de color en la capa superior transparente
Extrapolate Colors As , Extrapolar los colores como
Extrapolated Colors + Lineart , Colores extrapolados + Lineal
Extreme , Extremo
Fade End (%) , Fin del desvanecimiento (%)
Fade Layers , Capas de desvanecimiento
Fade Start , Inicio del desvanecimiento
Fade Start (%) , Inicio del desvanecimiento (%)
Fade to Green , Desaparecer a Verde
Faded , Desaparecido
Faded (alt) , Descolorido (alt)
Faded (analog) , Desvanecido (analógico)
Faded (extreme) , Desaparecido (extremo)
Faded (vivid) , Desvanecido (vívido)
Faded 47 , Desvanecido 47
Faded Green , Verde apagado
Faded Look , Mirada descolorida
Faded Print , Impresión descolorida
Faded Retro 01 , Retro 01 descolorido
Faded Retro 02 , Retro 02 descolorido
Fading , Desapareciendo
Fading Shape , Forma de desvanecimiento
Fall Colors , Colores de otoño
Far Point Deviation , Desviación del punto lejano
Fast , Rápido
Fast &#40;Approx.&#41; , Rápido... 40... aprox... 41..;
Fast (Low Precision) Preview , Previsión rápida (baja precisión)
Fast Approximation , Aproximación rápida
Fast Blend , Mezcla rápida
Fast Blend Preview , Vista previa de Fast Blend
Fast Recovery , Rápida recuperación
Fast Resize , Cambio rápido de tamaño
Faux Infrared , Infrarrojo falso
Feathering , Plumas
Feature Analyzer Smoothness , Características del analizador Suavidad
Feature Analyzer Threshold , Umbral del analizador de características
Felt Pen , Pluma de fieltro
FFT Preview , Vista previa de la FFT
Fibers , Fibras
Fibers Amplitude , Amplitud de las fibras
Fibers Smoothness , Suavidad de las fibras
Fibrousness , Fibrosidad
Fidelity Chromaticity , Fidelidad Cromaticidad
Fidelity Smoothness (Coarsest) , Fidelidad Suavidad (más gruesa)
Fidelity Smoothness (Finest) , Fidelidad Suavidad (Finest)
Fidelity to Target (Coarsest) , Fidelidad al objetivo (más grueso)
Fidelity to Target (Finest) , Fidelidad al objetivo (Finest)
Filename , Nombre de archivo
Fill Holes , Llenar los agujeros
Fill Holes % , Rellenar agujeros %
Fill Transparent Holes , Rellenar los agujeros transparentes
Filled , Llenado
Filled Circles , Círculos llenos
Filling , Llenando
Film 0987 , Película 0987
Film 9879 , Película 9879
Film Highlight Contrast , Contraste de la película
Filmic , Película
Filter Design , Diseño del filtro
Final Image , Imagen final
Fine , Bien
Fine 2 , Bien 2
Fine Details Smoothness , Detalles finos Suavidad
Fine Details Threshold , Detalles finos Umbral
Fine Noise , Ruido fino
Fine Scale , Escala fina
Finest (slower) , Más fino (más lento)
Finger Paint , Pintura de dedos
Finger Size , El tamaño de los dedos
Fire Effect , Efecto del fuego
Fireworks , Fuegos artificiales
First , Primero
First Color , Primer color
First Frame , Primer cuadro
First Offset , Primera compensación
First Radius , Primer radio
First Size , Primer tamaño
Fish-Eye , Ojo de pez
Fish-Eye Effect , Efecto ojo de pez
Fitting Function , Función de ajuste
Five Layers , Cinco capas
Flag , Bandera
Flag (256) , Bandera (256)
Flat , Piso
Flat 30 , Piso 30
Flat Color , Color plano
Flat Regions Removal , Eliminación de regiones planas
Flat-Shaded , Sombra plana
Flatness , Planitud
Flip & Rotate Blocs , Voltear y rotar los bloques
Flip Cross-Hatch , Voltear la escotilla cruzada
Flip Left / Right , Voltear a la izquierda/derecha
Flip Left/Right , Voltear a la izquierda/derecha
Flip The Pattern , Voltear el patrón
Flip Tolerance , Tolerancia a la voltereta
Flower , Flor
Foggy Night , Noche de niebla
Folder Name , Nombre de la carpeta
Font Colors , Colores de las fuentes
Font Height (px) , Altura de la fuente (px)
Force Gray , Fuerza Gris
Force Re-Download from Scratch , Forzar la descarga desde cero
Force Tiles to Have Same Size , Forzar a los azulejos a tener el mismo tamaño
Force Transparency , Fuerza Transparencia
Foreground Color , Color de primer plano
Form , Formulario
Formula , Fórmula
Forward , Adelante
Forward  Horizontal , Horizontal hacia adelante
Forward Horizontal , Horizontal hacia adelante
Forward Vertical , Vertical hacia adelante
Four Layers , Cuatro capas
Four Threads , Cuatro hilos
Fourier Analysis , Análisis de Fourier
Fourier Filtering , Filtro de Fourier
Fourier Transform , Transformación de Fourier
Fourier Watermark , Marca de agua de Fourier
Fractal Noise , Ruido fractal
Fractal Points , Puntos fractales
Fractal Set , Conjunto fractal
Fractal Whirl , Remolino fractal
Fractalize , Fracturar
Fractured Clouds , Nubes fracturadas
Fragment Blur , Desenfoque de fragmentos
Frame (px) , Marco (px)
Frame [Blur] , Marco [Borrón]
Frame [Cube] , Marco [Cubo]
Frame [Fuzzy] , Marco [Fuzzy]
Frame [Mirror] , Marco [Espejo]
Frame [Painting] , Marco [Pintura]
Frame [Pattern] , Marco [Patrón]
Frame [Regular] , Marco [Regular]
Frame [Round] , Marco [Redondo]
Frame [Smooth] , Marco [Suave]
Frame as a New Layer , Enmarcar como una nueva capa
Frame Color , Color del marco
Frame Files Format , Formato de los archivos del marco
Frame Format , Formato del marco
Frame Size , Tamaño del cuadro
Frame Skip , Saltar marco
Frame Type , Tipo de cuadro
Frame Width , Ancho del marco
Frames , Marcos
Frames Offset , Compensación de cuadros
Freaky Details , Detalles extraños
Freeze , Congelar
French Comedy , Comedia francesa
Frequency , Frecuencia
Frequency (%) , Frecuencia (%)
Frequency Analyzer , Analizador de frecuencia
Frequency Range , Gama de frecuencias
Freqy Pattern , Patrón de frecuencia
Friends Hall of Fame , Salón de la Fama de los Amigos
From Input , De la entrada
From Reference Color , Desde el color de referencia
Frosted Beach Picnic , Picnic en la playa de Frosted
Fruits , Frutas
Fuji FP-100c -- , Fuji FP-100c...
Fuji FP-100c Negative , Fuji FP-100c Negativo
Fuji FP-100c Negative + , Fuji FP-100c Negativo +
Fuji FP-100c Negative ++ , Fuji FP-100c Negativo ++
Fuji FP-100c Negative +++ , Fuji FP-100c Negativo +++
Fuji FP-100c Negative ++a , Fuji FP-100c Negativo ++a
Fuji FP-100c Negative - , Fuji FP-100c Negativo -
Fuji FP-100c Negative -- , Fuji FP-100c Negativo...
Fuji FP-3000b -- , Fuji FP-3000b...
Fuji FP-3000b Negative , Fuji FP-3000b Negativo
Fuji FP-3000b Negative + , Fuji FP-3000b Negativo +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Negativo ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Negativo +++
Fuji FP-3000b Negative - , Fuji FP-3000b Negativo -
Fuji FP-3000b Negative -- , Fuji FP-3000b Negativo...
Fuji FP-3000b Negative Early , Fuji FP-3000b Negativo Temprano
Full , Completo
Full (Allows Multi-Layers) , Completo (permite multicapas)
Full (Slower) , Lleno (más lento)
Full Bottom/top , Completo Abajo/arriba
Full Colors , A todo color
Full HD Frame Packing , Paquete de marcos Full HD
Full Layer Stack -Slow!- , Pila de capas completas -¡Lento!-
Full Side by Side Keep Uncompressed , Completamente de lado a lado, manténganse descomprimidos
Full Side by Side Keep Width , Completo Lado a lado Mantener el ancho
Full Side by Uncompressed , Lado completo por Uncompressed
Fusion 88 , Fusión 88
G'MIC Operator , Operador G'MIC
G/M Smoothness , Suavidad G/M
Gain , Gane
Games & Demos , Juegos y demostraciones
Gamma Balance , Balance Gamma
Gamma Compensation , Compensación Gamma
Gamma Equalizer , Ecualizador Gamma
Gaussian , Gaussiano
Gear , Engranaje
Generate Random-Colors Layer , Generar una capa de colores aleatorios
Generic Fuji Astia 100 , Genérico Fuji Astia 100
Generic Fuji Provia 100 , Genérico Fuji Provia 100
Generic Fuji Velvia 100 , Genérico Fuji Velvia 100
Generic Kodachrome 64 , Genérico Kodachrome 64
Generic Kodak Ektachrome 100 VS , Genérico Kodak Ektachrome 100 VS
Generic Skin Structure , Estructura genérica de la piel
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Modo Suave (anula el Brillo Mínimo y la Relación Mínima Rojo:Azul)
Geometry , Geometría
Global Mapping , Cartografía mundial
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (por Mahvin)
Gmicky (by Deevad) , Gmicky (por Deevad)
Gmicky (by Mahvin) , Gmicky (por Mahvin)
Going for a Walk , Salir a pasear
Gold , Oro
Golden (bright) , Dorado (brillante)
Golden (fade) , Dorado (se desvanece)
Golden (mono) , Dorado (mono)
Golden (vibrant) , Dorado (vibrante)
GoldFX - Bright Spring Breeze , GoldFX - Brisa brillante de primavera
GoldFX - Bright Summer Heat , GoldFX - Brillante calor de verano
GoldFX - Hot Summer Heat , GoldFX - Calor de verano
GoldFX - Perfect Sunset 01min , GoldFX - Atardecer perfecto 01min
GoldFX - Perfect Sunset 05min , GoldFX - Atardecer perfecto 05min
GoldFX - Perfect Sunset 10min , GoldFX - Atardecer perfecto 10min
GoldFX - Spring Breeze , GoldFX - Brisa de Primavera
GoldFX - Summer Heat , GoldFX - El calor del verano
Good Morning , Buenos días.
Gradient , Gradiente
Gradient [Corners] , Gradiente [Esquinas]
Gradient [Custom Shape] , Gradiente [Forma personalizada]
Gradient [from Line] , Gradiente [de la línea]
Gradient [Linear] , Gradiente [Lineal]
Gradient [Radial] , Gradiente [Radial]
Gradient [Random] , Gradiente [Aleatorio]
Gradient Norm , Norma de gradiente
Gradient Preset , Gradiente preestablecido
Gradient RGB , Gradiente RGB
Gradient Smoothness , Suavidad gradual
Gradient Values , Valores graduales
Grain , Grano
Grain (Highlights) , Grano (Highlights)
Grain (Midtones) , Grano (Midtones)
Grain (Shadows) , Grano (Sombras)
Grain Extract , Extracto de grano
Grain Merge , Fusión de granos
Grain Only , Sólo grano
Grain Scale , Escala del grano
Grain Tone Fading , Desvanecimiento del tono del grano
Grain Type , Tipo de grano
Grainextract , Extracto de grano
Granularity , Granularidad
Graphic Boost , Aumento de la gráfica
Graphic Colours , Colores de los gráficos
Graphic Novel , Novela gráfica
Graphix Colors , Colores de Grafito
Grayscale , Escala de grises
Greece , Grecia
Green , Verde
Green 15 , Verde 15
Green 2025 , Verde 2025
Green Action , Acción Verde
Green Afternoon , Tarde verde
Green Blues , Green Blues...
Green Conflict , Conflicto verde
Green Day 01 , Día verde 01
Green Day 02 , Día Verde 02
Green Factor , Factor verde
Green G09 , Verde G09
Green Indoor , Verde Interior
Green Level , Nivel verde
Green Light , Luz verde
Green Mono , Mono verde
Green Rotations , Rotaciones verdes
Green Shift , Cambio verde
Green Smoothness , Suavidad verde
Green Wavelength , Longitud de Onda Verde
Green Yellow , Verde Amarillo
Green-Blue , Verde-Azul
Green-Red , Verde-Rojo
Greenish Contrasty , Contraste verdoso
Greenish Fade , Desvanecimiento verdoso
Greenish Fade 1 , Desvanecimiento verdoso 1
Grey , Gris
Greyscale , Escala de grises
Grid , Cuadrícula
Grid [Cartesian] , Rejilla [cartesiana]
Grid [Hexagonal] , Rejilla [Hexagonal]
Grid [Triangular] , Rejilla [Triangular]
Grid Divisions , Divisiones de la red
Grid Smoothing , Suavizado de la red
Grid Width , Ancho de la red
Grow Alpha , Crece Alfa
Guide As , Guía como
Guide Mix , Guía Mixta
Guide Recovery , Guía de recuperación
Gum Leaf , Hoja de goma de mascar
H Cutoff , Corte H
Hair Locks , Rizos de pelo
HaldCLUT Filename , HaldCLUT Nombre de archivo
Half Bottom/top , Medio abajo/arriba
Half Side  by Side , Medio lado a lado
Halftone , Medio tono
Halftone Shapes , Formas de medios tonos
Hanoi Tower , Torre de Hanoi
Happyness 133 , Felicidad 133
Hard , Duro
Hard Light , Luz dura
Hard Mix , Mezcla dura
Hard Sketch , Bosquejo duro
Hard Teal Orange , Naranja de la cerceta dura
Hardlight , Harddlight
Harsh Day , Un día duro
Harsh Sunset , Atardecer duro...
HDR Effect (Tone Map) , Efecto HDR (Mapa de tonos)
Heart , Corazón
Hearts , Corazones
Hearts (Outline) , Corazones (Resumen)
Height , Altura
Height (%) , Altura (%)
Hexagon , Hexágono
High , Alto
High (Slower) , Alto (más lento)
High Frequency , Alta frecuencia
High Frequency Layer , Capa de alta frecuencia
High Pass , Paso alto
High Quality , Alta calidad
High Scale , Escala alta
High Speed , Alta velocidad...
High Value , Alto valor
Higher Mask Threshold (%) , Umbral de máscara más alto (%)
Highlight , Destacar
Highlight (%) , Destacar (%)
Highlight Bloom , Destacar a Bloom
Highlights , Lo más destacado
Highlights Abstraction , Destaca la abstracción
Highlights Brightness , Destaca el brillo
Highlights Color Intensity , Destaca la intensidad del color
Highlights Crossover Point , Destaca el punto de cruce
Highlights Hue , Destaca el tono
Highlights Lightness , Destaca la ligereza
Highlights Protection , Destaca la protección
Highlights Selection , Selección de destacados
Highlights Threshold , Destaca Umbral
Highlights Zone , Zona de Highlights
Highres CLUT , Altas CLUT
Histogram , Histograma
Histogram Analysis , Análisis de Histograma
Histogram Transfer , Transferencia de Histograma
Hokusai: The Great Wave , Hokusai: La Gran Ola
Homogeneity , Homogeneidad
Hope Poster , Cartel de la esperanza
Horisontal Length , Longitud horizontal
Horizon Leveling (deg) , Nivelación del horizonte (deg)
Horizontal Amount , Cantidad horizontal
Horizontal Array , Conjunto Horizontal
Horizontal Blur , Desenfoque horizontal
Horizontal Length , Longitud horizontal
Horizontal Size (%) , Tamaño horizontal (%)
Horizontal Stripes , Rayas horizontales
Horizontal Tiles , Baldosas horizontales
Horizontal Warp Only , Sólo la urdimbre horizontal
Hot , Caliente
Hot (256) , Caliente (256)
Hough Sketch , Bosquejo de Hough
Hough Transform , Transformación de la dureza
House , Casa
Householder , Ama de casa
HSI [all] , HSI [todos]
HSI [Intensity] , HSI [Intensidad]
HSL [all] , HSL [todo]
HSL [Lightness] , HSL [Ligereza]
HSL Adjustment , Ajuste del HSL
HSV [all] , VHS [todo]
HSV [Hue] , HSV [Tono]
HSV [Saturation] , HSV [Saturación]
HSV [Value] , HSV [Valor]
Hue (%) , Tono (%)
Hue Band , Banda de Hue
Hue Factor , Factor de tonalidad
Hue Offset , Compensación del tono
Hue Range , Rango de tonalidades
Hue Shift , Cambio de tono
Hue Smoothness , Tono Suavidad
Human  2 , Humano 2
Human 1 , Humano 1
Human 2 , Humano 2
Hybrid Median - Medium Speed Softest Output , Híbrido Mediano - Velocidad Media Salida Suave
Hypersthene , Hipersthene
Hypnosis , Hipnosis
