<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Cylinder , Цилиндр
D and O 1 , D и O 1
Damping per Octave , Демпфирование на октаву
Dark  Motive , Темный мотив
Dark Blues in Sunlight , Темно-синий при солнечном свете
Dark Boost , Темный удар
Dark Color , Темный цвет
Dark Edges , Темные края
Dark Green 02 , Темно-зеленый 02
Dark Green 1 , Темно-зеленый 1
Dark Grey , Темно-серый
Dark Length , Темная длина
Dark Motive , Темный мотив
Dark Pixels , Темные пиксели
Dark Place 01 , Темное место 01
Dark Screen , Темный экран
Dark Sky , Темное небо
Dark Walls , Темные стены
Darker , Темнее
Darkness , Темнота
Darkness Level , Уровень темноты
Date 39 , Дата 39
David , Дэвид
Day for Night , День на ночь
Daylight Scene , Сцена дневного света
DCP Dehaze , ДСР Дехаз
De-Anaglyph , Де-анаглиф
Debug Font Size , Размер отладочного шрифта
Decagon , Декагон
Decompose , Разложить
Decompose Channels , Разлагать каналы
Decoration , Украшение
Decreasing , Уменьшение
Deep , Глубокий
Deep Blue , Голубой цвет
Deep Dark Warm , Глубокое темное тепло
Deep High Contrast , Глубокий высокий контраст
Deep Warm Fade , Глубокое теплое угасание
Default , По умолчанию
Defects Contrast , Контраст дефектов
Defects Density , Плотность дефектов
Defects Size , Дефекты Размеры
Defects Smoothness , Дефекты Гладкость
Deform , Деформировать
Delaunay-Oriented , Делоне-Ориентированный
Delaunay: Portrait De Metzinger , Дело в том, что портрет Де Метцингера...
Delaunay: Windows Open Simultaneously , Дело в том, что Windows открыта одновременно.
Delete Layer Source , Источник удалить слой
Delicatessen , Деликатесы
Denim , Джинсовая ткань
Denoise Simple 40 , Денуаза Простое 40
Density , Плотность
Density (%) , Плотность (%)
Depth , Глубина
Depth Fade In Frames , Глубина затухания в кадрах
Depth Fade Out Frames , Глубина затухания кадров
Depth Field Control , Контроль глубины поля
Depth Map , Глубина Карта
Depth Map Construction , Карта глубины Строительство
Depth Map Only , Только карта глубины
Depth Map Reconstruction , Карта глубины Реконструкция
Depth Maps Only , Только Карты глубины
Depth-Of-Field Type , Тип глубины поля
Desaturate (%) , Натуральный (%)
Desaturate Norm , Пониженная норма
Descent Method , Метод спуска
Descreen , Экран
Desert Gold 37 , Пустыня Золото 37
Despeckle , Деспекл
Destination (%) , Назначение (%)
Destination X-Tiles , Пункт назначения X-Плитки
Destination Y-Tiles , Пункт назначения Y-панели
Detail , Подробности
Detail Level , Уровень детализации
Detail Reconstruction Detection , Обнаружение деталей реконструкции
Detail Reconstruction Smoothness , Детали Реконструкция Гладкость
Detail Reconstruction Strength , Детали Реконструкционная прочность
Detail Reconstruction Style , Детали Стиль реконструкции
Detail Scale , Шкала деталей
Detail Strength , Прочность деталей
Details , Подробности
Details Amount , Детали Количество
Details Equalizer , Детали эквалайзера
Details Scale , Шкала деталей
Details Smoothness , Детали Гладкость
Details Strength (%) , Детали Прочность (%)
Detect Skin , Обнаружить кожу
Deviation , Отклонение
Diamond , Алмазный
Diamond (Inv.) , Алмаз (инв.)
Diamonds , Бриллианты
Diamonds (Outline) , Бриллианты (Контур)
Dices , Цифры
Dices with Colored Numbers , Кубики с цветными цифрами
Dices with Colored Sides , Кубики с цветными сторонами
Difference , Разница
Difference Mixing , Смешивание различий
Difference of Gaussians , Отличие гауссиан
Different Axis , Различная ось
Diffuse (%) , Диффузный (%)
Diffuse Shadow , Диффузная Тень
Diffusion , Диффузия
Diffusion Tensors , Диффузионные тензоры
Diffusivity , Диффузитивность
Digits , Цифры
Dilatation , Дилатация
Dilate , Расшифровать
Dilation , Дилатация
Dilation - Original , Дилатация - Оригинал
Dilation / Erosion , дилатация / эрозия
Dimension , Измерение
Dimension [Diff] , Измерение [Дифф]
Dimension A , Измерение А
Dimensions (%) , Размеры (%)
Dimensions Pixels , Размеры Пиксели
Dipole: 1/(4*z^2-1) , Диполь: 1/(4*z^2-1)
Direct , Прямой
Direction , Направление
Directions 23 , Указания 23
Dirichlet , Дирихлет
Dirty , Грязный
Disable , Отключить
Disabled , Инвалид
Discard Contour Guides , Направляющие контура отбрасывания
Discard Transparency , Прозрачность отбрасывания
Disco , Дискотека
Display , Показать
Display Blob Controls , Управление блоками дисплея
Display Color Axes , Цветные оси дисплея
Display Contours , Контуры дисплея
Display Coordinates , Координаты отображения
Display Coordinates on Preview Window , Координаты отображения в окне предварительного просмотра
Display Debug Info on Preview , Отображение отладочной информации на предварительном просмотре
Distance , Расстояние
Distance (Fast) , Расстояние (Быстро)
Distance Transform , Преобразование расстояния
Distort Lens , Искажающий объектив
Distortion Factor , Коэффициент искажения
Distortion Surface Angle , Искажение Угол поверхности
Distortion Surface Position , Положение поверхности искажения
Disturbance Scale-By-Factor , Шкала-фактор возмущения
Disturbance X , Нарушение Х
Disturbance Y , Нарушение Y
Dither Output , Либо выход
Dithering , Сглаживание
Divide , Разделить
Django 25 , Джанго 25
Dodge Blur , Додж Пятно
Dodge Strength , Прочность при уклоне
DOF Analyzer , анализатор DOF
Dog , Собака
Domingo 145 , Доминго 145
Don't Sort , Не сортируй.
Doodle , Дудл
Dot Size , Размер точки
Dots , Точки
Download External Data , Скачать внешние данные
Dragon Curve , Кривая дракона
Dragonfly , Стрекоза
Drawing Mode , Режим рисования
Dream , Мечтать
Dream 1 , Мечта 1
Dream 85 , Мечта 85
Dream Smoothing , Сглаживание снов
Drop Blues , Капля блюза
Drop Green Tint 14 , Зеленый оттенок 14
Drop Shadow , Падение Тени
Drop Water , Каплевая вода
Duck , Утка
Duplicate Bottom , Дублированное дно
Duplicate Horizontal , Дублировать горизонтальный
Duplicate Left , Дублировать слева
Duplicate Right , Дублировать право
Duplicate Top , Дублировать Топ
Duplicate Vertical , Дублирующийся Вертикаль
Duration , Продолжительность
Dynamic Range Increase , Динамическое увеличение диапазона
Eagle , Орел
Earth , Земля
Earth Tone Boost , Ускорение земных тонов
Easy Skin Retouch , Легкий возврат кожи
Edge Antialiasing , Сглаживание краев
Edge Attenuation , Затухание краев
Edge Behavior X , Поведение Крайнего Севера X
Edge Behavior Y , Поведение края Y
Edge Detect Includes Chroma , Обнаружение краев включает в себя хрому
Edge Fidelity , Верность краев
Edge Influence , Влияние краев
Edge Mask , Крайняя маска
Edge Sensitivity , Чувствительность к краям
Edge Shade , Оттенок края
Edge Simplicity , Простота края
Edge Smoothness , Гладкость краев
Edge Thickness , Толщина края
Edge Threshold , Порог Кромки
Edge Threshold (%) , Порог по краям (%)
Edges , Края
Edges (%) , Края (%)
Edges [Animated] , Края [анимированные]
Edges Offsets , Смещения по краям
Edges on Fire , Края в огне
Edges-0.5 (beware: Memory-Consuming!) , Края - 0,5 (берегись: Память-Потребитель!)
Edges-1 (beware: Memory-Consuming!) , Края-1 (остерегайся: Память-Потребляющая!)
Edges-2 (beware: Memory-Consuming!) , Края-2 (остерегайся: Память-Потребляющая!)
Edgy Ember , Эдди Эмбер
Effect Strength , Прочность эффекта
Effect X-Axis Scaling , Эффект масштабирования по оси X
Effect Y-Axis Scaling , Эффект масштабирования по оси Y
Eight Layers , Восемь слоев
Eight Threads , Восемь Нитей
Elegance 38 , Элегантность 38
Elephant , Слон
Elevation , Возвышение
Elevation (%) , Высота (%)
Ellipse Painting , эллипсовая живопись
Ellipse Ratio , коэффициент Эллипса
Ellipsionism , Эллипсионизм
Ellipsionism Opacity , Эллипсионизм Непрозрачность
Ellipsoid , Эллипсоид
Emboss , Эмбосс
Enable Antialiasing , Включить сглаживание
Enable Interpolated Motion , Включить интерполированное движение
Enable Morphology , Морфология благоприятствования
Enable Paintstroke , Включить живописный мазок
Enable Segmentation , Включить сегментацию
Enchanted , Зачарованный
End Color , Цвет конца
End Frame Number , Номер конечной рамы
End of Mid-Tones , Конец средних тонов
End Point Connectivity , Связь с конечной точкой
End Point Rate (%) , Ставка конечной точки (%)
Ending Angle , Конечный угол
Ending Color , Заключительный цвет
Ending Feathering , Завершающее перо
Ending Point (%) , Конечная точка (%)
Ending Scale (%) , Шкала завершения (%)
Ending Value , Конечная стоимость
Ending X-Centering , Конец Х-Центра
Ending Y-Centering , Конец Y-центра
Engrave , Гравюра
Enhance Detail , Увеличить детализацию
Enhance Details , Подробнее
Equalization , Уравнивание
Equalization (%) , Уравнивание (%)
Equalize , Уравнивать
Equalize and Normalize , Уравнять и нормализовать
Equalize at Each Step , Уравнивать на каждом этапе
Equalize HSI-HSL-HSV , Уравнивать HSI-HSL-HSV
Equalize HSV , Уравнивать HSV
Equalize Light , Выравнивать свет
Equalize Local Histograms , Уравнять местные гистограммы
Equalize Shadow , Уравнять Тень
Equation Plot [Parametric] , Слот уравнения [Параметрический]
Equation Plot [Y=f(X)] , Участок уравнения [Y=f(X)]
Equirectangular to Nadir-Zenith , Прямоугольный к Надир-Зениту.
Eric Ellerbrock (14) , Эрик Эллерброк (14)
Erosion , Эрозия
Erosion / Dilation , эрозия / дилатация
Etch Tones , траурные тона
Eterna for Flog , Этерна для Флога
Euclidean , Евклидан
Euclidean - Polar , евклидов - полярный
Exclusion , Исключение
Exp(z) , Эксп(z)
Expand , Развернуть
Expand Background Reconstruction , Расширение Реконструкция фона
Expand Shadows , Расширять Тени
Expand Size , Увеличить размер
Expanding Mirrors , Расширяющиеся зеркала
Expired (fade) , Просрочено (исчезает)
Expired (polaroid) , Истекший (поляроид)
Expired 69 , истекло 69
Exponent , Экспонент
Exponent (Imaginary) , Экспонент (Воображаемый)
Exponent (Real) , Экспонент (Реальный)
Exponential , Экспоненциальный
Export RGB-565 File , Экспорт RGB-565 Файл
Exposure , Выставка
Expression , Выражение
Extend 1px , Увеличить 1px
External Transparency , Внешняя прозрачность
Extra  Smooth , Extra Smooth
Extract Foreground [Interactive] , Извлечь передний план [Интерактивный]
Extract Objects , Извлечь предметы
Extrapolate Color Spots on Transparent Top Layer , Экстраполированные пятна цвета на прозрачном верхнем слое
Extrapolate Colors As , Экстраполированные цвета как
Extrapolated Colors + Lineart , Экстраполированные цвета + линейный
Extreme , Экстрим
Factor , Фактор
Fade , Угасать
Fade End , Затухающий конец
Fade End (%) , Угасание (%)
Fade Layers , Угасающие слои
Fade Start , Затухающий старт
Fade Start (%) , Затухающий старт (%)
Fade to Green , Становиться зелёным
Faded , Выцветший
Faded (alt) , Выцветший (alt)
Faded (analog) , Выцветший (аналоговый)
Faded (extreme) , Выцветший (крайний)
Faded (vivid) , Выцветший (яркий)
Faded 47 , Выцветшие 47
Faded Green , Выцветший зеленый
Faded Look , Выцветший вид
Faded Print , Выцветшая печать
Faded Retro 01 , Выцветший ретро 01
Faded Retro 02 , Выцветший ретро 02
Fading , Увядающий
Fading Shape , Затухающая форма
Fall Colors , Осенние цвета
Far Point Deviation , Девиация дальних точек
Fast , Быстрый
Fast &#40;Approx.&#41; , Быстро и №40; Приблизительно и №41;
Fast (Low Precision) Preview , Быстрый (низкая точность) Предварительный просмотр
Fast Approximation , Быстрое приближение
Fast Blend , Быстрое смешивание
Fast Blend Preview , Предварительный просмотр быстрого смешивания
Fast Recovery , Быстрое восстановление
Fast Resize , Быстрый размер
Faux Infrared , Инфракрасный фальшивый
Feathering , Перо
Feature Analyzer Smoothness , Гладкость анализатора функций
Feature Analyzer Threshold , Пороговый анализатор характеристик
Felt Pen , Фелт-Рен
FFT Preview , Предварительный просмотр БПФ
Fibers , Волокна
Fibers Amplitude , Амплитуда волокна
Fibers Smoothness , Гладкость волокон
Fibrousness , Фиброзность
Fidelity Chromaticity , Верность Хроматичность
Fidelity Smoothness (Coarsest) , Гладкость верности (грубость)
Fidelity Smoothness (Finest) , Верность Гладкость (Лучшая)
Fidelity to Target (Coarsest) , Верность цели (Грубейшая)
Fidelity to Target (Finest) , Верность цели (Лучшая)
Filename , Фильм
Fill Holes , Отверстия для заполнения
Fill Holes % , Заполнение отверстий %
Fill Transparent Holes , Заполнить Прозрачные отверстия
Filled , Заполнено
Filled Circles , Заполненные круги
Filling , Заполнение
Film 0987 , Фильм 0987
Film 9879 , Фильм 9879
Film Highlight Contrast , Фильм Контрастное выделение
Film Print 01 , Фильм Печать 01
Film Print 02 , Фильм Печать 02
Filmic , Фильм
Filter Design , Дизайн фильтра
Final Image , Окончательное изображение
Fine , Хорошо
Fine 2 , Мелкий 2
Fine Details Smoothness , Тонкие детали Гладкость
Fine Details Threshold , Порог мелкой детали
Fine Noise , мелкий шум
Fine Scale , Тонкая шкала
Finest (slower) , Лучший (медленнее)
Finger Paint , Краска для пальцев
Finger Size , Размер пальца
Fire Effect , Эффект пожара
Fireworks , Фейерверки
First , Первый
First Color , Первый цвет
First Frame , Первый кадр
First Offset , Первое смещение
First Radius , Первый Радиус
First Size , Первый размер
Fish-Eye , Рыбий глаз
Fish-Eye Effect , эффект "рыбий глаз
Fitting Function , Функция установки
Five Layers , Пять слоев
Flag , Флаг
Flag (256) , Флаг (256)
Flat , Квартира
Flat 30 , Квартира 30
Flat Color , Плоский цвет
Flat Regions Removal , Удаление плоских регионов
Flat-Shaded , Плоская штриховка
Flatness , Плоскостность
Flavin , Флавин
Flip , Флип
Flip & Rotate Blocs , Флип и поворотные блоки
Flip Cross-Hatch , Флип-кросс-люк
Flip Left / Right , Перевернуть влево/вправо
Flip Left/Right , Перевернуть влево/вправо
Flip The Pattern , Перевернуть схему
Flip Tolerance , Толерантность к переворачиванию
Flower , Цветок
Focale , Фокал
Foggy Night , Туманная ночь
Folder Name , Имя папки
Folger 50 , Фолджер 50
Font Colors , Цвета шрифта
Font Height (px) , Высота шрифта (px)
Force Gray , Серый Форс
Force Re-Download from Scratch , Принудительная перезагрузка из Scratch
Force Tiles to Have Same Size , Заставить плитку иметь тот же размер
Force Transparency , Сила Транспарентность
Foreground Color , Цвет переднего плана
Form , Форма
Formula , Формула
Forward , Форвард
Forward  Horizontal , Форвард Горизонтальный
Forward Horizontal , Форвард Горизонтальный
Forward Vertical , Форвард Вертикаль
Four Layers , Четыре слоя
Four Threads , Четыре нити
Fourier Analysis , Фурье-анализ
Fourier Filtering , Фурье-фильтрация
Fourier Transform , преобразование Фурье
Fourier Watermark , Фурье Водяной знак
Fractal Noise , Фрактальный шум
Fractal Points , Фрактальные точки
Fractal Set , Набор фракталов
Fractal Whirl , Фрактальный вихрь
Fractalize , Фрактализовать
Fractured Clouds , Облака с трещинами
Fragment Blur , Фрагмент Пятна
Frame (px) , Фрейм (px)
Frame [Blur] , Кадр [Пятно]
Frame [Cube] , Кадр [Куб]
Frame [Fuzzy] , Фрейм [Нечеткий]
Frame [Mirror] , Фрейм [Зеркало]
Frame [Painting] , Рамка [Живопись]
Frame [Pattern] , Кадр [Узор]
Frame [Regular] , Рамка [Обычная]
Frame [Round] , Кадр [Круглый]
Frame [Smooth] , Фрейм [Гладкий]
Frame as a New Layer , Каркас как новый слой
Frame Color , Цвет рамки
Frame Files Format , Рамка Файлы Формат
Frame Format , Формат кадра
Frame Size , Размер кадра
Frame Skip , Скип рамы
Frame Type , Тип кадра
Frame Width , Ширина кадра
Frames , Фреймы
Frames Offset , Смещение рамки
Freaky B&W , Причудливый чайник и бар
Freaky Details , Причудливые подробности
Freeze , Заморозить
French Comedy , Французская комедия
Frequency , Частота
Frequency (%) , Частота (%)
Frequency Analyzer , Анализатор частоты
Frequency Range , Диапазон частот
Freqy Pattern , фреки-маскарад
Friends Hall of Fame , Зал славы друзей
From Input , С входа
From Reference Color , С эталонного цвета
Frosted , Морозный
Frosted Beach Picnic , Морозный пляжный пикник
Fruits , Фрукты
Fuji 160C , Фудзи 160С
Fuji 160C + , Фудзи 160С +
Fuji 160C ++ , Фудзи 160С ++
Fuji 160C - , Фудзи 160С -
Fuji 3510 (Constlclip) , Фудзи 3510 (Констлэп)
Fuji 3510 (Constlmap) , Фудзи 3510 (Констлмап)
Fuji 3510 (Cuspclip) , Фудзи 3510 (Cuspclip)
Fuji 3513 (Constlclip) , Фудзи 3513 (Констлэп)
Fuji 3513 (Constlmap) , Фудзи 3513 (Констлмап)
Fuji 3513 (Cuspclip) , Фудзи 3513 (Cuspclip)
Fuji 400H , Фудзи 400Н
Fuji 400H + , Фудзи 400H +
Fuji 400H ++ , Фудзи 400H ++
Fuji 400H - , Фудзи 400Н -
Fuji 800Z , Фудзи 800З
Fuji 800Z + , Фудзи 800Z +
Fuji 800Z ++ , Фудзи 800Z ++
Fuji 800Z - , Фудзи 800З -
Fuji Astia 100F , Фудзи Астия 100F
Fuji FP 100C , Фудзи FP 100C
Fuji FP-100c +++ , Fuji FP-100c + +++
Fuji FP-100c Negative , Fuji FP-100c Отрицательный
Fuji FP-100c Negative + , Fuji FP-100c Отрицательный +
Fuji FP-100c Negative ++ , Fuji FP-100c Отрицательный ++
Fuji FP-100c Negative +++ , Fuji FP-100c Отрицательный +++
Fuji FP-100c Negative ++a , Fuji FP-100c Отрицательный ++a
Fuji FP-100c Negative - , Fuji FP-100c Отрицательно -
Fuji FP-100c Negative -- , Fuji FP-100c Отрицательно...
Fuji FP-3000b + , Фудзи FP-3000b +
Fuji FP-3000b +++ , Fuji FP-3000b + +++
Fuji FP-3000b Negative , Фудзи FP-3000b Отрицательный
Fuji FP-3000b Negative + , Фудзи FP-3000b Отрицательный +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Отрицательный ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Отрицательный +++
Fuji FP-3000b Negative - , Fuji FP-3000b Отрицательно -
Fuji FP-3000b Negative -- , Fuji FP-3000b Отрицательно...
Fuji FP-3000b Negative Early , Фудзи FP-3000b Отрицательный Ранний
Fuji HDR , ГДР Фудзи
Fuji Ilford Delta 3200 , Дельта Фудзи Ильфорда 3200
Fuji Ilford Delta 3200 + , Фудзи Ильфорд Дельта 3200 +
Fuji Ilford Delta 3200 ++ , Фудзи Ильфорд Дельта 3200 ++
Fuji Ilford Delta 3200 - , Дельта Фудзи Ильфорда 3200 -
Fuji Ilford HP5 , Фудзи Илфорд HP5
Fuji Ilford HP5 + , Фудзи Илфорд HP5 +
Fuji Ilford HP5 ++ , Фудзи Илфорд HP5 ++
Fuji Ilford HP5 - , Фудзи Илфорд HP5 -
Fuji Neopan 1600 , Фудзи-неопан 1600
Fuji Neopan 1600 + , Фудзи Неопан 1600 +
Fuji Neopan 1600 ++ , Фудзи Неопан 1600 ++
Fuji Neopan 1600 - , Фудзи Неопан 1600 -
Fuji Neopan Acros 100 , Фудзи Неопан Акрос 100
Fuji Sensia 100 , Фудзи Сенсия 100
Fuji Superia 100 , Фудзи Супер 100
Fuji Superia 100 + , Фудзи Суперия 100 +
Fuji Superia 100 ++ , Фудзи Суперия 100 ++
Fuji Superia 1600 , Фудзи Суперия 1600
Fuji Superia 1600 + , Фудзи Суперия 1600 +
Fuji Superia 1600 ++ , Фудзи Суперия 1600 ++
Fuji Superia 1600 - , Фудзи Суперия 1600 -
Fuji Superia 200 , Фудзи Суперия 200
Fuji Superia 400 , Фудзи Суперия 400
Fuji Superia 400 + , Фудзи Суперия 400 +
Fuji Superia 400 - , Фудзи Суперия 400 -
Fuji Superia 800 , Фудзи Суперия 800
Fuji Superia 800 + , Фудзи Суперия 800 +
Fuji Superia Reala 100 , Фудзи Суперия Реала 100
Fuji Velvia 50 , Фудзи-Вельвия 50
Full , Полный текст
Full (Allows Multi-Layers) , Полный (позволяет многослойность)
Full (Slower) , Полный (Медленнее)
Full Bottom/top , Полное Нижнее/Наверху
Full Colors , Полные цвета
Full HD Frame Packing , Упаковка Full HD кадров
Full Layer Stack -Slow!- , Полнослойный стек - Медленно!
Full Side by Side Keep Uncompressed , Полностью Бок о бок Держите без компрессии
Full Side by Side Keep Width , Полная ширина бок о бок держать
Full Side by Uncompressed , Полностью без компрессии
Futuristic Bleak 1 , футуристическая утечка 1
Futuristic Bleak 2 , футуристическая утечка 2
Futuristic Bleak 3 , футуристическая утечка 3
Futuristic Bleak 4 , футуристическая утечка 4
G'MIC Operator , G'MIC Оператор
G/M Smoothness , Гладкость Ж/М
Gain , Получить
Games & Demos , Игры и демо-версии
Gamma , Гамма
Gamma (%) , Гамма (%)
Gamma Balance , Гамма-баланс
Gamma Compensation , Гамма компенсация
Gamma Equalizer , Гамма эквалайзер
Gaussian , гауссов
Generate Random-Colors Layer , Генерация слоя случайных цветов
Generic Fuji Astia 100 , Дженерик Фудзи Астия 100
Generic Fuji Provia 100 , Дженерик Fuji Provia 100
Generic Fuji Velvia 100 , Дженерик Фудзи Вельвия 100
Generic Kodachrome 64 , Дженерик Кодахром 64
Generic Kodak Ektachrome 100 VS , Дженерик Кодак Эктахром 100 ВС
Generic Skin Structure , Общая структура кожи
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Нежный режим (переопределяет Минимальную яркость и Минимун Красный: Синий Соотношение)
Geometry , Геометрия
Global , Глобальный
Global Mapping , Глобальное картирование
Gmicky & Wilber , Гмики и Вилбер
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (по Махвину)
Gmicky (by Deevad) , Гмики (по Диваду)
Gmicky (by Mahvin) , Гмики (по Махвину)
Gmicky (Deevad) , Гмики (Дивад)
Gmicky (Mahvin) , Гмики (Махвин)
Gmicky - Roddy , Гмики - Родди
Going for a Walk , Прогулка
Gold , Золотой
Golden , Золотой
Golden (bright) , Золотой (яркий)
Golden (fade) , Золотой (исчезает)
Golden (mono) , Золотой (моно)
Golden (vibrant) , Золотой (яркий)
Golden Gate , Золотые ворота
Golden Night Softner 43 , Золотая ночь софтнер 43
Golden Sony 37 , Золотая Сони 37
GoldFX - Bright Spring Breeze , GoldFX - Светлый весенний бриз
GoldFX - Bright Summer Heat , GoldFX - Яркий летний зной
GoldFX - Hot Summer Heat , GoldFX - Горячая летняя жара
GoldFX - Perfect Sunset 01min , GoldFX - Идеальный Закат 01 мин.
GoldFX - Perfect Sunset 05min , GoldFX - Идеальный закат 05 минут
GoldFX - Perfect Sunset 10min , GoldFX - Идеальный закат 10 мин.
GoldFX - Spring Breeze , GoldFX - Весенний бриз
GoldFX - Summer Heat , GoldFX - Летняя жара
Good Morning , Доброе утро
Gouraud , Гуро
Gradient , Градиент
Gradient [Corners] , Градиент [Углы]
Gradient [Custom Shape] , Градиент [Custom Shape]
Gradient [from Line] , Градиент [от линии]
Gradient [Linear] , Градиент [Линейный]
Gradient [Radial] , Градиент [радиальный]
Gradient [Random] , Градиент [Случайность]
Gradient Norm , Градиентная норма
Gradient Preset , Градиентный подарок
Gradient RGB , Градиент RGB
Gradient Smoothness , Гладкость градиента
Gradient Values , Градиентные значения
Grain , Зерно
Grain (Highlights) , Зерно (Highlights)
Grain (Midtones) , Зерно (Мидтоны)
Grain (Shadows) , Зерно (Тени)
Grain Extract , Экстракт зерна
Grain Merge , Зерновое слияние
Grain Only , Только зерно
Grain Scale , Зерновая шкала
Grain Tone Fading , Затухание зерновых тонов
Grain Type , Тип зерна
Granularity , Зернистость
Graphic Boost , Графическое ускорение
Graphic Colours , Графические цвета
Graphic Novel , Графический роман
Graphix Colors , графические цвета
Grayscale , Шкала серого
Greece , Греция
Green , Зеленый
Green 15 , Зелёный 15
Green 2025 , Зелёный 2025
Green Action , Зеленые действия
Green Afternoon , Зелёный День
Green Blues , Зелёный блюз
Green Conflict , Зелёный конфликт
Green Day 01 , Зеленый день 01
Green Day 02 , Зелёный день 02
Green Factor , Зелёный фактор
Green G09 , Зеленый G09
Green Indoor , Зелёный интерьер
Green Level , Зелёный уровень
Green Light , Зелёный свет
Green Mono , Зелёный Моно
Green Rotations , Зеленые Вращения
Green Shift , Зеленая смена
Green Smoothness , Зеленая гладкость
Green Wavelength , Зеленая длина волны
Green Yellow , Зелёный жёлтый
Green-Red , Зелено-красный
Greenish Contrasty , Зеленоватая контрастность
Greenish Fade , Зеленовато-синий
Greenish Fade 1 , Зеленовато-синий 1
Grey , Серый
Greyscale , Шкала серого
Grid , Сетка
Grid [Cartesian] , Сетка [Картезиан]
Grid [Hexagonal] , Сетка [Гексагональная]
Grid [Triangular] , Сетка [Треугольная]
Grid Divisions , Решётчатые дивизионы
Grid Smoothing , сглаживание сетки
Grid Width , Ширина сетки
Grow Alpha , Вырасти Альфа
Guide As , Путеводитель As
Guide Mix , Гид-микс
Guide Recovery , Руководство по восстановлению
Gum Leaf , лист десны
Gyroid , Гироид
Hackmanite , Хакманит
Hair Locks , Замочки для волос
HaldCLUT Filename , Фильм HaldCLUT
Half Bottom/top , Половина Нижнее/Наверху
Half Side  by Side , Половина Бок о бок
Halftone , Халфтон
Halftone Shapes , формы полутонов
Hanoi Tower , Ханойская башня
Happyness 133 , Счастье 133
Hard Dark , Твёрдая Тьма
Hard Light , Жесткий свет
Hard Mix , Твердая смесь
Hard Sketch , Твердый набросок
Hard Teal Orange , Твердый апельсин тела
Harsh Day , трудный день
Harsh Sunset , суровый закат
HDR Effect (Tone Map) , HDR-эффект (тоновая карта)
Heart , Сердце
Hearts , Сердца
Hearts (Outline) , Сердце (набросок)
Hedcut (Experimental) , Хедкут (экспериментальный)
Height , Высота
Height (%) , Высота (%)
Heulandite , Хеуландит
Hexagon , Шестигранник
Hexagonal , Гексагональ
Hiddenite , Скрытый сайт
High , Высокий
High (Slower) , Высоко (Медленнее)
High Frequency , Высокая частота
High Frequency Layer , Высокочастотный слой
High Key , Высокий Ключ
High Pass , Высокий перевал
High Quality , Высокое качество
High Scale , Высокий масштаб
High Speed , Высокая скорость
High Value , Высокая ценность
Higher Mask Threshold (%) , Порог высшей маски (%)
Highlight , Выделить
Highlight (%) , Выделите (%)
Highlight Bloom , Выделите Блум
Highlights , Основные моменты
Highlights Abstraction , Основные моменты Абстракция
Highlights Color Intensity , Выделяет Интенсивность цвета
Highlights Hue , Основные моменты Оттенок
Highlights Lightness , Выделяет Легкость
Highlights Protection , Основные моменты Защита
Highlights Selection , Основные моменты Выбор
Highlights Threshold , Основные моменты Порог
Hilutite , Илутита
Histogram , Гистограмма
Histogram Analysis , Анализ гистограммы
Histogram Transfer , Передача гистограммы
Hokusai: The Great Wave , Хокусай: Великая волна
Homogeneity , Однородность
Hong Kong , Гонконг
Hope Poster , Плакат надежды
Horisontal Length , Горизонтальная длина
Horizon Leveling (deg) , Выравнивание горизонтов (градусов)
Horizontal , Горизонтальный
Horizontal (%) , горизонтальный (%)
Horizontal Amount , Горизонтальная высота
Horizontal Array , горизонтальный массив
Horizontal Blur , горизонтальное пятно
Horizontal Length , Горизонтальная длина
Horizontal Size (%) , Горизонтальный размер (%)
Horizontal Stripes , горизонтальные полосы
Horizontal Tiles , горизонтальная плитка
Horizontal Warp Only , Только искривление по горизонтали
Horror Blue , Ужасная синева
Hot , Горячий сайт
Hot (256) , Горячий (256)
Hough Sketch , Хоф Скетч
Hough Transform , преобразование Хоуфа
House , Дом
Householder , Домовладелец
HSI [all] , HSI [все]
HSI [Intensity] , HSI [Интенсивность]
HSL [all] , HSL [все]
HSL [Lightness] , HSL [Легкость]
HSL Adjustment , регулировка HSL
HSV [all] , HSV [все]
HSV [Saturation] , HSV [Насыщенность]
HSV [Value] , HSV [Значение]
HSV Select , HSV Выбор
Hue , Оттенок
Hue (%) , Оттенок (%)
Hue Band , группа оттенков
Hue Factor , фактор оттенка
Hue Lighten-Darken , Хью Лайтен-Даркен
Hue Max (%) , Максимальный оттенок (%)
Hue Min (%) , Хью Мин (%)
Hue Offset , смещение оттенка
Hue Range , диапазон оттенков
Hue Shift , сдвиг оттенков
Hue Smoothness , Гладкость оттенков
Human  2 , Человек 2
Human 1 , Человек 1
Human 2 , Человек 2
Hybrid Median - Medium Speed Softest Output , Гибридная Медиана - Средняя скорость мягкого выхода
Hyla 68 , Хила 68
Hyper Droste , гипердроста
Hypersthene , Гиперстен
Hypnosis , Гипноз
Iain Noise Reduction 2019 , Снижение уровня шума 2019
Identity , Идентификация
Ignore , Игнорировать
