<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
Color E , Kleur E
Color Effect Mode , De Wijze van het kleureffect
Color F , Kleur F
Color G , Kleur G
Color Gamma , Kleurengamma
Color Grading , Kleursortering
Color Green-Magenta , Kleur Groen-Magenta
Color Highlights , Kleurenhoogtepunten
Color Image , Kleurenbeeld
Color Intensity , Kleurintensiteit
Color Mask , Kleurenmasker
Color Mask [Interactive] , Kleurenmasker [Interactief]
Color Median , Kleurmediaan
Color Metric , Kleur Metrisch
Color Midtones , Kleur Midtonen
Color Mode , Kleurmodus
Color Model , Kleurenmodel
Color Negative , Kleurnegatief
Color on White , Kleur op Wit
Color Overall Effect , Kleuren Algemeen Effect
Color Presets , Vooraf ingestelde kleuren
Color Quantization , Kleurkwantisering
Color Rendering , Kleurweergave
Color Shading (%) , Kleurschakering (%)
Color Shadows , Kleur Schaduwen
Color Smoothness , Kleur gladheid
Color Space , Kleurruimte
Color Spots + Extrapolated Colors + Lineart , Kleurvlekken + geëxtrapoleerde kleuren + Lineart
Color Spots + Lineart , Kleurvlekken + Lineart
Color Strength , Kleursterkte
Color Temperature , Kleurtemperatuur
Color Tolerance , Kleurentolerantie
Color Variation [Random -1] , Kleurvariatie [Willekeurig -1]
Colored Geometry , Gekleurde Geometrie
Colored Grain , Gekleurde korrel
Colored Lineart , Gekleurde Lineart
Colored on Black , Gekleurd op zwart
Colored on Transparent , Gekleurd op Transparant
Colored Outline , Gekleurde contouren
Colored Pencils , Gekleurde potloden
Colored Regions , Gekleurde regio's
Colorful , Kleurrijke
Colorful 0209 , Kleurrijk 0209
Colorful Blobs , Kleurrijke Blobs
Coloring , Kleuren
Colorize [Interactive] , Colorize [Interactief]
Colorize [Photographs] , Colorize [Foto's]
Colorize [with Colormap] , Colorize [met Colormap]
Colorize Lineart [Propagation] , Colorize Lineart [Voortplanting]
Colorize Mode , Kleurrijke modus
Colorized Image (1 Layer) , Gekleurd beeld (1 laag)
Colors , Kleuren
Colors A , Kleuren A
Colors B , Kleuren B
Colors Only , Alleen kleuren
Colors Only (1 Layer) , Alleen kleuren (1 laag)
Colors to Layers , Kleuren naar lagen
Colorspace , Kleurruimte
Colour , Kleur
Colour Channels , Kleurenkanalen
Colour Model , Kleurenmodel
Colour Smoothing , Kleur gladstrijken
Colour Space Mode , Kleurruimte modus
Column by Column , Kolom voor kolom
Comic Style , Stripstijl
Comix Colors , Comix Kleuren
Components , Onderdelen
Composed Layers , Samengestelde lagen
Compress Highlights , Comprimeer Hoogtepunten
Compression Blur , Compressie Wazigheid
Compression Filter , Compressiefilter
Computation Mode , Computationele wijze
Cone , Kegel
Conformal Maps , Conformiteitskaarten
Connectivity , Connectiviteit
Connectors Centering , Verbindingselementen Centreren
Connectors Variability , Aansluitingen Variabiliteit
Constrain Image Size , Beperk het beeldformaat
Constrain Values , Beperkingswaarden
Constrained Sharpen , Beperkt verscherpen
Constraint Radius , Beperkingsstraal
Continuous Droste , Doorlopende Droste
Contour Coherence , Contourcoherentie
Contour Detection (%) , Contourdetectie (%)
Contour Normalization , Contour Normalisatie
Contour Precision , Contournauwkeurigheid
Contour Threshold , Contourdrempel
Contour Threshold (%) , Contourdrempel (%)
Contours , Contouren
Contours + Flocon/Snowflake , Contouren + Flocon/Snowflake
Contours Recursion , Contouren Recursie
Contrast Smoothness , Contrast Gladheid
Contrast Swiss Mask , Contrast Zwitsers Masker
Contrast with Highlights Protection , Contrast met Highlights Protection
Contrasty Afternoon , Contrasterende middag
Contrasty Green , Contrastijlgroen
Contributors , Medewerkers
Control Point 1 , Controlepunt 1
Control Point 2 , Controlepunt 2
Control Point 3 , Controlepunt 3
Control Point 4 , Controlepunt 4
Control Point 5 , Controlepunt 5
Control Point 6 , Controlepunt 6
Convolve , Bekijk
Cool (256) , Koel (256)
Cool / Warm , Koel / Warm
Copper , Koper
Corner Brightness , Hoekhelderheid
Correlated Channels , Gecorreleerde kanalen
Counter Clockwise , Tegen de klok in
Course 4 , Cursus 4
Cracks , Scheuren
Crease , Vouw
Creative Pack (33) , Creatief pakket (33)
Crisp Romance , Knapperige Romantiek
Crisp Warm , Knapperig warm
Criterion , Criterium
Crop , Gewas
Crop (%) , Gewas (%)
Cross Process CP 130 , Kruisproces CP 130
Cross Process CP 14 , Kruisproces CP 14
Cross Process CP 15 , Kruisproces CP 15
Cross Process CP 16 , Kruisproces CP 16
Cross Process CP 18 , Kruisproces CP 18
Cross Process CP 3 , Kruisproces CP 3
Cross Process CP 4 , Kruisproces CP 4
Cross Process CP 6 , Kruisproces CP 6
Cross-Hatch Amount , Cross-Hatch bedrag
Crossed , Gekruist
Crosses 1 , Kruisen 1
Crosses 2 , Kruisen 2
Crosshair , Dwarsdraad
CRT Sub-Pixels , CRT-sub-pixels
Crystal , Kristal
Crystal Background , Kristallen achtergrond
Cube , Kubus
Cube (256) , Kubus (256)
Cubic , Kubieke
Cubicle 99 , Kubus 99
Cubism , Kubisme
Cubism on Color Abstraction , Kubisme op Kleur Abstractie
Cup , Beker
Cupid , Cupido
Curvature , Kromming
Curvature Shadow , Kromming Schaduw
Curve Amount , Curve Bedrag
Curve Angle , Kromme hoek
Curve Length , Kromme lengte
Curved , Gebogen
Curved Stroke , Gebogen slag
Curves , Curven
Curves Previously Defined , Curven Eerder gedefinieerde
Custom , Aangepaste
Custom Code [Global] , Aangepaste code [Globaal]
Custom Code [Local] , Aangepaste code [Lokaal]
Custom Correction Map , Aangepaste Correctie Kaart
Custom Depth Correction , Aangepaste dieptecorrectie
Custom Depth Maps Stream , Aangepaste Dieptekaarten Stroom
Custom Dictionary , Aangepast Woordenboek
Custom Filter Code , Aangepaste filtercode
Custom Formula , Aangepaste formule
Custom Kernel , Aangepaste Kernel
Custom Layers , Aangepaste lagen
Custom Layout , Aangepaste indeling
Custom Style (Bottom Layer) , Aangepaste stijl (bodemlaag)
Custom Style (Top Layer) , Aangepaste stijl (bovenste laag)
Custom Transform , Aangepaste Transformatie
Customize CLUT , CLUT aanpassen
Cut , Knip
Cut & Normalize , Snijden & Normaliseren
Cut High , Snij hoog
Cut Low , Laag snijden
Cutout , Uitsnede
Cyan , Cyaan
Cyan Factor , Cyaan Factor
Cyan Smoothness , Cyaan Gladheid
Cycle Layers , Cycluslagen
Cycles , Fietsen
Cylinder , Cilinder
D and O 1 , D en O 1
Damping per Octave , Demping per octaaf
Dark  Motive , Donkere motief
Dark Blues in Sunlight , Donkerblauw in het zonlicht
Dark Boost , Donkere Boost
Dark Color , Donkere kleur
Dark Edges , Donkere randen
Dark Green 02 , Donkergroen 02
Dark Green 1 , Donkergroen 1
Dark Grey , Donkergrijs
Dark Length , Donkere lengte
Dark Motive , Donkere motief
Dark Pixels , Donkere Pixels
Dark Place 01 , Donkere plaats 01
Dark Screen , Donker scherm
Dark Sky , Donkere hemel
Dark Walls , Donkere muren
Darken , Verduisteren
Darker , Donkerder
Darkness , Duisternis
Darkness Level , Duisternisniveau
Date 39 , Datum 39
Day for Night , Dag voor de nacht
Daylight Scene , Daglichtscène
Debug Font Size , Debug lettergrootte
Decompose , Ontbind
Decompose Channels , Kanalen ontbinden
Decoration , Decoratie
Decreasing , Afnemende
Deep , Diepgaand
Deep Blue , Diep Blauw
Deep Dark Warm , Diep donker warm
Deep High Contrast , Diepgaand hoog contrast
Deep Teal Fade , Diepe Teal Fade
Deep Warm Fade , Diepwarme Fade
Default , Standaard
Defects Contrast , Defecten Contrast
Defects Density , Defecten Dichtheid
Defects Size , Defecten Grootte
Defects Smoothness , Defecten Gladheid
Deform , Vervorm
Delaunay: Portrait De Metzinger , Delaunay: Portret De Metzinger
Delaunay: Windows Open Simultaneously , Delaunay: Vensters gelijktijdig openen
Delete Layer Source , Lagenbron verwijderen
Delicatessen , Delicatessenzaken
Density , Dichtheid
Density (%) , Dichtheid (%)
Depth , Diepte
Depth Fade In Frames , Diepte Fade In Frames
Depth Fade Out Frames , Diepte Fade Out Frames
Depth Field Control , Diepteveldregeling
Depth Map , Dieptekaart
Depth Map Construction , Dieptekaart bouw
Depth Map Only , Alleen de dieptekaart
Depth Map Reconstruction , Dieptekaart Reconstructie
Depth Maps Only , Alleen dieptekaarten
Depth-Of-Field Type , Diepte-veld type
Desaturate , Desaturaat
Desaturate (%) , Desaturaat (%)
Desaturate Norm , Desaturaat Norm
Descent Method , Afdalingsmethode
Descreen , Scherm
Desert Gold 37 , Woestijn Goud 37
Destination (%) , Bestemming (%)
Destination X-Tiles , Bestemming X-Tegels
Destination Y-Tiles , Bestemming Y-Tegels
Detail Level , Detailniveau
Detail Reconstruction Detection , Detail Reconstructie Detectie
Detail Reconstruction Smoothness , Detail Reconstructie Gladheid
Detail Reconstruction Strength , Detail Reconstructie Sterkte
Detail Reconstruction Style , Detail Reconstructie Stijl
Detail Scale , Detailschaal
Detail Strength , Detailsterkte
Details Amount , Details Bedrag
Details Equalizer , Details Egalisator
Details Scale , Details Schaal
Details Smoothness , Details Gladheid
Details Strength (%) , Details Sterkte (%)
Detect Skin , Huid detecteren
Deuteranomaly , Deuteranomalie
Deuteranopia , Deuteranopie
Deviation , Afwijking
Diamond , Diamant
Diamond (Inv.) , Diamant (Inv.)
Diamonds , Diamanten
Diamonds (Outline) , Diamanten (overzicht)
Dices , Dobbelstenen
Dices with Colored Numbers , Dobbelstenen met gekleurde cijfers
Dices with Colored Sides , Dobbelstenen met gekleurde kanten
Difference , Verschil
Difference Mixing , Verschil Mengen
Difference of Gaussians , Verschil van Gaussers
Different Axis , Verschillende assen
Diffuse (%) , Diffuus (%)
Diffuse Shadow , Diffuse Schaduw
Diffusion , Verspreiding
Diffusion Tensors , Verspreidingstensoren
Diffusivity , Diffusiviteit
Digits , Cijfers
Dilatation , Dilatatie
Dilation , Dilatatie
Dilation - Original , Dilatatie - Origineel
Dilation / Erosion , Dilatatie / Erosie
Dimension , Dimensie
Dimension [Diff] , Dimensie [Diff]
Dimension A , Dimensie A
Dimensions (%) , Afmetingen (%)
Dimensions Pixels , Afmetingen Pixels
Dipole: 1/(4*z^2-1) , Dipool: 1/(4*z^2-1)
Direct , Directe
Direction , Richting
Directions 23 , Routebeschrijving 23
Dirty , Vuile
Disable , Schakel  uit.
Disabled , Uitgeschakeld
Discard Contour Guides , Contourgidsen weggooien
Discard Transparency , Transparantie weggooien
Display , Toon
Display Blob Controls , Blob-besturingselementen weergeven
Display Color Axes , Weergavekleur Assen
Display Contours , Toon contouren
Display Coordinates , Coördinaten weergeven
Display Coordinates on Preview Window , Coördinaten weergeven op voorbeeldvenster
Display Debug Info on Preview , Debug-informatie weergeven op voorvertoning
Distance , Afstand
Distance (Fast) , Afstand (snel)
Distance Transform , Afstandstransformatie
Distort Lens , Vervormingslens
Distortion Factor , Vervormingsfactor
Distortion Surface Angle , Vervorming Hoek van het oppervlak
Distortion Surface Position , Vervorming Positie van het oppervlak
Disturbance Scale-By-Factor , Verstoring Schaal-voor-Factor
Disturbance X , Storing X
Disturbance Y , Verstoring Y
Dither Output , Dither Uitgang
Divide , Verdeel
Do Not Flatten Transparency , Niet afvlakken Transparantie
Dodge and Burn , Ontwijken en verbranden
Dodge Strength , Ontwijkende kracht
DOF Analyzer , DOF-analyzer
Dog , Hond
Don't Sort , Niet sorteren
DoNothing , Niets doen
Dot Size , Puntgrootte
Dots , Stippen
Download External Data , Externe gegevens downloaden
Dragon Curve , Drakenkromme
Drawing Mode , Tekenmodus
Drawn Montage , Getekend Montage
Dream , Droom
Dream 1 , Droom 1
Dream 85 , Droom 85
Dream Smoothing , Droom Gladmaken
Drop Shadow , Valschaduw
Drop Water , Druppel water
Duck , Eend
Duplicate Bottom , Duplicaatbodem
Duplicate Horizontal , Duplicaat Horizontaal
Duplicate Left , Duplicaat links
Duplicate Right , Duplicaatrecht
Duplicate Top , Duplicaat Top
Duplicate Vertical , Duplicaat Verticaal
Duration , Duur
Dynamic Range Increase , Dynamisch bereik vergroten
Eagle , Adelaar
Earth , Aarde
Earth Tone Boost , Aarde Tone Boost
Easy Skin Retouch , Gemakkelijke Huidretouche
Edge , Rand
Edge Antialiasing , Rand Anti-aliasing
Edge Attenuation , Randverzwakking
Edge Behavior X , Randgedrag X
Edge Behavior Y , Randgedrag Y
Edge Detect Includes Chroma , Randdetectie omvat Chroma
Edge Exponent , Randexponent
Edge Fidelity , Randtrouw
Edge Influence , Randinvloed
Edge Mask , Randmasker
Edge Sensitivity , Randgevoeligheid
Edge Shade , Randschaduw
Edge Simplicity , Rand Eenvoud
Edge Smoothness , Gladheid van de rand
Edge Thickness , Randdikte
Edge Threshold , Randdrempel
Edge Threshold (%) , Randdrempel (%)
Edge-Oriented , Randgericht
Edges , Randen
Edges (%) , Randen (%)
Edges [Animated] , Randen [Geanimeerd]
Edges Offsets , Randcompensatie
Edges on Fire , Randen in brand
Edges-0.5 (beware: Memory-Consuming!) , Randen-0.5 (let op: Geheugen-gebruik!)
Edges-1 (beware: Memory-Consuming!) , Randen-1 (let op: Geheugen-gebruik!)
Edges-2 (beware: Memory-Consuming!) , Randen-2 (let op: Geheugen-gebruik!)
Effect Strength , Effect Sterkte
Effect X-Axis Scaling , Effect X-Axis Schaalverdeling
Effect Y-Axis Scaling , Effect Y-Axis Schaalverdeling
Eight Layers , Acht lagen
Eight Threads , Acht Draden
Elegance 38 , Elegantie 38
Elephant , Olifant
Elevation , Verhoging
Elevation (%) , Hoogte (%)
Ellipse Painting , Ellipsschilderen
Ellipse Ratio , Ellipsverhouding
Ellipsionism , Ellipsionisme
Ellipsionism Opacity , Ellipsionisme Opaciteit
Ellipsoid , Ellipsoïde
Enable Antialiasing , Antialiasing mogelijk maken
Enable Interpolated Motion , Geïnterpoleerde beweging mogelijk maken
Enable Morphology , Morfologie inschakelen
Enable Paintstroke , Schakel de verfstreek in
Enable Segmentation , Segmentatie mogelijk maken
Enchanted , Betoverd
End Color , Eindkleur
End Frame Number , Einde Kadernummer
End of Mid-Tones , Einde van de middentonen
End Point Connectivity , Eindpunt Connectiviteit
End Point Rate (%) , Eindpuntpercentage (%)
Ending Angle , Eindhoek
Ending Color , Beëindiging van de kleur
Ending Feathering , Einde van de bevedering
Ending Point (%) , Eindpunt (%)
Ending Scale (%) , Eindschaal (%)
Ending Value , Eindwaarde
Ending X-Centering , Beëindigen van X-Centering
Ending Y-Centering , Beëindigen van Y-Centering
Engrave , Graveer
Enhance Detail , Verbeteren van de details
Enhance Details , Verbeter de details
Equalization , Egalisatie
Equalization (%) , Egalisatie (%)
Equalize , Egaliseer
Equalize and Normalize , Egaliseer en normaliseer
Equalize at Each Step , Egaliseer bij elke stap
Equalize HSI-HSL-HSV , Egaliseer HSI-HSL-HSV
Equalize HSV , Gelijkstellen van HSV
Equalize Light , Egaliseer het licht
Equalize Local Histograms , Lokale Histogrammen egaliseren
Equalize Shadow , Schaduw egaliseren
Equation Plot [Parametric] , Vergelijkingsveld [Parametrisch]
Equation Plot [Y=f(X)] , Vergelijkingspunt [Y=f(X)]
Equirectangular to Nadir-Zenith , Equirectangular naar Nadir-Zenith
Erosion , Erosie
Erosion / Dilation , Erosie / Dilatatie
Etch Tones , Ets Tonen
Eterna for Flog , Eterna voor Flog
Euclidean , Euclidisch
Euclidean - Polar , Euclidisch - Polair
Exclusion , Uitsluiting
Expand , Uitbreiden
Expand Background Reconstruction , Uitbreiden Achtergrond Reconstructie
Expand Shadows , Schaduwen uitbreiden
Expand Size , Grootte uitbreiden
Expanding Mirrors , Uitbreiding van de spiegels
Expired (fade) , Verlopen (vervagen)
Expired (polaroid) , Verlopen (polaroid)
Expired 69 , Verlopen 69
Exponent (Imaginary) , Exponent (denkbeeldig)
Exponent (Real) , Exponent (Echt)
Exponential , Exponentieel
Export RGB-565 File , RGB-565-bestand exporteren
Exposure , Blootstelling
Expression , Uitdrukking
Extend 1px , Verlengen 1px
External Transparency , Externe transparantie
Extra  Smooth , Extra Gladjes
Extract Foreground [Interactive] , Extract Voorgrond [Interactief]
Extract Objects , Voorwerpen uitpakken
Extrapolate Color Spots on Transparent Top Layer , Extrapoleer Kleurvlekken op Transparante Bovenlaag
Extrapolate Colors As , Extrapoleer Kleuren als
Extrapolated Colors + Lineart , Geëxtrapoleerde kleuren + Lineart
Extreme , Extreem
Fade , Vervagen
Fade End , Verdwijnen
Fade Layers , Fade Lagen
Fade to Green , Verdwijnen naar groen
Faded , Vervaagd
Faded (alt) , Vervaagd (alt)
Faded (analog) , Vervaagd (analoog)
Faded (extreme) , Vervaagd (extreem)
Faded (vivid) , Vervaagd (levendig)
Faded 47 , Vervaagd 47
Faded Green , Vervaagd groen
Faded Look , Vervaagde look
Faded Print , Vervaagde afdrukken
Faded Retro 01 , Vervaagd Retro 01
Faded Retro 02 , Vervaagd Retro 02
Fading , Vervaagt
Fading Shape , Vervaagde vorm
Fall Colors , Valkleuren
Far Point Deviation , Verre punt afwijking
Fast , Snelle
Fast &#40;Approx.&#41; , Snel (Ca. )
Fast (Low Precision) Preview , Snelle (Lage Precisie) Preview
Fast Approximation , Snelle benadering
Fast Blend , Snelle mengeling
Fast Blend Preview , Snelle Mengsel Voorbeeld
Fast Recovery , Snelle recuperatie
Fast Resize , Snel aanpassen
Faux Infrared , Faux Infrarood
Feathering , Vederzetting
Feature Analyzer Smoothness , Eigenschap Analyzer Gladheid
Felt Pen , Viltstift
FFT Preview , FFT-voorvertoning
Fibers , Vezels
Fibers Amplitude , Vezels Amplitude
Fibers Smoothness , Vezels Gladheid
Fibrousness , Vezeligheid
Fidelity Smoothness (Coarsest) , Trouw Gladheid (grofste)
Fidelity Smoothness (Finest) , Trouw Gladheid (Fijnste)
Fidelity to Target (Coarsest) , Trouw aan het doelwit (grofste)
Fidelity to Target (Finest) , Trouw aan het doel (mooiste)
Filename , Bestandsnaam
Fill Holes , Gaten vullen
Fill Holes % , Gaten vullen %
Fill Transparent Holes , Vul Transparante Gaten
Filled , Gevuld
Filled Circles , Gevulde cirkels
Filling , Het vullen van
Film Print 01 , Filmdruk 01
Film Print 02 , Filmdruk 02
Filmic , Filmische
Filter Design , Filterontwerp
Final Image , Eindbeeld
Fine , Prima
Fine 2 , Fijn 2
Fine Details Smoothness , Fijne details Gladheid
Fine Details Threshold , Fijne details Drempel
Fine Noise , Fijn geluid
Fine Scale , Fijne Schaal
Finest (slower) , Fijnste (langzamer)
Finger Paint , Vingerverf
Finger Size , Vingergrootte
Fire Effect , Vuureffect
Fireworks , Vuurwerk
First , Eerste
First Color , Eerste kleur
First Frame , Eerste frame
First Offset , Eerste compensatie
First Radius , Eerste straal
First Size , Eerste Maat
Fish-Eye , Visoog
Fish-Eye Effect , Vis-oog effect
Fitting Function , Passende functie
Five Layers , Vijf lagen
Flag , Vlag
Flag (256) , Vlag (256)
Flat , Vlakke
Flat 30 , Vlakke 30
Flat Color , Vlakke kleur
Flat Regions Removal , Platte gebieden Verwijdering
Flatness , Vlakheid
Flip & Rotate Blocs , Blokken omdraaien
Flip Left / Right , Flip links / rechts
Flip Left/Right , Links/rechtsomklappen
Flip The Pattern , Flip het patroon
Flip Tolerance , Flip-tolerantie
Flower , Bloem
Foggy Night , Mistige nacht
Folder Name , Mapnaam
Font Colors , Lettertype Kleuren
Font Height (px) , Letterhoogte (px)
Force Gray , Grijze kracht
Force Re-Download from Scratch , Force Re-Download van Scratch
Force Tiles to Have Same Size , Dwingen Tegels om dezelfde grootte te hebben
Force Transparency , Transparantie dwingen
Foreground Color , Voorgrondkleur
Form , Formulier
Formula , Formule
Forward , Doorsturen
Forward  Horizontal , Horizontaal vooruit
Forward Horizontal , Horizontaal vooruit
Forward Vertical , Voorwaarts Verticaal
Four Layers , Vier lagen
Four Threads , Vier draden
Fourier Analysis , Fourieranalyse
Fourier Transform , Fourier Transformatie
Fourier Watermark , Fourier Watermerk
Fractal Noise , Fractaal geluid
Fractal Points , Fractische punten
Fractal Set , Fractaire set
Fractalize , Fractaliseer
Fractured Clouds , Gebroken wolken
Fragment Blur , Fragment vervagen
Frame [Blur] , Frame [Wazig]
Frame [Cube] , Frame [Kubus]
Frame [Mirror] , Frame [Spiegel]
Frame [Painting] , Frame [Schilderij]
Frame [Pattern] , Frame [Patroon]
Frame [Regular] , Frame [Regelmatig]
Frame [Round] , Frame [Rond]
Frame [Smooth] , Frame [Glad]
Frame as a New Layer , Frame als nieuwe laag
Frame Color , Kleur van het frame
Frame Files Format , Frame Bestanden Formaat
Frame Format , Frameformaat
Frame Size , Framegrootte
Frame Skip , Frame Overslaan
Frame Type , Frametype
Frame Width , Frame Breedte
Frames Offset , Frames Compensatie
Freaky B&W , Griezelig B&W
Freaky Details , Griezelige details
Freeze , Bevriezen
French Comedy , Franse komedie
Frequency , Frequentie
Frequency (%) , Frequentie (%)
Frequency Analyzer , Frequentie-analyzer
Frequency Range , Frequentiebereik
Freqy Pattern , Freqy-patroon
Friends Hall of Fame , Vrienden Hall of Fame
From Input , Van Invoer
From Reference Color , Van Referentie Kleur
Frosted , Bevroren
Frosted Beach Picnic , Frosted Strand Picknick
Fruits , Vruchten
Fuji FP-100c -- , Fuji FP-100c -
Fuji FP-100c Cool -- , Fuji FP-100c Cool...
Fuji FP-100c Negative , Fuji FP-100c Negatief
Fuji FP-100c Negative + , Fuji FP-100c Negatief +
Fuji FP-100c Negative ++ , Fuji FP-100c Negatief ++
Fuji FP-100c Negative +++ , Fuji FP-100c Negatief +++
Fuji FP-100c Negative ++a , Fuji FP-100c Negatief ++a
Fuji FP-100c Negative - , Fuji FP-100c Negatief -
Fuji FP-100c Negative -- , Fuji FP-100c Negatief -
Fuji FP-3000b -- , Fuji FP-3000b -
Fuji FP-3000b Negative , Fuji FP-3000b Negatief
Fuji FP-3000b Negative + , Fuji FP-3000b Negatief +
Fuji FP-3000b Negative ++ , Fuji FP-3000b Negatief ++
Fuji FP-3000b Negative +++ , Fuji FP-3000b Negatief +++
Fuji FP-3000b Negative - , Fuji FP-3000b Negatief -
Fuji FP-3000b Negative -- , Fuji FP-3000b Negatief -
Fuji FP-3000b Negative Early , Fuji FP-3000b Negatief Vroeg
Full , Volledig
Full (Allows Multi-Layers) , Vol (maakt Multi-Layers mogelijk)
Full (Slower) , Vol (langzamer)
Full Bottom/top , Volledige bodem/top
Full Colors , Volle kleuren
Full HD Frame Packing , Full HD Frame Verpakking
Full Layer Stack -Slow!- , Volle laagstapel -Slow! -
Full Side by Side Keep Uncompressed , Volledig zij aan zij houden Ongecomprimeerd
Full Side by Side Keep Width , Volledige zij-aan-zij-breedte houden
Full Side by Uncompressed , Volledige Zijde door Ongecomprimeerd
Fusion 88 , Fusie 88
Futuristic Bleak 1 , Futuristisch Guur 1
Futuristic Bleak 2 , Futuristisch Guur 2
Futuristic Bleak 3 , Futuristisch Guur 3
Futuristic Bleak 4 , Futuristisch Guur 4
G/M Smoothness , G/M Gladheid
Gain , Verkrijg
Games & Demos , Spelletjes & demo's
Gamma Balance , Gammabalans
Gamma Compensation , Gamma-compensatie
Gamma Equalizer , Gamma-equalizer
Gaussian , Gaussische
Gear , Versnelling
Generate Random-Colors Layer , Genereer willekeurige kleurenlaag
Generic Fuji Astia 100 , Generiek Fuji Astia 100
Generic Fuji Provia 100 , Generieke Fuji Provia 100
Generic Fuji Velvia 100 , Generiek Fuji Velvia 100
Generic Kodachrome 64 , Generieke Kodachrome 64
Generic Kodak Ektachrome 100 VS , Generieke Kodak Ektachrome 100 VS
Generic Skin Structure , Algemene huidstructuur
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , Zachte modus (overschrijft Minimale helderheid en Minimun-rood: Blauwe verhouding)
Geometry , Geometrie
Glamour Glow , Glamour Gloed
Global , Wereldwijd
Global Mapping , Globale kartering
Glow , Gloed
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (door Mahvin)
Gmicky (by Deevad) , Gmicky (door Deevad)
Gmicky (by Mahvin) , Gmicky (door Mahvin)
Going for a Walk , Gaan wandelen
Gold , Goud
Golden , Gouden
Golden (bright) , Goud (helder)
Golden (fade) , Goud (vervagen)
Golden (mono) , Goud (mono)
Golden (vibrant) , Goud (levendig)
Golden Gate , Gouden Poort
Golden Night Softner 43 , Gouden Nacht Softner 43
Golden Sony 37 , Gouden Sony 37
GoldFX - Bright Spring Breeze , GoldFX - Heldere lentebries
GoldFX - Bright Summer Heat , GoldFX - Heldere zomerhitte
GoldFX - Hot Summer Heat , GoldFX - Hete Zomerhitte
GoldFX - Perfect Sunset 01min , GoldFX - Perfecte zonsondergang 01min
GoldFX - Perfect Sunset 05min , GoldFX - Perfecte zonsondergang 05min
GoldFX - Perfect Sunset 10min , GoldFX - Perfecte zonsondergang 10min
GoldFX - Spring Breeze , GoldFX - Voorjaarswind
GoldFX - Summer Heat , GoldFX - Zomerse hitte
Good Morning , Goedemorgen
GradienNormLinearity , GradienNormLineariteit
Gradient , Gradiënt
Gradient [Corners] , Gradiënt [Hoeken]
Gradient [Custom Shape] , Gradiënt [Aangepaste vorm]
Gradient [from Line] , Gradiënt [van lijn]
Gradient [Linear] , Gradiënt [Lineair]
Gradient [Radial] , Gradiënt [Radiaal]
Gradient [Random] , Gradiënt [Willekeurig]
Gradient Norm , Gradiënt Norm
Gradient Preset , Vooraf ingestelde hellingshoek
Gradient RGB , Gradiënt RGB
Gradient Smoothness , Gradiënt Gladheid
Gradient Values , Gradiëntwaarden
Grain , Korrel
Grain (Highlights) , Graan (Highlights)
Grain (Midtones) , Graan (Midtones)
Grain (Shadows) , Graan (Schaduwen)
Grain Extract , Graanextract
Grain Merge , Graan Samenvoegen
Grain Only , Alleen graan
Grain Scale , Graanschaal
Grain Tone Fading , Korreltoonvervaging
Grain Type , Type korrel
Grainextract , Graanextract
Grainmerge , Graanvernieuwing
Granularity , Granulariteit
Graphic Boost , Grafische Boost
Graphic Colours , Grafische kleuren
Graphic Novel , Grafische roman
Graphix Colors , Graphix Kleuren
Grayscale , Grijstinten
Greece , Griekenland
Green , Groen
Green 15 , Groen 15
Green 2025 , Groen 2025
Green Action , Groene actie
Green Afternoon , Groene middag
Green Blues , Groenblauw
Green Conflict , Groen conflict
Green Day 01 , Groene dag 01
Green Day 02 , Groene dag 02
Green Factor , Groene factor
Green G09 , Groen G09
Green Indoor , Groen binnenshuis
Green Level , Groen niveau
Green Light , Groen licht
Green Mono , Groene Mono
Green Rotations , Groene rotaties
Green Shift , Groene Verschuiving
Green Smoothness , Groene Gladheid
Green Wavelength , Groene Golflengte
Green Yellow , Groen Geel
Green-Blue , Groenblauw
Green-Red , Groen-rood
Greenish Contrasty , Groenachtige contradictie
Greenish Fade , Groenige Fade
Greenish Fade 1 , Groene Fade 1
Grey , Grijs
Greyscale , Grijswaarden
Grid , Rooster
Grid [Cartesian] , Rooster [Cartesiaans]
Grid [Hexagonal] , Raster [Hexagonaal]
Grid [Triangular] , Rooster [Driehoekig]
Grid Divisions , Rasterafdelingen
Grid Smoothing , Rasterafvlakking
Grid Width , Rasterbreedte
Grow Alpha , Groeien Alpha
Guide As , Gids Als
Guide Mix , Gidsmix
Guide Recovery , Gids voor herstel
Gum Leaf , Kauwgomblad
Gyroid , Gyroïde
Hackmanite , Hackmaniet
Hair Locks , Haarsloten
HaldCLUT Filename , HaldCLUT Filenaam
Half Bottom/top , Halve bodem/top
Half Side  by Side , Halve zijde door zijde
Halftone , Halftoon
Halftone Shapes , Halftoonvormen
Hanoi Tower , Hanoi-toren
Happyness 133 , Geluk 133
Hard Dark , Hard donker
Hard Light , Hard licht
Hard Mix , Harde Mix
Hard Sketch , Harde Schets
Hard Teal Orange , Hard Teal Oranje
Harsh Day , Zware dag
Harsh Sunset , Harde zonsondergang
HDR Effect (Tone Map) , HDR-effect (Toonkaart)
Heart , Hart
Hearts , Harten
Hearts (Outline) , Harten (Overzicht)
